practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Skene Street Dental Practice,,"170 SKENE STREET, ABERDEEN",AB101QN,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Carden Place Dental Practice,,"32 CARDEN PLACE, ABERDEEN",AB101UP,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,Scotland NHS dental register (PHS open data),
Palmer Mca & Associates,,"19 RUBISLAW TERRACE, ABERDEEN",AB101XE,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Dental Practice,,"21 RUBISLAW TERRACE, ABERDEEN",AB101XE,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Henderson&Hardy Dental Surgery,,"3 RUBISLAW PLACE, ABERDEEN",AB101XN,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Granite City Clinic,,"147 HOLBURN STREET, ABERDEEN",AB106BL,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
West End Dental,,"189 GREAT WESTERN ROAD, ABERDEEN",AB106PS,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Holburn Dental Care,,"616 HOLBURN STREET, ABERDEEN",AB107JQ,Aberdeen & Grampian (AB10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Union Street Dental Care,,"129 UNION STREET, ABERDEEN",AB116BH,Aberdeen & Grampian (AB11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Academy Dental Care,,"86 CROWN STREET, ABERDEEN",AB116ET,Aberdeen & Grampian (AB11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Crown Dental Group,,"83 CROWN STREET, ABERDEEN",AB116EX,Aberdeen & Grampian (AB11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Advance Dental Centre,,"17 CROWN STREET, ABERDEEN",AB116HA,Aberdeen & Grampian (AB11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bridge Street Aesthetic&Dental Clinic,,"24-28 BRIDGE STREET, ABERDEEN",AB116JJ,Aberdeen & Grampian (AB11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Miller Rm & Miller Mj,,"101 VICTORIA ROAD, ABERDEEN",AB119LX,Aberdeen & Grampian (AB11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Cove Bay Dental,,"4 CATTO WALK, ABERDEEN",AB123PT,Aberdeen & Grampian (AB12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Portlethen Dental Care,,"4 COOKSTON ROAD, PORTLETHEN",AB124PT,Aberdeen & Grampian (AB12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kincorth Dental Practice,,"UNIT 4 KINCORTH SHOPPING CENTRE, PROVOST WATT DR. ABERDEEN",AB125BT,Aberdeen & Grampian (AB12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
