practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Trinity Dental Care,,"37 BANK STREET, KILMARNOCK",KA1 1ER,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
My Dentist,,"UNIT 12, 15 PORTLAND GATE, PORTLAND ST., KILMARNOCK",KA1 1JN,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kilmarnock Smile Studio,,"77-79 KING STREET, KILMARNOCK",KA1 1PT,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Corner Dental Practice,,"1 PORTLAND ROAD, KILMARNOCK",KA1 2BT,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Portland Dental Practice,,"13 PORTLAND ROAD, KILMARNOCK",KA1 2BT,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,Scotland NHS dental register (PHS open data),
Rooted Dental,,"5 EAST NETHERTON STREET, KILMARNOCK",KA1 4AX,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Craigie Road Dental Practice,,"25 CRAIGIE ROAD, KILMARNOCK",KA1 4EE,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Hurlford Dental Practice,,"2 ACADEMY STREET, HURLFORD",KA1 5BU,Ayrshire (KA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
One Dental Care Troon,,"93 TEMPLEHILL, TROON",KA106BQ,Ayrshire (KA10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Templehill Dental Practice,,"37 TEMPLEHILL, TROON",KA106BQ,Ayrshire (KA10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
South Beach Dental Surgery,,"1 SOUTH BEACH, TROON",KA106EF,Ayrshire (KA10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Troon Dental Studio,,"27 BARASSIE STREET, TROON",KA106LX,Ayrshire (KA10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Flossbar,,"82A PORTLAND STREET, TROON",KA106QU,Ayrshire (KA10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Storm Dental,,"167 MAIN STREET, DREGHORN",KA114AF,Ayrshire (KA11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Truss Dental,,"85 EAST ROAD, IRVINE",KA120AA,Ayrshire (KA12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bank Street Dental Practice,,"21 BANK STREET, IRVINE",KA120AJ,Ayrshire (KA12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Mckinley Dental Practice,,"79 HIGH STREET, IRVINE",KA120AL,Ayrshire (KA12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dentistry With Care,,"3 QUARRY ROAD, IRVINE",KA120TE,Ayrshire (KA12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Irvine Dental Studio,,"32 BRIDGEGATE, IRVINE",KA128BQ,Ayrshire (KA12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Seagate Dental Practice,,"8 SEAGATE, IRVINE",KA128RH,Ayrshire (KA12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Abbeyview Dental Surgery,,"4 ALMSWALL ROAD, KILWINNING",KA136BN,Ayrshire (KA13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Main Street Dental Practice,,"170 MAIN STREET, KILWINNING",KA136EE,Ayrshire (KA13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kilwinning Dental Care,,"145 MAIN STREET, KILWINNING",KA136EQ,Ayrshire (KA13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
One Dental Care,,"16 WILSON STREET, BEITH",KA152BG,Ayrshire (KA15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
East Ayrshire Dental,,"71 MAIN STREET, NEWMILNS",KA169DG,Ayrshire (KA16),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Cumnock Dental Practice,,"MILLBANK LANE, CUMNOCK",KA181AB,Ayrshire (KA18),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Neo Dental,,"19 LUGAR STREET, CUMNOCK",KA181AD,Ayrshire (KA18),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Knockroon Dental Practice,,"97 AUCHINLECK ROAD, CUMNOCK",KA181AN,Ayrshire (KA18),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
