name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Green Park Dental Practice,01225 421096,Green Park Dental Practice,BA1 1HZ,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Edgar Buildings Dental Care,01225 466086,Edgar Buildings Dental Care,BA1 2EE,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.portmanhealthcare.co.uk,
The Circus Dental Practice,01225 426163,The Circus Dental Practice,BA1 2ES,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.Circusdentalpractice.co.uk,
IM Smile Ltd,01225 447600,IM Smile Ltd,BA1 2EX,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queen Square Dental Practice,01225 424336,Queen Square Dental Practice,BA1 2HA,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queens Square Dental,0751 5685158,Queens Square Dental,BA1 2HA,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bath Dental Excellence,01225 422695,Bath Dental Excellence,BA1 2LN,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.portmanhealthcare.co.uk,
Dentalcare Bath,01225 318455,Dentalcare Bath,BA1 2ND,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
ORAL SURGERY LTD - DENTALCARE BATH,0330 1229382,ORAL SURGERY LTD - DENTALCARE BATH,BA1 2ND,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mr Craig Rushforth - Gay Street Bath,01225 330011,Mr Craig Rushforth - Gay Street Bath,BA1 2PD,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Bath Dental Clinic,01225 333848,The Bath Dental Clinic,BA1 2PS,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aquae Sulis Dental Practice,01225 339767,Aquae Sulis Dental Practice,BA1 3DS,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chelsea Road Dental Practice,01225 461799,Chelsea Road Dental Practice,BA1 3DU,Bath & Somerset (BA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
