practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Green Park Dental Practice,,"40 Green Park, Bath",BA1 1HZ,Bath & Somerset (BA1),01225 421096,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Edgar Buildings Dental Care,,"7 Edgar Buildings, George Street, Bath",BA1 2EE,Bath & Somerset (BA1),01225 466086,https://www.portmanhealthcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
The Circus Dental Practice,,"13 The Circus, Bath",BA1 2ES,Bath & Somerset (BA1),01225 426163,https://www.Circusdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Circus Dental Limited,CQC directory (auto-downloaded),
Circus Orthodontic Practice,,"20 The Circus, Bath",BA1 2EU,Bath & Somerset (BA1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cloudshill Limited,CQC directory (auto-downloaded),
Circus Orthodontics,,"20 The Circus, Bath",BA1 2EU,Bath & Somerset (BA1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Circus Orthodontics,CQC directory (auto-downloaded),
IM Smile Ltd,,"Circus Dental & Implant Centre, Circus House,  Bennett Street, Bath",BA1 2EX,Bath & Somerset (BA1),01225 447600,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,I M Smile Ltd,CQC directory (auto-downloaded),
Queen Square Dental Practice,,"1a Queen Square, Bath",BA1 2HA,Bath & Somerset (BA1),01225 424336,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dekamed Limited,CQC directory (auto-downloaded),
Queens Square Dental,,"1a Queen Square, Bath",BA1 2HA,Bath & Somerset (BA1),0751 5685158,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Mihail Alexandru Szabo,CQC directory (auto-downloaded),
Bath Dental Excellence,,"29 Brock Street, Bath",BA1 2LN,Bath & Somerset (BA1),01225 422695,https://www.portmanhealthcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Dentalcare Bath,,"15A Charlotte Street, Bath",BA1 2ND,Bath & Somerset (BA1),01225 318455,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentalcare Bath Ltd,CQC directory (auto-downloaded),
ORAL SURGERY LTD - DENTALCARE BATH,,"15a, Charlotte Street, Bath",BA1 2ND,Bath & Somerset (BA1),0330 1229382,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oral Surgery Ltd,CQC directory (auto-downloaded),
Mr Craig Rushforth - Gay Street Bath,,"25 Gay Street, Bath",BA1 2PD,Bath & Somerset (BA1),01225 330011,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Craig Rushforth,CQC directory (auto-downloaded),
The Bath Dental Clinic,,"Catharine Cottage, 21 Catharine Place, Bath",BA1 2PS,Bath & Somerset (BA1),01225 333848,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Bath Dental Clinic Limited,CQC directory (auto-downloaded),
Aquae Sulis Dental Practice,,"Station Court, Ashley Avenue, Bath",BA1 3DS,Bath & Somerset (BA1),01225 339767,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aquae Sulis Dental Limited,CQC directory (auto-downloaded),
Chelsea Road Dental Practice,,"11 Chelsea Road, Bath",BA1 3DU,Bath & Somerset (BA1),01225 461799,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Mrs Archana Sabhlok Godara, Mr Ashish Godara",CQC directory (auto-downloaded),
The Dental Implant Clinic,,"24 Newbridge Road, Bath",BA1 3JZ,Bath & Somerset (BA1),01225 448400,https://www.thedentalimplantclinic.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Elliott Ballantyne Limited,CQC directory (auto-downloaded),
Manor Dental Practice,,"1 Manor Road, Weston, Bath",BA1 4BW,Bath & Somerset (BA1),01225 482484,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NNDEV Ltd,CQC directory (auto-downloaded),
JB Dental and Denture Clinic,,"27 Walcot Buildings, Bath",BA1 6AD,Bath & Somerset (BA1),01225 311681,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JB Denture Clinic (Bath) Ltd,CQC directory (auto-downloaded),
Larkhall Dental Practice,,"1a St Saviours Road, Larkhall, Bath",BA1 6RT,Bath & Somerset (BA1),01225 313914,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Little Dental Co Limited,CQC directory (auto-downloaded),
Batheaston Dental Rooms,Bathaeston Dental Practice,"211 London Road East, Batheaston, Bath",BA1 7NB,Bath & Somerset (BA1),01225 859394,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Little Dental Co Limited,CQC directory (auto-downloaded),
The Bruton Dental Practice,,"Uphills, Bruton",BA10 0ES,Bath & Somerset (BA10),01749 812461,https://www.brutondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Bruton Dental Practice Limited,CQC directory (auto-downloaded),
Portway Dental Practice,,"41a Portway, Frome",BA11 1QS,Bath & Somerset (BA11),01373 454515,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Frome Dental Surgery Limited,CQC directory (auto-downloaded),
Welshmill Dental Practice,,"Welshmill road, Frome",BA11 2LA,Bath & Somerset (BA11),01373 463338,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Mere Dental Practice,,"Duchy Manor,  Springfield Road, Mere, Warminster",BA12 6EW,Bath & Somerset (BA12),01747 860365,https://www.meredental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mere Dental Practice,CQC directory (auto-downloaded),website unreachable
Westbury Downs Dental Care,South Cliff Dental Group Westbury,"22-24 High Street, Westbury",BA13 3BW,Bath & Somerset (BA13),01373 762727,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dumbledore Dental Care Limited,CQC directory (auto-downloaded),
