name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Briercliffe Road Dental Practice,01282 415104,Briercliffe Road Dental Practice,BB10 1UX,Blackburn (BB10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.brdpdentist.co.uk,
Briercliffe Road Dental Practice Limited,01282 415104,Briercliffe Road Dental Practice Limited,BB10 1UX,Blackburn (BB10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.brdp.co.uk,
Deardengate Dental,01204 500090,Deardengate Dental,BB4 5QJ,Blackburn (BB4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.synergydental.org.uk,
Accrington Road Dental Center,125452165,Accrington Road Dental Center,BB1 2AE,Blackburn (BB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Boulevard Dental Surgery,01254 583964,Boulevard Dental Surgery,BB1 5AX,Blackburn (BB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blackburn Orthodontics,01254 261161,Blackburn Orthodontics,BB1 6BE,Blackburn (BB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queensgate Dental Practice,01282 428435,Queensgate Dental Practice,BB10 1EJ,Blackburn (BB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.queensgate-dental-practice.co.uk,website unreachable
Bridge Dental Practice,01282 423973,Bridge Dental Practice,BB10 1LA,Blackburn (BB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clavell-Bate & Nephew - Worsthorne,01282 458340,Clavell-Bate & Nephew - Worsthorne,BB10 3SQ,Blackburn (BB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Calder Dental Practice,01282 470340,Calder Dental Practice,BB10 4AB,Blackburn (BB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lyndhurst Dental Practice,01282 430016,Lyndhurst Dental Practice,BB10 4DH,Blackburn (BB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lyndhurstdental.co.uk,website unreachable
Standish Street Dental Ltd,01282 415543,Standish Street Dental Ltd,BB11 1AP,Blackburn (BB11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.standishstreetdental.co.uk,
Bank Parade Dental Practice,01282 428008,Bank Parade Dental Practice,BB11 1TS,Blackburn (BB11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
