practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Briercliffe Road Dental Practice,,"84 Briercliffe Road, Burnley",BB10 1UX,Blackburn (BB10),01282 415104,https://www.brdpdentist.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Briercliffe Road Dental Practice,CQC directory (auto-downloaded),
Briercliffe Road Dental Practice Limited,,"84 Briercliffe Road, Burnley",BB10 1UX,Blackburn (BB10),01282 415104,https://www.brdp.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Briercliffe Road Dental Practice Limited,CQC directory (auto-downloaded),
Deardengate Dental,,"6 Deardengate, Haslingden, Rossendale",BB4 5QJ,Blackburn (BB4),01204 500090,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Synergy Dental Clinic Haslingden Ltd,CQC directory (auto-downloaded),
Accrington Road Dental Center,,"128/130 Accrington Road, Blackburn",BB1 2AE,Blackburn (BB1),125452165,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Redbridge Associates Limited,CQC directory (auto-downloaded),
Eden Dental Studio,,"128, Accrington Road, Blackburn",BB1 2AE,Blackburn (BB1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cheadle Associates Limited,CQC directory (auto-downloaded),
Boulevard Dental Surgery,,"11a, Railway Road, Blackburn",BB1 5AX,Blackburn (BB1),01254 583964,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sima Aiyub Kothiwala,CQC directory (auto-downloaded),
Blackburn Orthodontics,,"53 James Street, Blackburn",BB1 6BE,Blackburn (BB1),01254 261161,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Expert Orthodontics Limited,CQC directory (auto-downloaded),
Louise Southworth Dental Practice,,"21 Richmond Terrace, Blackburn",BB1 7BL,Blackburn (BB1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Ritu Dhariwal,CQC directory (auto-downloaded),
Wilpshire Dental Clinic,,"791 Whalley New Road, Blackburn",BB1 9BE,Blackburn (BB1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wilpshire Dental Clinic Ltd,CQC directory (auto-downloaded),
Queensgate Dental Practice,,"303 Colne Road, Burnley",BB10 1EJ,Blackburn (BB10),01282 428435,https://www.queensgate-dental-practice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Best Dental Limited,CQC directory (auto-downloaded),website unreachable
Bridge Dental Practice,,"2 Colne Road, Burnley",BB10 1LA,Blackburn (BB10),01282 423973,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Nadeem Younis,CQC directory (auto-downloaded),
Clavell-Bate & Nephew - Worsthorne,,"Worsthorne Dental Practice, 93 Lindsay Park, Burnley",BB10 3SQ,Blackburn (BB10),01282 458340,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Simon Clavell-Bate,CQC directory (auto-downloaded),
Calder Dental Practice,,"23-25 Todmorden Road, Burnley",BB10 4AB,Blackburn (BB10),01282 470340,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ravat & Ray Dental Care (Burnley) Ltd,CQC directory (auto-downloaded),
Lyndhurst Dental Practice,,"76 Lyndhurst Road, Burnley",BB10 4DH,Blackburn (BB10),01282 430016,https://www.lyndhurstdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Lareina Jhagroo,CQC directory (auto-downloaded),website unreachable
Standish Street Dental Ltd,,"26 Standish Street, Burnley",BB11 1AP,Blackburn (BB11),01282 415543,https://www.standishstreetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Standish Street Dental Ltd,CQC directory (auto-downloaded),
Bank Parade Dental Practice,,"58 Bank Parade, Burnley",BB11 1TS,Blackburn (BB11),01282 428008,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Simon Ditchfield,CQC directory (auto-downloaded),
"Emergency Dental Service, Burnley Out of Hours",,"Dental Department 3rd Floor,  Church Street, Burnley",BB11 2DL,Blackburn (BB11),0300 1234010,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,FCMS (NW) Limited,CQC directory (auto-downloaded),
St Peters Primary Healthcare Centre,,"Church Street, Burnley",BB11 2DL,Blackburn (BB11),01772 695300,https://www.lancashirecare.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lancashire & South Cumbria NHS Foundation Trust,CQC directory (auto-downloaded),website unreachable
Dental Care Centre,,"17 Ormerod Road, Burnley",BB11 2RU,Blackburn (BB11),01282 427404,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Simon Allan,CQC directory (auto-downloaded),
Coal Clough Dental Care,,"58 Coal Clough Lane, Burnley",BB11 4NS,Blackburn (BB11),01282 420978,https://www.coalcloughdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Viraj Kiritbhai Patel,CQC directory (auto-downloaded),
Synergy Dental Clinic Burnley,,"61 Church Street, Padiham, Burnley",BB12 8JH,Blackburn (BB12),01282 775552,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Synergy Dental Clinic Burnley Ltd,CQC directory (auto-downloaded),
Padiham Dental Limited,,"106 Burnley Road, Padiham, Burnley",BB12 8QN,Blackburn (BB12),01904 763458,https://www.carholmedentalgroup.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Padiham Dental Limited,CQC directory (auto-downloaded),
Padiham Dental Practice,,"106 Burnley Road, Padiham, Burnley",BB12 8QN,Blackburn (BB12),01282 771644,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Padiham Dental Practice,CQC directory (auto-downloaded),
Station House Dental Practice,,"Fernlea Avenue, Barnoldswick",BB18 5DW,Blackburn (BB18),01282 817172,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sarah Metias,CQC directory (auto-downloaded),
Barlick Dental Studio,,"12 Skipton Road, Barnoldswick",BB18 5NB,Blackburn (BB18),01282 570195,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Nafisa Banu Mohmed Suleman,CQC directory (auto-downloaded),
Barlick Dental Studio Limited,,"12 Skipton Road, Barnoldswick",BB18 5NB,Blackburn (BB18),01282 570195,https://www.diamondsmilesdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Barlick Dental Studio Ltd,CQC directory (auto-downloaded),website unreachable
Earby Dental Practice,,"13 Albion Road, Earby, Barnoldswick",BB18 6PZ,Blackburn (BB18),01282 842361,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Earby Dental Practice,CQC directory (auto-downloaded),
Barbara Castle Way Health Centre,,"Simmons Street, Blackburn",BB2 1AX,Blackburn (BB2),01772 695300,https://www.lancashirecare.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lancashire & South Cumbria NHS Foundation Trust,CQC directory (auto-downloaded),website unreachable
