name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Synergy Dental Clinic - South Shore,01253 348616,Synergy Dental Clinic - South Shore,FY1 6LA,Blackpool (FY1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.synergydental.org.uk,
Woodlands Dental,01253 731800,Woodlands Dental,FY8 1DA,Blackpool (FY8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.woodlands-dental.co.uk,
The Lytham Dental Clinic,01253 736633,The Lytham Dental Clinic,FY8 5EW,Blackpool (FY8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.lythamdental.co.uk,
King Street Dental Surgery,01253 620552,King Street Dental Surgery,FY1 3EJ,Blackpool (FY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blackpool Stadium,01253 306853,Blackpool Stadium,FY1 6JX,Blackpool (FY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ivory Dental Care - Park Road,01253 392685,Ivory Dental Care - Park Road,FY1 6QT,Blackpool (FY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ivorydental.co.uk,
Tower Dental,01253 353759,Tower Dental,FY2 0TW,Blackpool (FY2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bispham Dental Practice,01253 354531,Bispham Dental Practice,FY2 9DZ,Blackpool (FY2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ivory Dental Care - Whitegate Drive,01253 392685,Ivory Dental Care - Whitegate Drive,FY3 9AL,Blackpool (FY3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ivorydental.co.uk,
The Surgery,01253 392687,The Surgery,FY3 9BU,Blackpool (FY3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Centre,01253 655200,The Dental Centre,FY3 9ES,Blackpool (FY3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Whitegate Health Centre,01253 657166,Whitegate Health Centre,FY3 9ES,Blackpool (FY3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
ARC Dental Surgery,01253 341924,ARC Dental Surgery,FY4 1DR,Blackpool (FY4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cadis Clinics Limited,01253 347953,Cadis Clinics Limited,FY4 1JQ,Blackpool (FY4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dunluce Dental Practice,01253 694850,Dunluce Dental Practice,FY4 5AX,Blackpool (FY4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cleveleys Practice Limited,01253 897969,Cleveleys Practice Limited,FY5 2AA,Blackpool (FY5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Safehands Dental Care,01253 860950,Safehands Dental Care,FY5 4AF,Blackpool (FY5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bank Dental,01253 835322,Bank Dental,FY6 7AS,Blackpool (FY6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bank-dental.co.uk/,
Graham Wilding - Poulton-Le-Fylde,01253 893444,Graham Wilding - Poulton-Le-Fylde,FY6 7BL,Blackpool (FY6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.grahamwilding.com,
Poulton Practice Limited,01253 894095,Poulton Practice Limited,FY6 7JL,Blackpool (FY6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hardhorn Dental Practice,01253 883079,Hardhorn Dental Practice,FY6 7SR,Blackpool (FY6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr Christopher Whitehead - St Peter's Place,01253 873217,Dr Christopher Whitehead - St Peter's Place,FY7 6EB,Blackpool (FY7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ideal Dental Care,01253 774350,Ideal Dental Care,FY7 6LT,Blackpool (FY7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Annes Private Dental Centre,01253 714145,St Annes Private Dental Centre,FY8 1PE,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kings Orthodontics,0790 8691707,Kings Orthodontics,FY8 1RF,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Anne's Dental Clinic,0795 7550644,St Anne's Dental Clinic,FY8 1RF,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.stannesdentalclinic.co.uk,
Fylde Dental Clinic,01253 714581,Fylde Dental Clinic,FY8 1TF,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.fyldedentalclinic.co.uk,
Oxford Rd Dental,01253 722051,Oxford Rd Dental,FY8 2EA,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crescent Dental Surgery,01253 721480,Crescent Dental Surgery,FY8 2JE,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Albany Dental Care,01253 957280,Albany Dental Care,FY8 4GW,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
M J Kenyon - Dental Surgeons,01253 739109,M J Kenyon - Dental Surgeons,FY8 5EP,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aesthetic Dental Solutions,01253 736146,Aesthetic Dental Solutions,FY8 5PA,Blackpool (FY8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.aestheticdentalsolutions.co.uk,website unreachable
