practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Synergy Dental Clinic - South Shore,,"370 Central Drive, South Shore, Blackpool",FY1 6LA,Blackpool (FY1),01253 348616,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Synergy Dental Clinic Ltd,CQC directory (auto-downloaded),
Woodlands Dental,,"80 Woodlands Road, Lytham St. Annes",FY8 1DA,Blackpool (FY8),01253 731800,https://www.woodlands-dental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Woodlands Dental Practice Ltd,CQC directory (auto-downloaded),
The Lytham Dental Clinic,,"38a Clifton Street, Lytham St Annes",FY8 5EW,Blackpool (FY8),01253 736633,https://www.lythamdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Lytham Dental Clinic Limited,CQC directory (auto-downloaded),
King Street Dental Surgery,,"2 King Street, Blackpool",FY1 3EJ,Blackpool (FY1),01253 620552,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,King Street Dental Surgery,CQC directory (auto-downloaded),
Douglas Hammond,,"19a, Milbourne Street, Blackpool",FY1 3ER,Blackpool (FY1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lancashire Oral Surgery Clinic Ltd,CQC directory (auto-downloaded),
Blackpool Stadium,,"Seasiders Way, Blackpool",FY1 6JX,Blackpool (FY1),01253 306853,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Blackpool Teaching Hospitals NHS Foundation Trust,CQC directory (auto-downloaded),
Ivory Dental Care - Park Road,,"359 Park Road, Blackpool",FY1 6QT,Blackpool (FY1),01253 392685,https://www.ivorydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Andrew Carter,CQC directory (auto-downloaded),
Tower Dental,,"302a, Devonshire Road, Blackpool",FY2 0TW,Blackpool (FY2),01253 353759,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Station House DC Limited,CQC directory (auto-downloaded),
Bispham Dental Practice,,"112,  Red Bank Road, Bispham, Blackpool",FY2 9DZ,Blackpool (FY2),01253 354531,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Mark Collinson,CQC directory (auto-downloaded),
Ivory Dental Care - Whitegate Drive,,"28A Whitegate Drive, Blackpool",FY3 9AL,Blackpool (FY3),01253 392685,https://www.ivorydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Andrew Carter,CQC directory (auto-downloaded),
The Surgery,,"129 Whitegate Drive, Blackpool",FY3 9BU,Blackpool (FY3),01253 392687,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SR & A Thomas Ltd,CQC directory (auto-downloaded),
The Dental Centre,,"Whitegate Health Centre, 150 Whitegate Drive, Blackpool",FY3 9ES,Blackpool (FY3),01253 655200,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,FCMS (NW) Limited,CQC directory (auto-downloaded),
Whitegate Health Centre,,"150-158 Whitegate Drive, Blackpool",FY3 9ES,Blackpool (FY3),01253 657166,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Blackpool Teaching Hospitals NHS Foundation Trust,CQC directory (auto-downloaded),
ARC Dental Surgery,,"307 Lytham Road, Blackpool",FY4 1DR,Blackpool (FY4),01253 341924,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Manor Smiles Ltd,CQC directory (auto-downloaded),
Cadis Clinics Limited,,"462 Lytham Road, Blackpool",FY4 1JQ,Blackpool (FY4),01253 347953,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cadis Clinics Ltd,CQC directory (auto-downloaded),
Dunluce Dental Practice,,"9 Common Edge Road, Blackpool",FY4 5AX,Blackpool (FY4),01253 694850,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dunluce (Blackpool) Ltd,CQC directory (auto-downloaded),
Cleveleys Practice Limited,,"2 Brighton Avenue, Cleveleys",FY5 2AA,Blackpool (FY5),01253 897969,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cleveleys Practice Limited,CQC directory (auto-downloaded),
The Dental Practice,,"200 Victoria Road West, Cleveleys",FY5 3NG,Blackpool (FY5),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Javed Ikram,CQC directory (auto-downloaded),
