name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Ramsbottom Dental Care,01706 829201,Ramsbottom Dental Care,BL0 9AZ,Bolton (BL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ramsbottomdental.com,
Ashid Hussain and Asif Saleem,01706 488096,Ashid Hussain and Asif Saleem,BL0 9HT,Bolton (BL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bolton Street Dental Practice,01706 825960,Bolton Street Dental Practice,BL0 9HX,Bolton (BL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.boltonstreetdental.co.uk,
Dr Pauline Gail Carmichael,01204 886408,Dr Pauline Gail Carmichael,BL0 9SL,Bolton (BL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Walk in Centre,01204 462787,Walk in Centre,BL1 1SQ,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.boltonhospitals.nhs.uk,website unreachable
Cahill Dental Care Centre,01204 895774,Cahill Dental Care Centre,BL1 2HA,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chariwala Smile Limited,0759 0928937,Chariwala Smile Limited,BL1 2JT,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
530 Bolton Partnership,01204 843196,530 Bolton Partnership,BL1 6AB,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sharples Dental Practice,01204 306010,Sharples Dental Practice,BL1 7JJ,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bennison Dental Practice,01204 491946,Bennison Dental Practice,BL1 8DE,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Synergy Dental Clinic,01204 522090,Synergy Dental Clinic,BL1 8DT,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Synergy Dental Clinic,01204 275270,Synergy Dental Clinic,BL1 8HQ,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Synergy Dental Clinic Specialist Ltd,01204 275270,Synergy Dental Clinic Specialist Ltd,BL1 8HQ,Bolton (BL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harper's Dental Practice,01204 521140,Harper's Dental Practice,BL2 1JJ,Bolton (BL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentist at 202,01204 521514,Dentist at 202,BL2 2HN,Bolton (BL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harwood Dental Care,01204 304568,Harwood Dental Care,BL2 3HS,Bolton (BL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.harwooddentalcare.co.uk,
Denuvo Dental,01204 593300,Denuvo Dental,BL2 4BQ,Bolton (BL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.denuvodental.co.uk,
Ainsworth Village Dental Practice,01204 382828,Ainsworth Village Dental Practice,BL2 5RA,Bolton (BL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
372 Dental,01204 522581,372 Dental,BL2 6DD,Bolton (BL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alpha Dental Care Bolton,01204 524046,Alpha Dental Care Bolton,BL2 6PA,Bolton (BL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Care Centre Little Lever,01204 796795,The Dental Care Centre Little Lever,BL3 1HH,Bolton (BL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bolton Orthodontic Centre,01204 382242,Bolton Orthodontic Centre,BL3 2NU,Bolton (BL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Synergy Dental,01204 657513,Synergy Dental,BL3 3AT,Bolton (BL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Dental Surgery,120461935,Dental Surgery,BL3 3PZ,Bolton (BL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rumworth House Dental Practice,01204 850285,Rumworth House Dental Practice,BL3 4QW,Bolton (BL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ravatandray.com,
Haslam Park Dental Practice,01204 654141,Haslam Park Dental Practice,BL3 5QE,Bolton (BL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.haslamparkdentalpractice.co.uk/,
Derby Street Dentist,01204 366954,Derby Street Dentist,BL3 6LF,Bolton (BL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bolton Road Dental Centre,01204 707773,Bolton Road Dental Centre,BL4 8DB,Bolton (BL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kearsley Dental Care,01204 573573,Kearsley Dental Care,BL4 8DB,Bolton (BL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brackley House Dental Practice,01204 705363,Brackley House Dental Practice,BL4 9ES,Bolton (BL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chariwala Smile Limited,01204 468019,Chariwala Smile Limited,BL6 5ND,Bolton (BL6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Horwich Dental Care Centre,01204 668206,Horwich Dental Care Centre,BL6 6JT,Bolton (BL6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.horwichdentalcare.co.uk,
Horwich Dental Practice,01204 468210,Horwich Dental Practice,BL6 7AD,Bolton (BL6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
