practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Ramsbottom Dental Surgery,,"72 Bridge Street, Ramsbottom, Bury",BL0 9AG,Bolton (BL0),01706 827755,https://www.ramsbottomdentalsurgery.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Smile Transformation & Cosmetic Services Ltd,CQC directory (auto-downloaded),
True Dentistry,,"177 Chorley New Road, Bolton",BL1 4QZ,Bolton (BL1),01204 373555,https://www.truedentistry.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Mayank Kumar Morar,CQC directory (auto-downloaded),
Synergy Dental,,"274 Blackburn Road, Bolton",BL1 8DT,Bolton (BL1),01204 522090,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Greater Manchester Oral Surgery and Restorative Group Limited,CQC directory (auto-downloaded),
Synergy Dental Clinic Swan Lane,,"48 Higher Swan Lane, Bolton",BL3 3AT,Bolton (BL3),01204 657513,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Synergy Dental Clinic Swan Lane Limited,CQC directory (auto-downloaded),
Synergy Dental Clinic,,"10 Tenterden Street, Bury",BL9 0EG,Bolton (BL9),01617 644366,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Synergy Dental Clinic Bury Ltd,CQC directory (auto-downloaded),
Ramsbottom Dental Care,,"60 Square Street, Ramsbottom, Bury",BL0 9AZ,Bolton (BL0),01706 829201,https://www.ramsbottomdental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ramsbottom Dental Care Ltd,CQC directory (auto-downloaded),
Ashid Hussain and Asif Saleem,,"6-8 Market Place, Ramsbottom, Bury",BL0 9HT,Bolton (BL0),01706 488096,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Park House Dental Practice,CQC directory (auto-downloaded),
Bolton Street Dental Practice,,"64 Bolton Street, Ramsbottom, Bury",BL0 9HX,Bolton (BL0),01706 825960,https://www.boltonstreetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Sarah Watson,CQC directory (auto-downloaded),
Dr Pauline Gail Carmichael,,"7 Longsight Road, Holcombe Brook, Bury",BL0 9SL,Bolton (BL0),01204 886408,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Pauline Gail Carmichael,CQC directory (auto-downloaded),
Walk in Centre,,"Levers Chambers Centre for Health, Ashburner Street, Bolton",BL1 1SQ,Bolton (BL1),01204 462787,https://www.boltonhospitals.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bolton NHS Foundation Trust,CQC directory (auto-downloaded),website unreachable
Cahill Dental Care Centre,,"38 Higher Bridge Street, Bolton",BL1 2HA,Bolton (BL1),01204 895774,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Chariwala Smile Limited,,"9 Marsden House, Marsden Road, Bolton",BL1 2JT,Bolton (BL1),0759 0928937,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chariwala Smile Limited,CQC directory (auto-downloaded),
DREAM SMILES DENTAL,,"2 Thomas Holden Street, Bolton",BL1 2QG,Bolton (BL1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dream Smiles Dent Ltd,CQC directory (auto-downloaded),
530 Bolton Partnership,,"530 Chorley Old Road, Bolton",BL1 6AB,Bolton (BL1),01204 843196,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,530 Bolton Partnership,CQC directory (auto-downloaded),
Sharples Dental Practice,,"757 Blackburn Road, Bolton",BL1 7JJ,Bolton (BL1),01204 306010,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jabir Mohamed Jama Duale,CQC directory (auto-downloaded),
Bennison Dental Practice,,"401-405, Halliwell Road, Bolton",BL1 8DE,Bolton (BL1),01204 491946,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr Ahmed Giaziri,CQC directory (auto-downloaded),
Synergy Dental Clinic,,"274 Blackburn Road, Bolton",BL1 8DT,Bolton (BL1),01204 522090,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Synergy Dental Clinic Bolton Ltd,CQC directory (auto-downloaded),
Synergy Dental Clinic,,"Waters Meeting House, 1 Waters Meeting Road, Bolton",BL1 8HQ,Bolton (BL1),01204 275270,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greater Manchester Oral Surgery and Restorative Group Limited,CQC directory (auto-downloaded),
Synergy Dental Clinic Specialist Ltd,,"1 Waters Meeting Road, Bolton, Bolton",BL1 8HQ,Bolton (BL1),01204 275270,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Synergy Dental Clinic Specialist Ltd,CQC directory (auto-downloaded),
Harper's Dental Practice,,"32 Bradford Street, The Haulgh, Bolton",BL2 1JJ,Bolton (BL2),01204 521140,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Harper's Dental Practice,CQC directory (auto-downloaded),
Dentist at 202,,"202-204, Tonge Moor Road, Bolton",BL2 2HN,Bolton (BL2),01204 521514,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Care4You Clinics Ltd,CQC directory (auto-downloaded),
Harwood Dental Care,,"21 Longsight, Harwood, Bolton",BL2 3HS,Bolton (BL2),01204 304568,https://www.harwooddentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Dipesh Kaushik Patel,CQC directory (auto-downloaded),
Denuvo Dental,,"143 Lea Gate, Bolton",BL2 4BQ,Bolton (BL2),01204 593300,https://www.denuvodental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Denuvo Dental,CQC directory (auto-downloaded),
Ainsworth Village Dental Practice,,"11 Church Street, Ainsworth, Bolton",BL2 5RA,Bolton (BL2),01204 382828,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ainsworth Village Dental Practice Limited,CQC directory (auto-downloaded),
372 Dental,,"372 Bury Road, Bolton",BL2 6DD,Bolton (BL2),01204 522581,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wellness & Smiles Ltd,CQC directory (auto-downloaded),
Alpha Dental Care Bolton,,"794 Bury Road, Bolton",BL2 6PA,Bolton (BL2),01204 524046,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gordon & Wild Partnership,CQC directory (auto-downloaded),
The Dental Care Centre Little Lever,,"75 Market Street, Little Lever, Bolton",BL3 1HH,Bolton (BL3),01204 796795,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Care Centre Little Lever,CQC directory (auto-downloaded),
Little Lever Dental Practice,,"100 High Street, Little Lever, Bolton",BL3 1LR,Bolton (BL3),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Little Lever Dental Practice Limited,CQC directory (auto-downloaded),
Bolton Orthodontic Centre,,"464 Manchester Road, Bolton",BL3 2NU,Bolton (BL3),01204 382242,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bolton Orthodontic Centre Ltd,CQC directory (auto-downloaded),
Synergy Dental,,"48 Higher Swan Lane, Bolton",BL3 3AT,Bolton (BL3),01204 657513,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Greater Manchester Oral Surgery and Restorative Group Limited,CQC directory (auto-downloaded),
Dental Surgery,,"272 St Helens Road, Bolton",BL3 3PZ,Bolton (BL3),120461935,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,272 Dental Care,CQC directory (auto-downloaded),
Rumworth House Dental Practice,,"512 Wigan Road, Bolton",BL3 4QW,Bolton (BL3),01204 850285,https://www.ravatandray.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Brackley House & Rumworth Dental Partnership,CQC directory (auto-downloaded),
Haslam Park Dental Practice,,"208 Wigan Road, Bolton",BL3 5QE,Bolton (BL3),01204 654141,https://www.haslamparkdentalpractice.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Haslam Park Dental Practice Ltd,CQC directory (auto-downloaded),
Derby Street Dentist,,"288 Derby Street, Bolton",BL3 6LF,Bolton (BL3),01204 366954,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Derby St Dentist Ltd,CQC directory (auto-downloaded),
Bolton Road Dental Centre,,"1 Bolton Road, Bolton",BL4 8DB,Bolton (BL4),01204 707773,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Daylesford Associates Limited,CQC directory (auto-downloaded),
Kearsley Dental Care,,"25 Bolton Road, Kearsley, Bolton",BL4 8DB,Bolton (BL4),01204 573573,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Jamil Musa,CQC directory (auto-downloaded),
Brackley House Dental Practice,,"Brackley House,  Brackley Street, Farnworth, Bolton",BL4 9ES,Bolton (BL4),01204 705363,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Highfield Dental Practice Limited,CQC directory (auto-downloaded),
GMDA Bolton,,"Brackley House, Brackley Street,  Farnworth, Bolton",BL4 9ES,Bolton (BL4),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greater Manchester Dental Alliance Ltd,CQC directory (auto-downloaded),
Chariwala Smile Limited,,"37 Victoria Road, Horwich, Bolton",BL6 5ND,Bolton (BL6),01204 468019,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chariwala Smile Limited,CQC directory (auto-downloaded),
Horwich Dental Care Centre,,"517 Chorley New Road, Horwich, Bolton",BL6 6JT,Bolton (BL6),01204 668206,https://www.horwichdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,HDCC Ltd,CQC directory (auto-downloaded),
Horwich Dental Practice,,"19-21 Winter Hey Lane, Horwich, Bolton",BL6 7AD,Bolton (BL6),01204 468210,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Scott Scoular and James Highton,CQC directory (auto-downloaded),
Dental Design Studio,,"12 Bury Road, Edgworth, Bolton",BL7 0AY,Bolton (BL7),01204 856833,https://www.dentalds.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Riaz Mitha,CQC directory (auto-downloaded),
Bromley Cross Dental Practice,,"227-229, Darwen Road,  Bromley Cross, Bolton",BL7 9BS,Bolton (BL7),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bromley Cross Dental Practice,CQC directory (auto-downloaded),
Brandlesholme Road Dental Practice,,"400 Brandlesholme Road, Bury",BL8 1HP,Bolton (BL8),01617 052882,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Michael John Fern,CQC directory (auto-downloaded),
Mile Lane Dental Practice,,"Mile Lane Health Centre, 80 Mile Lane, Bury",BL8 2JR,Bolton (BL8),01617 617550,https://www.milelanedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Nadeem Arif,CQC directory (auto-downloaded),
Eye and Dental Clinic,,"110 Ainsworth Road, Bury",BL8 2RS,Bolton (BL8),01612 225730,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Eye & Dental Clinic Ltd,CQC directory (auto-downloaded),
Tottington Dental Surgery,,"5 Back Chapel Street, Tottington, Bury",BL8 4AH,Bolton (BL8),01204 886881,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Transformation & Cosmetic Services Ltd,CQC directory (auto-downloaded),
Red Rose Healthcare,,"7-9  St. Marys Place, Bury",BL9 0DZ,Bolton (BL9),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,HF Healthcare Ltd,CQC directory (auto-downloaded),
Kissdental Bury Ltd,,"12 Tithebarn Street, Bury",BL9 0JR,Bolton (BL9),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kissdental Bury Ltd,CQC directory (auto-downloaded),
Moorgate Primary Care Centre,,"22 Derby Way, Bury",BL9 0NJ,Bolton (BL9),01925 635911,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,North Cheshire and Mersey NHS Foundation Trust,CQC directory (auto-downloaded),
Dentist On The Rock,,"26 The Rock, Bury",BL9 0NT,Bolton (BL9),01612 224840,https://www.dentistontherock.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,ABNCorp Ltd,CQC directory (auto-downloaded),
Confidental Solutions Limited,Knowsley Dental,"37 Knowsley Street, Bury",BL9 0ST,Bolton (BL9),01617 641089,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Confidental Solutions Limited,CQC directory (auto-downloaded),
Park House Dental Practice Bury,,"311 Walmersley Road, Bury",BL9 5EZ,Bolton (BL9),01617 051746,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Park House Dental Practice,CQC directory (auto-downloaded),
Bury Dental Centre,,"Brook House, 10a Wash Lane, Bury",BL9 6AS,Bolton (BL9),01617 611909,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,David Cheung,CQC directory (auto-downloaded),
S Patel & Associates,,"112 Walmersley Road, Bury",BL9 6DX,Bolton (BL9),01617 648822,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Sanjiv Patel,CQC directory (auto-downloaded),
Unsworth Smile Clinic,,"1st Floor,  57 Parr Lane, Unsworth, Bury",BL9 8JR,Bolton (BL9),01617 666661,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,USC Bury ltd,CQC directory (auto-downloaded),
