name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Old Christchurch road partnership,01202 553919,Old Christchurch road partnership,BH1 1DS,Bournemouth & Poole (BH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ocean Dentalcare,01202 589775,Ocean Dentalcare,BH1 3JP,Bournemouth & Poole (BH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.oceandentalcare.co.uk,
Boscombe Gardens Dental Practice,01202 393677,Boscombe Gardens Dental Practice,BH1 4BA,Bournemouth & Poole (BH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Boscombe Out of Hours Dental Service,01392 822343,Boscombe Out of Hours Dental Service,BH1 4EX,Bournemouth & Poole (BH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
ORAL SURGERY LTD - BOSCOMBE,0330 1229382,ORAL SURGERY LTD - BOSCOMBE,BH1 4LH,Bournemouth & Poole (BH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
SmileKind LTD,0770 3627873,SmileKind LTD,BH1 4LH,Bournemouth & Poole (BH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sea View Dental Practice,01202 746428,Sea View Dental Practice,BH14 0BD,Bournemouth & Poole (BH14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
White Align Dental,01202 797196,White Align Dental,BH14 0EF,Bournemouth & Poole (BH14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Poole Dental Practice,01202 744952,Poole Dental Practice,BH14 8UB,Bournemouth & Poole (BH14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pasadena Dental Practice Limited,01202 746573,Pasadena Dental Practice Limited,BH14 9DL,Bournemouth & Poole (BH14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pasadenadental.co.uk,
The Endodontic Practice,01202 735015,The Endodontic Practice,BH14 9LU,Bournemouth & Poole (BH14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.rootcanals.co.uk,
The Parkstone Dental Practice,01202 747545,The Parkstone Dental Practice,BH14 9LU,Bournemouth & Poole (BH14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.parkstonedentalpractice.co.uk,
Penn Hill Dental Practice,01202 746557,Penn Hill Dental Practice,BH14 9LY,Bournemouth & Poole (BH14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pennhilldental.co.uk,
