practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Old Christchurch road partnership,,"27 Old Christchurch Road, Bournemouth",BH1 1DS,Bournemouth & Poole (BH1),01202 553919,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Old Christchurch Road Partnership,CQC directory (auto-downloaded),
Ocean Dentalcare,,"1-2 Lansdowne House, Christchurch Road, Bournemouth",BH1 3JP,Bournemouth & Poole (BH1),01202 589775,https://www.oceandentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ocean Dentalcare Limited,CQC directory (auto-downloaded),
Boscombe Gardens Dental Practice,,"454 Christchurch Road, Bournemouth",BH1 4BA,Bournemouth & Poole (BH1),01202 393677,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Agila Jayaprakash,CQC directory (auto-downloaded),
Boscombe Out of Hours Dental Service,Access Dental,"1-3 The Crescent, Bournemouth",BH1 4EX,Bournemouth & Poole (BH1),01392 822343,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Access Dental Ltd,CQC directory (auto-downloaded),
ORAL SURGERY LTD - BOSCOMBE,,"30 Ashley Road, Bournemouth",BH1 4LH,Bournemouth & Poole (BH1),0330 1229382,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oral Surgery Ltd,CQC directory (auto-downloaded),
SmileKind LTD,,"30 Ashley Road, Bournemouth",BH1 4LH,Bournemouth & Poole (BH1),0770 3627873,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Kind Limited,CQC directory (auto-downloaded),
Wallisdown Dental Practice,,"95 Alton Road, Bournemouth",BH10 4AD,Bournemouth & Poole (BH10),01202 517474,https://www.wallisdowndentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Teeth For Life (Norwich) Limited,CQC directory (auto-downloaded),
Northbourne Practice Ltd,,"1370 Wimborne Road, Bournemouth",BH10 7AR,Bournemouth & Poole (BH10),01202 572030,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Northbourne Practice Ltd,CQC directory (auto-downloaded),
Poole Lane Dental Practice,,"226 Poole Lane, West Howe, Bournemouth",BH11 9DS,Bournemouth & Poole (BH11),01202 576738,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Ali Ebodi Deljoujin,CQC directory (auto-downloaded),
Bearcross Dental Practice,,"28 Fulwood Avenue, Bearcross, Bournemouth",BH11 9NJ,Bournemouth & Poole (BH11),01202 577664,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bear Cross Partnership,CQC directory (auto-downloaded),
Alder Road Practice,,"DENTAL SURGERY, 300 Alder Road, Poole",BH12 5BL,Bournemouth & Poole (BH12),01202 528529,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alder Road Practice Ltd,CQC directory (auto-downloaded),
The Dental Surgery,,"58 Canford Cliffs Road, Poole",BH13 7AA,Bournemouth & Poole (BH13),01202 747552,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Richard Farrant,CQC directory (auto-downloaded),
Park Cottage Dental Practice,,"Martello Corner,  Martello Road, Branksome Park, Poole",BH13 7DQ,Bournemouth & Poole (BH13),01202 748377,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Anthony Edwards,CQC directory (auto-downloaded),
Dental Concepts Partnership Sandbanks,,"25 Haven Road, Poole",BH13 7LE,Bournemouth & Poole (BH13),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Concepts Partnership,CQC directory (auto-downloaded),
Dental on the banks,,"20 Haven Road, Poole",BH13 7LP,Bournemouth & Poole (BH13),0788 9199868,https://www.dentalonthebanks.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental on the Banks,CQC directory (auto-downloaded),
Sea View Dental Practice,,"533 Ashley Road, Poole",BH14 0BD,Bournemouth & Poole (BH14),01202 746428,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Seaview Dental Practice,CQC directory (auto-downloaded),
White Align Dental,,"9 Bournemouth Road, Poole",BH14 0EF,Bournemouth & Poole (BH14),01202 797196,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Anthony Edwards,CQC directory (auto-downloaded),
Poole Dental Practice,,"2A Station Road, Parkstone, Poole",BH14 8UB,Bournemouth & Poole (BH14),01202 744952,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Poole Dental Practice Partnership,CQC directory (auto-downloaded),
Pasadena Dental Practice Limited,,"201 Ashley Road, Parkstone, Poole",BH14 9DL,Bournemouth & Poole (BH14),01202 746573,https://www.pasadenadental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pasadena Dental Practice Limited,CQC directory (auto-downloaded),
The Endodontic Practice,,"15 Penn Hill Avenue, Parkstone, Poole",BH14 9LU,Bournemouth & Poole (BH14),01202 735015,https://www.rootcanals.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Rootex Limited,CQC directory (auto-downloaded),
The Parkstone Dental Practice,,"35 Penn Hill Avenue, Poole",BH14 9LU,Bournemouth & Poole (BH14),01202 747545,https://www.parkstonedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Richard Edwards,CQC directory (auto-downloaded),
Penn Hill Dental Practice,,"77 Penn Hill Avenue, Poole",BH14 9LY,Bournemouth & Poole (BH14),01202 746557,https://www.pennhilldental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Michael Chanoch,CQC directory (auto-downloaded),
Park Dental,,"20 Kingland Road, Poole",BH15 1TP,Bournemouth & Poole (BH15),01202 674822,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Farid Asghari,CQC directory (auto-downloaded),
Dentistry@68,,"68 Wimborne Road, Poole",BH15 2BZ,Bournemouth & Poole (BH15),01202 673037,https://www.dentistry68.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentistry@68 Limited,CQC directory (auto-downloaded),
The247dentist Emergency Dentist - Poole,,"68 Wimborne Road, Poole",BH15 2BZ,Bournemouth & Poole (BH15),0330 1759995,https://www.the247dentist.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
Dorset Dental Clinic,,"3 Longfleet Road, Poole",BH15 2HN,Bournemouth & Poole (BH15),01202 973300,https://www.dorsetdentalclinic.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dorset Dental Implants Limited,CQC directory (auto-downloaded),website unreachable
Poole Community Health Clinic,,"Shaftesbury Road, Poole",BH15 2NT,Bournemouth & Poole (BH15),,https://www.dorsethealthcare.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dorset Healthcare University NHS Foundation Trust,CQC directory (auto-downloaded),
Thistledene Dental Practice,,"65 Parkstone Road, Poole",BH15 2NZ,Bournemouth & Poole (BH15),01202 675370,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SR Greenslade and IR Erbetta,CQC directory (auto-downloaded),
Octagon Dental Surgery,,"2 Enfield Avenue, Poole",BH15 3SF,Bournemouth & Poole (BH15),01202 674630,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Triumph Land Limited,CQC directory (auto-downloaded),
Hamworthy Dental Practice,,"324 Blandford Road, Hamworthy, Poole",BH15 4JH,Bournemouth & Poole (BH15),01202 672138,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Johannes Roul Rothman,CQC directory (auto-downloaded),
Upton Dental Surgery,,"671 Blandford Road, Poole",BH16 5EF,Bournemouth & Poole (BH16),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
O lab Poole,,"1 The Axium Centre, Dorchester Road, Poole",BH16 6FE,Bournemouth & Poole (BH16),01202 601007,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The O Clinic Limited,CQC directory (auto-downloaded),
Dorset Community Dental Service,,"Marshes End, Safety Drive, Poole",BH17 7FR,Bournemouth & Poole (BH17),01202 705810,https://www.somersetft.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Somerset NHS Foundation Trust,CQC directory (auto-downloaded),
Moonlight Dental Surgeries Limited,,"Birchwood Medical Centre, Northmead Drive,  Creekmoor, Poole",BH17 7XW,Bournemouth & Poole (BH17),01202 658157,https://www.moonlightdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Moonlight Dental Surgeries Limited,CQC directory (auto-downloaded),website unreachable
Neighbourhood Centre Dental Practice,,"23 Neighbourhood Centre, Culliford Crescent, Poole",BH17 9DW,Bournemouth & Poole (BH17),01202 692917,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Patrycja Magdalena Drozdziel-Branska,CQC directory (auto-downloaded),
Broadway Dental Surgery,,"225 Lower Blandford Road, Broadstone",BH18 8DN,Bournemouth & Poole (BH18),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Broadstone Dental Surgery Limited,CQC directory (auto-downloaded),
Ridgeway Dental Practice,,"1st Floor,  211 Lower Blandford Road, Broadstone",BH18 8EA,Bournemouth & Poole (BH18),01202 692888,https://www.ridgewaydentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Matthew Morgan,CQC directory (auto-downloaded),
Bespoke Dental,,"3 York Road, Broadstone",BH18 8EN,Bournemouth & Poole (BH18),01202 699050,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bespoke Dental Care Limited,CQC directory (auto-downloaded),
Poole Orthodontics,,"38 Lower Blandford Road, Broadstone",BH18 8NX,Bournemouth & Poole (BH18),0751 4067153,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Seaview Dental Practice,CQC directory (auto-downloaded),
