name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Teeth Innovation Ltd,01274 731818,Teeth Innovation Ltd,BD1 2DG,Bradford city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Trinity House Orthodontics,01274 916213,Trinity House Orthodontics,BD1 5PS,Bradford city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Greengates Dental Ltd,01274 615852,Greengates Dental Ltd,BD10 0BN,Apperley Bridge,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.carholmegroup.co.uk,website unreachable
Greengates Dental Practice,01274 615852,Greengates Dental Practice,BD10 0BN,Apperley Bridge,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Barkhill Dental Clinic,01274 659700,Barkhill Dental Clinic,BD10 8QY,Apperley Bridge,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.barkhilldental.com,
Taylored Dental Care,01274 611834,Taylored Dental Care,BD10 8RU,Apperley Bridge,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Whitehall Dental Care,01132 852066,Whitehall Dental Care,BD11 1AU,Birkenshaw,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bedford & Associates Dental Practice,01274 690188,Bedford & Associates Dental Practice,BD12 8AD,Low Moor,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queensbury Dental Practice,01274 880178,Queensbury Dental Practice,BD13 2BD,Thornton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
High Street Dental Practice,01274 817760,High Street Dental Practice,BD13 2PA,Thornton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Thornton Dental Care,01274 834303,Thornton Dental Care,BD13 3EY,Thornton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thorntondental.co.uk,
Mrs Gabriele Staneviciene,01274 484020,Mrs Gabriele Staneviciene,BD15 7RA,Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bingley Dental Centre,01274 569646,Bingley Dental Centre,BD16 1EW,Bingley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Urgentcare Dental,0750 3848490,Urgentcare Dental,BD16 2HL,Bingley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Oaks Dental Practice,01274 270579,The Oaks Dental Practice,BD16 3PA,Bingley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bingley Dental Practice,01274 564522,Bingley Dental Practice,BD16 4BD,Bingley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bingleydentalpractice.co.uk,website unreachable
