practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Brilliant Healthy Smiles,,"80 Kirkgate, Bradford",BD1 1TH,Bradford city centre,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Brilliant Healthy Smiles Ltd,CQC directory (auto-downloaded),
Teeth Innovation Ltd,Southgate Dentists,"72 Thornton Road, Bradford",BD1 2DG,Bradford city centre,01274 731818,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Teeth Innovation Ltd,CQC directory (auto-downloaded),
Trinity House Orthodontics,Kershaw House,"Kershaw House, 55 Well Street, Bradford",BD1 5PS,Bradford city centre,01274 916213,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Haricovert Limited,CQC directory (auto-downloaded),
Greengates Dental Ltd,,"179 New Line, Bradford",BD10 0BN,Apperley Bridge,01274 615852,https://www.carholmegroup.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greengates Dental Ltd,CQC directory (auto-downloaded),website unreachable
Greengates Dental Practice,,"179 New Line, Greengates, Bradford",BD10 0BN,Apperley Bridge,01274 615852,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greengates Dental Care,CQC directory (auto-downloaded),
Eccleshill Dental,,"Rillington Mead, Bradford",BD10 0ED,Apperley Bridge,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Karan Rishi,CQC directory (auto-downloaded),
Barkhill Dental Clinic,,"263 Highfield Road, Idle, Bradford",BD10 8QY,Apperley Bridge,01274 659700,https://www.barkhilldental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Ian Wellings,CQC directory (auto-downloaded),
Taylored Dental Care,,"450 Highfield Road, Idle, Bradford",BD10 8RU,Apperley Bridge,01274 611834,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taylored Dental Care Limited,CQC directory (auto-downloaded),
Whitehall Dental Care,,"186 Whitehall Road, Drighlington, Bradford",BD11 1AU,Birkenshaw,01132 852066,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Bradford Dental Clinic Ltd,,"7 Common Road, Low Moor, Bradford",BD12 0TN,Low Moor,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bradford Dental Clinic Ltd,CQC directory (auto-downloaded),
Bedford & Associates Dental Practice,,"Sunnybank House, 506 Huddersfield Road,  Wyke, Bradford",BD12 8AD,Low Moor,01274 690188,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bedford & Associates Limited,CQC directory (auto-downloaded),
Queensbury Dental Practice,Pearl Dental,"11A West End, Queensbury, Bradford",BD13 2BD,Thornton,01274 880178,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Narinder Khroud,CQC directory (auto-downloaded),
High Street Dental Practice,,"78 High Street, Queensbury, Bradford",BD13 2PA,Thornton,01274 817760,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Yusuf Patel,CQC directory (auto-downloaded),
Thornton Dental Care,,"90A Market Street, Thornton, Bradford",BD13 3EY,Thornton,01274 834303,https://www.thorntondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Thornton Dental Limited,CQC directory (auto-downloaded),
Clayton Dental Practice,,"1 Cambridge Street, Clayton, Bradford",BD14 6RH,Clayton,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Clayton Dental Practice Limited,CQC directory (auto-downloaded),
Mrs Gabriele Staneviciene,,"Allerton Dental Practice, 254-256 Allerton Road, Bradford",BD15 7RA,Allerton,01274 484020,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Allerton Dental Limited,CQC directory (auto-downloaded),
Bingley Dental Centre,,"1 Myrtle Avenue, Bingley",BD16 1EW,Bingley,01274 569646,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Target Dental Limited,CQC directory (auto-downloaded),
Urgentcare Dental,,"130 Main Street, Bingley",BD16 2HL,Bingley,0750 3848490,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Urgentcare Dental Limited,CQC directory (auto-downloaded),
The Oaks Dental Practice,,"The Oaks Dental Practice, Unit 3A,  192 Swan Avenue, Bingley",BD16 3PA,Bingley,01274 270579,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Honesty Dental Ltd,CQC directory (auto-downloaded),
Bingley Dental Practice,,"1 Park Road, Bingley",BD16 4BD,Bingley,01274 564522,https://www.bingleydentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bingley Dental Practice,CQC directory (auto-downloaded),website unreachable
Villa Dental Suite Ltd,,"2 Priestthorpe Lane, Bingley",BD16 4ED,Bingley,,https://villadentalsuite.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Baildon Dental Centre,,"8 Northgate, Baildon, Shipley",BD17 6JX,Shipley/Baildon,01274 596811,https://www.baildondentalcentre.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Baildon Dental Centre Limited,CQC directory (auto-downloaded),
NuDental,,"3 Berry Drive, Baildon, Shipley",BD17 7GA,Shipley/Baildon,0771 0667229,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NuDental Limited,CQC directory (auto-downloaded),
Shipley Dental Centre,,"9-13 Leeds Road, Shipley",BD18 1BP,Saltaire,0779 5342550,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Target Dental Limited,CQC directory (auto-downloaded),
Muirhead & Associates,,"204 Bradford Road, Shipley",BD18 3AP,Saltaire,01274 581550,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Muirhead & Associates Partnership,CQC directory (auto-downloaded),
Shipley Health Centre,,"Alexandra Road, Shipley, Bradford",BD18 3EG,Saltaire,,https://www.bdct.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bradford District Care NHS Foundation Trust,CQC directory (auto-downloaded),
Saltaire Orthodontics,,"4 Victoria Road, Saltaire, Shipley",BD18 3LA,Saltaire,01274 531567,https://www.saltaireorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sandeep Sharma,CQC directory (auto-downloaded),
Honesty Aesthetics Limited,,"Honesty Dental Care, 75 Kirkgate, Shipley",BD18 3LU,Saltaire,01274 533933,https://www.honestydentalcare.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Honesty Aesthetics Limited,CQC directory (auto-downloaded),
Smile On The Square Dentistry,,"19A Kirkgate, Shipley",BD18 3QW,Saltaire,01274 597966,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile on the Square Limited,CQC directory (auto-downloaded),
57 Dental Care,,"57 Bradford Road, Cleckheaton",BD19 3LB,Cleckheaton,01274 872221,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sanna Khan and Temur Khan,CQC directory (auto-downloaded),
Gomersal Dental Lounge,,"213-215, Oxford Road,  Gomersal, Cleckheaton",BD19 4PY,Cleckheaton,0757 8327773,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gomersal Dental Lounge Limited,CQC directory (auto-downloaded),
Cleckheaton Health Centre,,"Greenside, Cleckheaton",BD19 5AP,Cleckheaton,01924 351666,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Locala Community Partnerships C.I.C.,CQC directory (auto-downloaded),
Greenside Dental Care,,"1 Mortimer Street, Cleckheaton",BD19 5AR,Cleckheaton,01274 851582,https://www.greensidedental.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Greenside Dental Care Partnership,CQC directory (auto-downloaded),
R Dental Clinic,,"460 Idle Road, Bradford",BD2 2AR,Shipley,01274 638061,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Ritesh Lad,CQC directory (auto-downloaded),
Silsden Practice,,"1 Hothfield Street, Silsden, Keighley",BD20 0PP,Silsden,01535 652059,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,C.J. Harker & Associates Ltd,CQC directory (auto-downloaded),
Airedale General Hospital,,"Skipton Road, Steeton, Keighley",BD20 6TD,Silsden,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bradford District Care NHS Foundation Trust,CQC directory (auto-downloaded),
The Brace Place,,"2 Albert Road, Cross Hills, Keighley",BD20 7LE,Silsden,0742 7641874,https://www.thebraceplace.biz/,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,The Brace Place (Yorkshire) Ltd,CQC directory (auto-downloaded),website unreachable
Craven Dental Care Limited,,"46 Main Street, Cross Hills, Keighley",BD20 8TQ,Silsden,01535 633987,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Craven Dental Care Limited,CQC directory (auto-downloaded),
Keighley Health Centre,,"Oakworth Road, Keighley",BD21 1SA,Keighley,,https://www.bdct.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bradford District Care NHS Foundation Trust,CQC directory (auto-downloaded),
Plum Dental and Facial Clinic,,"30 Devonshire Street, Keighley",BD21 2AU,Keighley,01535 666451,https://www.plumdentalfacial.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Plum Dental & Facial Clinic Limited,CQC directory (auto-downloaded),
Taylored Dental Care,,"98 Cavendish Street, Keighley",BD21 3DE,Keighley,01535 603009,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taylored Dental Care Limited,CQC directory (auto-downloaded),
Taylored Dental Care,,"23 Airedale Road, Keighley",BD21 4LW,Keighley,01535 603009,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taylored Dental Care Limited,CQC directory (auto-downloaded),
Keighley Practice,,"1 Spring Wells,  Wheathead Lane, Exley Head, Keighley",BD22 6NL,Keighley/Haworth,01535 608031,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,C.J. Harker & Associates Ltd,CQC directory (auto-downloaded),
Smile Specialist Centre,,"9-13 Station Road, Haworth, Keighley",BD22 8NL,Keighley/Haworth,01535 644005,https://www.smilespecialist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Anthony Kilcoyne,CQC directory (auto-downloaded),
Bodental Dental Practice,,"33 Otley Street, Skipton",BD23 1EL,Skipton,01756 794328,https://www.pgbodental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ilkley Dental Care Limited,CQC directory (auto-downloaded),website unreachable
Muirhead Dental Practice,,"52-54 Otley Street, Skipton",BD23 1ET,Skipton,01756 792433,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Muirhead Dental Health Limited,CQC directory (auto-downloaded),
Gargrave Road Dental Practice,,"Gargrave Road Dental Practice Ltd, 33 Gargrave Road, Skipton",BD23 1PU,Skipton,01756 793264,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gargrave Road Dental Practice Limited,CQC directory (auto-downloaded),
Belle Vue Dental Practice,,"32 Belle Vue Terrace, Skipton",BD23 1RU,Skipton,01756 793558,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ilkley Dental Care Limited,CQC directory (auto-downloaded),
Skipton Acorn Business Park Dental Practice Partnership,,"Unit 4, Acorn Business Park,  Airedale Business Centre, Skipton",BD23 2UE,Skipton,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Skipton Acorn Business Park Dental Practice Partnership,CQC directory (auto-downloaded),
Gargrave Dental Practice,,"18 East Street, Gargrave, Skipton",BD23 3RS,Skipton,01756 748339,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gabby Khela Limited,CQC directory (auto-downloaded),
Grassington Dental Care,,"9 Station Road, Grassington, Skipton",BD23 5LS,Skipton,01756 753782,https://www.grassingtondentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grassington Dental Care Limited,CQC directory (auto-downloaded),website unreachable
Trinity House Orthodontics BRADFORD NORTH,,"173 Otley Road, Bradford",BD3 0HX,Bradford east,01924 369696,https://www.trinityhouse-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Haricovert Limited,CQC directory (auto-downloaded),
Peel Park Dental Practice,,"207 Otley Road, Bradford",BD3 0JF,Bradford east,01274 638092,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Peel Park Dental Practice,CQC directory (auto-downloaded),
A1 Dental Care,A1 Dental Care,"983 Leeds Road, Bradford",BD3 7ND,Bradford east,01274 664635,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Natwarlal Tibrewal,CQC directory (auto-downloaded),
Leeds Road Dental Practice,,"649 Leeds Road, Bradford",BD3 8EL,Bradford east,01274 664913,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leeds Road Dental Practice Limited,CQC directory (auto-downloaded),
Barkerend Health Centre,,"Barkerend Road, Bradford",BD3 8QH,Bradford east,,https://www.bdct.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bradford District Care NHS Foundation Trust,CQC directory (auto-downloaded),
K S Hunjan & Associates Dental Practice Bradford,,"812a Leeds Road, Bradford",BD3 9TY,Bradford east,01274 656079,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,K S Hunjan Associates Limited,CQC directory (auto-downloaded),
Pav Dental,,"786 Leeds Road, Bradford",BD3 9TY,Bradford east,0786 4605964,https://www.pavdental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mars Purifier Ltd,CQC directory (auto-downloaded),
dentistry@BD4,,"Tyrone House, 134 Holme Lane, Bradford",BD4 0PU,Bradford south,01274 688600,https://www.dentistryatbd4.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentistry@ Limited,CQC directory (auto-downloaded),
Wakefield Road Dental Surgery,,"773-775 Wakefield Road, Bradford",BD4 7PT,Bradford south,01274 729012,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Saad Chaudhry,CQC directory (auto-downloaded),
Olney Dental Care,,"5 Lister Avenue, Bradford",BD4 7QP,Bradford south,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Olney Dental Care Limited,CQC directory (auto-downloaded),
