name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Claremont Dental Practice,01323 897502,Claremont Dental Practice,BN25 1NT,Brighton & Hove (BN25),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.claremontdental.org,
House of Dentistry,01273 779156,House of Dentistry,BN3 1NA,Brighton & Hove (BN3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thehouseofdental.co.uk,
Duke Street Dental Centre,01273 711999,Duke Street Dental Centre,BN1 1AG,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentistbrighton.co.uk,
Brighton Dental Clinic,01273 570700,Brighton Dental Clinic,BN1 1EN,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Norfolk Square Dental Practice,01273 733000,Norfolk Square Dental Practice,BN1 2PE,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nsqdentalpractice.co.uk,
Montpelier Dental Practice,01273 733901,Montpelier Dental Practice,BN1 3BA,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brighton White Dental Studio,01273 779377,Brighton White Dental Studio,BN1 3DD,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brighton Dental Centre,0778 9797170,Brighton Dental Centre,BN1 3JE,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Health Spa - Brighton,01273 710831,Dental Health Spa - Brighton,BN1 3WA,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalhealthspa.co.uk,
Dr Michael Amos,01273 677333,Dr Michael Amos,BN1 4AF,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.jeffamos.co.uk,
Brighton Dental Care,01273 681336,Brighton Dental Care,BN1 4EP,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Trafalgar Dental Practice,01273 677727,Trafalgar Dental Practice,BN1 4EP,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Neo Orthodontics Brighton,01273 803456,Neo Orthodontics Brighton,BN1 4GE,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.neo-orthodontics.com,website unreachable
Portman Smile Clinic,01795 477224,Portman Smile Clinic,BN1 4GE,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Portman Smile Clinic Brighton,01273 068273,Portman Smile Clinic Brighton,BN1 4GE,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Preston Circus Dental Practice,01273 605199,Preston Circus Dental Practice,BN1 4JJ,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smileworks,01273 964999,Smileworks,BN1 5AE,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
MDS Dental Care,01273 553317,MDS Dental Care,BN1 5BF,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Townhouse Dental Practice,01273 553317,The Townhouse Dental Practice,BN1 5BF,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westdene Dental Practice Partnership,01273 550116,Westdene Dental Practice Partnership,BN1 5EG,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westdenedental.co.uk,
The Denture Clinic,01273 032999,The Denture Clinic,BN1 6AF,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Surrenden Dental Practice,01273 501909,Surrenden Dental Practice,BN1 6PP,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.surrendendental.com,
White House Dental Practice,01273 506984,White House Dental Practice,BN1 6SG,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.whitehousedentalpractice.co.uk,
Elms Lea Dental Practice,01273 508000,Elms Lea Dental Practice,BN1 6UG,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.elmslea.com,
Mrs Joanne Crossman,0747 2583271,Mrs Joanne Crossman,BN1 8XD,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Village Dental Centre,01273 885522,The Village Dental Centre,BN1 8XQ,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Newick Dental Practice,01273 693300,Newick Dental Practice,BN1 9JG,Brighton & Hove (BN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
South Coast Dental Centre,01273 583166,South Coast Dental Centre,BN10 7PD,Brighton & Hove (BN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Peacehaven Dental practice,01273 582226,Peacehaven Dental practice,BN10 8JR,Brighton & Hove (BN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Worthing Implant Centre,01903 947911,Worthing Implant Centre,BN11 1DU,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clinic for Implant & Orthodontic Dentistry,01903 821822,Clinic for Implant & Orthodontic Dentistry,BN11 1EG,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brighton Implant Clinic (Worthing Branch),0800 1116625,Brighton Implant Clinic (Worthing Branch),BN11 1LZ,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.worthingdentalcentre.co.uk,
Worthing Dental Centre,0800 1116627,Worthing Dental Centre,BN11 1RY,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Strand Dental,01903 238249,Strand Dental,BN11 1SU,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.strand-dental.co.uk,
Expert Dental Care Worthing,0776 5765130,Expert Dental Care Worthing,BN11 3BP,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Marine Parade Dental Practice,01903 234136,Marine Parade Dental Practice,BN11 3QA,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Endodontic Practice,01903 247733,The Endodontic Practice,BN11 5AD,Brighton & Hove (BN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.endospecialist.co.uk,
