practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Expert Dental Care,,"6 Queens Parade,  North Road, Lancing",BN15 9BA,Brighton & Hove (BN15),,https://www.expertdentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,B J Trade Ltd,CQC directory (auto-downloaded),
Abbots Lodge Dental Practice,,"85 The Street, Rustington, Littlehampton",BN16 3NL,Brighton & Hove (BN16),,https://www.abbotslodge.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Abbots Lodge Dental Practice Limited,CQC directory (auto-downloaded),
Claremont Dental Practice,,"1-3 Terminus Buildings, Claremont Road,  Seaford,  East Sussex, Seaford",BN25 1NT,Brighton & Hove (BN25),01323 897502,https://www.claremontdental.org,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Scaptrani Dental Limited,CQC directory (auto-downloaded),
House of Dentistry,House of Dentistry,"14 Brunswick Place, Hove",BN3 1NA,Brighton & Hove (BN3),01273 779156,https://www.thehouseofdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Brunswick Court Dental Practice Limited,CQC directory (auto-downloaded),
Duke Street Dental Centre,Enamel Dental Care - Duke Street Dental Centre,"28-29 Duke Street, Brighton",BN1 1AG,Brighton & Hove (BN1),01273 711999,https://www.dentistbrighton.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Duke Street Dental Centre Limited,CQC directory (auto-downloaded),
Brighton Dental Clinic,,"St James's Mansions, Old Steine, Brighton",BN1 1EN,Brighton & Hove (BN1),01273 570700,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Brighton Dental Clinic Limited,CQC directory (auto-downloaded),
Norfolk Square Dental Practice,,"40 Norfolk Square, Brighton",BN1 2PE,Brighton & Hove (BN1),01273 733000,https://www.nsqdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Norfolk Square Dental Practice,CQC directory (auto-downloaded),
Montpelier Dental Practice,,"38 Montpelier Road, Brighton",BN1 3BA,Brighton & Hove (BN1),01273 733901,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alliance Dental Care Limited,CQC directory (auto-downloaded),
Brighton White Dental Studio,,"2 Hampton Place, Brighton",BN1 3DD,Brighton & Hove (BN1),01273 779377,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Arash Jafari,CQC directory (auto-downloaded),
Brighton Dental Centre,,"69-75 Dyke Road, Brighton",BN1 3JE,Brighton & Hove (BN1),0778 9797170,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alliance Dental Care Limited,CQC directory (auto-downloaded),
