name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
High Street Dental Practice,01179 260265,High Street Dental Practice,BS1 2AZ,Bristol (BS1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.highstreetdental.co.uk,
"The Dental Clinic, Portishead",01275 848825,"The Dental Clinic, Portishead",BS20 6EH,Bristol (BS20),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dentalclinicportishead.co.uk,
Saltford Dental Practice,01225 257631,Saltford Dental Practice,BS31 3DJ,Bristol (BS31),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.primo.dental,
Positeeth,0778 8966237,Positeeth,BS1 1XH,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.positeeth.co.uk,
Clare Street Dental Centre,01179 275890,Clare Street Dental Centre,BS1 1YA,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.execudent.co.uk,
Smmmile Bristol,01174 620100,Smmmile Bristol,BS1 3JA,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smmmile Bristol,0794 3336492,Smmmile Bristol,BS1 3JD,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Your Dentist Limited,01179 544666,Your Dentist Limited,BS1 4AZ,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bristol Dental Practice,01179 105929,Bristol Dental Practice,BS1 4JQ,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thebristoldentist.co.uk,website unreachable
Queen Square Dental Implant Suite,01179 102400,Queen Square Dental Implant Suite,BS1 4LF,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bristolplasticsurgery.com,
Queen Square Dental Clinic,01179 272797,Queen Square Dental Clinic,BS1 4NH,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
IMPRESS BRISTOL,02038 081072,IMPRESS BRISTOL,BS1 5AQ,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BristolDent Harbourside,01179 117333,BristolDent Harbourside,BS1 5LW,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Practice at The General,01173 691230,The Practice at The General,BS1 6SY,Bristol (BS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.practicegeneral.co.uk,
Andrew Horne Limited t/a City Bridge Dental Care,01179 507949,Andrew Horne Limited t/a City Bridge Dental Care,BS10 5DX,Bristol (BS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
City Bridge Dental Care,0778 3139922,City Bridge Dental Care,BS10 5DX,Bristol (BS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NUYU Dental & Aesthetics Bristol,01179 507949,NUYU Dental & Aesthetics Bristol,BS10 5DX,Bristol (BS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Twindent Dental Care,0752 5827173,Twindent Dental Care,BS10 6BB,Bristol (BS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Passage House Dental Care,01179 503141,Passage House Dental Care,BS10 7DL,Bristol (BS10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.passagehousedental.co.uk,
21D Bristol,0800 0073199,21D Bristol,BS16 1FX,Bristol (BS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.21d.co.uk,
Smile Orchard,01179 567603,Smile Orchard,BS16 1NU,Bristol (BS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oldbury Court Dental Centre,01179 651501,Oldbury Court Dental Centre,BS16 2HH,Bristol (BS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.execudent.co.uk,
Lodge Causeway Dental Centre,01179 586878,Lodge Causeway Dental Centre,BS16 3PL,Bristol (BS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Staplehill Dental Practice,01179 566121,Staplehill Dental Practice,BS16 5HD,Bristol (BS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Ashfield,01173 038000,HMP Ashfield,BS16 9QJ,Bristol (BS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
D A & C Houston & Associates - Macrae Road,01275 373497,D A & C Houston & Associates - Macrae Road,BS20 0DD,Bristol (BS20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.houstondentists.co.uk/ham-green,
Renton-Harper Periodontics,0777 9236980,Renton-Harper Periodontics,BS20 0DD,Bristol (BS20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Combe Road Dental Surgery,01275 817781,Combe Road Dental Surgery,BS20 6BJ,Bristol (BS20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Portishead Dental Practice,01275 399845,Portishead Dental Practice,BS20 6JY,Bristol (BS20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dantale Bristol,0330 0585818,Dantale Bristol,BS20 6PN,Bristol (BS20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentaletraining.co.uk,website unreachable
Evolve Dentistry,01275 842550,Evolve Dentistry,BS20 7AL,Bristol (BS20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.evolve-dentistry.co.uk,
Lime Tree Dental Practice,01275 840234,Lime Tree Dental Practice,BS20 7ET,Bristol (BS20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.limetreedental.co.uk,
J H Stevens - Weston,01934 629856,J H Stevens - Weston,BS23 1EB,Bristol (BS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentalspa25,01934 627319,Dentalspa25,BS23 1NX,Bristol (BS23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
