practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
High Street Dental Practice,,"44 High Street, Bristol",BS1 2AZ,Bristol (BS1),01179 260265,https://www.highstreetdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Cinal Ltd,CQC directory (auto-downloaded),
"The Dental Clinic, Portishead",,"78 High Street, Portishead, Bristol",BS20 6EH,Bristol (BS20),01275 848825,https://www.dentalclinicportishead.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Jaymar Ltd,CQC directory (auto-downloaded),
Saltford Dental Practice,,"478 Bath Road, Saltford, Bristol",BS31 3DJ,Bristol (BS31),01225 257631,https://www.primo.dental,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Primo South West Limited,CQC directory (auto-downloaded),
Positeeth,,"13 Clare Street, Bristol",BS1 1XH,Bristol (BS1),0778 8966237,https://www.positeeth.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Positeeth Limited,CQC directory (auto-downloaded),
Clare Street Dental Centre,,"16-24 Clare Street, Bristol",BS1 1YA,Bristol (BS1),01179 275890,https://www.execudent.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Execudent Limited,CQC directory (auto-downloaded),
Smmmile Bristol,,"1-4 The Arcade, Broadmead, Bristol",BS1 3JA,Bristol (BS1),01174 620100,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smmmile Bristol Limited,CQC directory (auto-downloaded),
Smmmile Bristol,,"1-4 The Arcade, Bristol",BS1 3JD,Bristol (BS1),0794 3336492,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SRKP Limited,CQC directory (auto-downloaded),
Your Dentist Limited,,"1 Telephone Avenue, Marsh Street, Bristol",BS1 4AZ,Bristol (BS1),01179 544666,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Your Dentist Limited,CQC directory (auto-downloaded),
Bristol Dental Practice,,"1 Queen Square, Bristol",BS1 4JQ,Bristol (BS1),01179 105929,https://www.thebristoldentist.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bristol Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
Queen Square Dental Implant Suite,,"58 Queen Square, Bristol",BS1 4LF,Bristol (BS1),01179 102400,https://www.bristolplasticsurgery.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ermevin Ltd,CQC directory (auto-downloaded),
