name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Bromley Park Dental and Implant Centre,02084 667393,Bromley Park Dental and Implant Centre,BR2 0BW,Bromley (BR2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ferndale-dental.co.uk,
Beckenham Smiles,02038 052380,Beckenham Smiles,BR3 1EB,Bromley (BR3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.beckenhamsmilesdental.co.uk/contact/,
Kent House Dental Clinic,02087 787614,Kent House Dental Clinic,BR3 4RJ,Bromley (BR3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.khdc.co.uk,
Caring Dental,01689 664600,Caring Dental,BR5 1LY,Bromley (BR5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.caringdental.co.uk,
JES Dental Studio,02081 910095,JES Dental Studio,BR7 5NP,Bromley (BR7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.jesdentalstudio.co.uk,
Dental Beauty Swanley,01322 668150,Dental Beauty Swanley,BR8 8AE,Bromley (BR8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://dentalbeautyswanley.co.uk,
Bella Dental,0798 9534433,Bella Dental,BR1 1EG,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.belladental.co.uk,
Bromley smiles,02033 763734,Bromley smiles,BR1 1EZ,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
All Smiles Dental Practice,0791 6288204,All Smiles Dental Practice,BR1 1JQ,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.allsmilesdental.co.uk/,
Bromley Dental Studio,02084 642900,Bromley Dental Studio,BR1 1PW,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bromleydentalstudio.co.uk,
Rochester Lodge Dental Practice,02084 601041,Rochester Lodge Dental Practice,BR1 3DD,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr K Brophy Dental Surgery,02084 602911,Dr K Brophy Dental Surgery,BR1 3NH,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Buckley Practice,02084 609742,The Buckley Practice,BR1 3PR,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Premier Orthodontics Bromley,02084 606464,Premier Orthodontics Bromley,BR1 3PU,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.premierorthodontics.co.uk,
Dental Beauty Bromley,02084 607738,Dental Beauty Bromley,BR1 3RX,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bromley.dentist/contact-us/,website unreachable
Arkh-View Dental Care,02086 981101,Arkh-View Dental Care,BR1 4PH,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HB Dental Practice,02084 666001,HB Dental Practice,BR1 5AB,Bromley (BR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Premier Dental Clinic,02084 661889,Premier Dental Clinic,BR2 0DN,Bromley (BR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shortlands Dental Practice Limited,02084 647520,Shortlands Dental Practice Limited,BR2 0EF,Bromley (BR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shortlandsdentalpractice.co.uk,website unreachable
