practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Bromley Park Dental and Implant Centre,,"250 Bromley Road, Shortlands, Bromley",BR2 0BW,Bromley (BR2),02084 667393,https://www.ferndale-dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Fearns Limited,CQC directory (auto-downloaded),
Beckenham Smiles,,"122-124, High Street, Beckenham",BR3 1EB,Bromley (BR3),02038 052380,https://www.beckenhamsmilesdental.co.uk/contact/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Beckenham Smiles Ltd,CQC directory (auto-downloaded),
Kent House Dental Clinic,,"180 Beckenham Road, Beckenham",BR3 4RJ,Bromley (BR3),02087 787614,https://www.khdc.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Sejal Patel,CQC directory (auto-downloaded),
Caring Dental,,"19 Station Square, Petts Wood, Orpington",BR5 1LY,Bromley (BR5),01689 664600,https://www.caringdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Domelia Dental Ltd,CQC directory (auto-downloaded),
JES Dental Studio,,"59 Chislehurst Road, Chislehurst",BR7 5NP,Bromley (BR7),02081 910095,https://www.jesdentalstudio.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Chisledent Limited,CQC directory (auto-downloaded),
Dental Beauty Swanley,,"1B High Street, Swanley",BR8 8AE,Bromley (BR8),01322 668150,https://dentalbeautyswanley.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Beauty Partnership,CQC directory (auto-downloaded),
Bella Dental,,"Ground Floor, 52 High Street, Bromley",BR1 1EG,Bromley (BR1),0798 9534433,https://www.belladental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bella Dental Ltd,CQC directory (auto-downloaded),
Bromley smiles,,"146 High Street, Bromley",BR1 1EZ,Bromley (BR1),02033 763734,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,3GO Smiles Limited,CQC directory (auto-downloaded),
All Smiles Dental Practice,,"97 High Street, Bromley",BR1 1JQ,Bromley (BR1),0791 6288204,https://www.allsmilesdental.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,All Smiles Dental Practice Ltd,CQC directory (auto-downloaded),
Shmile Dentist Bromley,,"235 High Street, Bromley",BR1 1NZ,Bromley (BR1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shmile Ltd,CQC directory (auto-downloaded),
Bromley Dental Studio,,"220 High Street, Bromley",BR1 1PW,Bromley (BR1),02084 642900,https://www.bromleydentalstudio.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Dave Sebastian Mathew,CQC directory (auto-downloaded),
Gentle Dental Care -Bromley Park,,"6 Daly Drive, Bromley",BR1 2FF,Bromley (BR1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,BSV Bromley Limited,CQC directory (auto-downloaded),
Rochester Lodge Dental Practice,,"14 Rochester Avenue, Bromley",BR1 3DD,Bromley (BR1),02084 601041,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Rochester Lodge Dental Practice Limited,CQC directory (auto-downloaded),
Dr K Brophy Dental Surgery,,"63 Tweedy Road, Bromley",BR1 3NH,Bromley (BR1),02084 602911,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Kevin Joseph Brophy,CQC directory (auto-downloaded),
The Buckley Practice,,"31 Tweedy Road, Bromley",BR1 3PR,Bromley (BR1),02084 609742,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Buckley Practice Limited,CQC directory (auto-downloaded),
Premier Orthodontics Bromley,,"47 College Road, Bromley",BR1 3PU,Bromley (BR1),02084 606464,https://www.premierorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Premier Orthodontics Limited,CQC directory (auto-downloaded),
Dental Beauty Bromley,,"18 Blyth Road, Bromley",BR1 3RX,Bromley (BR1),02084 607738,https://www.bromley.dentist/contact-us/,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Beauty Bromley,CQC directory (auto-downloaded),website unreachable
Arkh-View Dental Care,,"455 Bromley Road, Bromley",BR1 4PH,Bromley (BR1),02086 981101,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Alarape Tanimowo Ojetunde,CQC directory (auto-downloaded),
HB Dental Practice,,"117 Burnt Ash Lane, Bromley",BR1 5AB,Bromley (BR1),02084 666001,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Arkh-View Surgeries Limited,CQC directory (auto-downloaded),
Premier Dental Clinic,,"77 Beckenham Lane, Bromley",BR2 0DN,Bromley (BR2),02084 661889,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Premier Dental & Implant Centre Ltd,CQC directory (auto-downloaded),
Shortlands Dental Practice Limited,,"Shortlands Dental Practice, 98 Martins Road, Bromley",BR2 0EF,Bromley (BR2),02084 647520,https://www.shortlandsdentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shortlands Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
Ayling Associates,,"13 Station Approach, Hayes, Bromley",BR2 7EQ,Bromley (BR2),02084 622264,https://www.ayling-associates-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Annemarie Ayling,CQC directory (auto-downloaded),
Hayes Dental Surgery,,"33 Pickhurst Lane, Bromley",BR2 7JE,Bromley (BR2),02084 621347,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hayes Dental Practice,CQC directory (auto-downloaded),
The Mary Jones Dental Practice,,"1 Street House, George Lane, Bromley",BR2 7LQ,Bromley (BR2),02084 620200,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Ceinwen Mary Jones,CQC directory (auto-downloaded),
Confidental Care,,"207 Southborough Lane, Bickley, Bromley",BR2 8AR,Bromley (BR2),02082 893388,https://www.confidentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Khalid Faiz,CQC directory (auto-downloaded),
Smile Dental Practice,,"155 Hastings Road, Bromley",BR2 8NQ,Bromley (BR2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Splendent Care Limited,CQC directory (auto-downloaded),
Bromley Dental Suite,,"23 Masons Hill, Bromley",BR2 9HD,Bromley (BR2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bromley Dental Suite Limited,CQC directory (auto-downloaded),
