practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Bridges Dental Clinic,,"THE BRIDGES,5-9 BACK BRIDGE ST, WICK",KW1 4AH,Orkney & Caithness (KW1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Wick Dental Practice,,"UNIT 8, WICK BUSINESS PARK, WICK",KW1 4QR,Orkney & Caithness (KW1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Adc Golspie Practice,,"GOLSPIE IND. ESTATE, UNIT 11, GOLSPIE",KW106RN,Orkney & Caithness (KW10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bridgend Health Care Centre,,"5 SIR GEORGE STREET, THURSO",KW147AW,Orkney & Caithness (KW14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ormlie Hill Dental Clinic,,"ORMLIE HILL, THURSO",KW147DY,Orkney & Caithness (KW14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dunbar Dental Clinic,,"DUNBAR HOSPITAL, ORMLIE RD, THURSO",KW147XE,Orkney & Caithness (KW14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Orkney Dental,,"62-64 VICTORIA STREET, KIRKWALL",KW151DN,Orkney & Caithness (KW15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Daisybank Clinic,,"BERSTANE ROAD, KIRKWALL",KW151NA,Orkney & Caithness (KW15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Balfour,,"FORELAND ROAD, KIRKWALL",KW151NZ,Orkney & Caithness (KW15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Orkney Dental,,"22 JOHN STREET, STROMNESS",KW163AD,Orkney & Caithness (KW16),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
