name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
New Square Dental Surgery,01223 506492,New Square Dental Surgery,CB1 1EZ,Cambridge & Ely (CB1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.newsquaredentalpractice.co.uk/,
Williamson Dental,01223 366739,Williamson Dental,CB1 1HT,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wello,0808 2540050,Wello,CB1 2FP,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Norfolk Street Dental Surgery,01223 358884,Norfolk Street Dental Surgery,CB1 2LF,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brookfields Hospital,0300 5556655,Brookfields Hospital,CB1 3DF,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Antwerp House Dental Practice,01223 247690,Antwerp House Dental Practice,CB1 3NW,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Burnside Dental Surgery,01223 244711,Burnside Dental Surgery,CB1 3PA,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.burnsidedental.co.uk,
Devonshire House Dental Practice,01223 245266,Devonshire House Dental Practice,CB1 7PN,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Gables Dental Practice Limited,01223 248202,The Gables Dental Practice Limited,CB1 8AZ,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thegablesdentalpractice.co.uk,
Cherry Hinton Dental Centre,01223 414844,Cherry Hinton Dental Centre,CB1 9HX,Cambridge & Ely (CB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Saffron Walden Dental Practice,01799 521357,Saffron Walden Dental Practice,CB10 1EE,Cambridge & Ely (CB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Market Street Clinic,01799 528900,Market Street Clinic,CB10 1HZ,Cambridge & Ely (CB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.marketstreet.clinic,
Church Street Dental Surgery,01799 528555,Church Street Dental Surgery,CB10 1JW,Cambridge & Ely (CB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.churchstreetdentalsurgery.com,
Courtyard Dental Practice,01799 523500,Courtyard Dental Practice,CB10 1LS,Cambridge & Ely (CB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.courtyarddental.net,
Regent Street Dental Surgery,01223 355293,Regent Street Dental Surgery,CB2 1DP,Cambridge & Ely (CB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
ToothStation Dental Practice,01223 324524,ToothStation Dental Practice,CB2 1DP,Cambridge & Ely (CB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.toothstation.co.uk,
Trumpington Street Dentistry,0779 3608024,Trumpington Street Dentistry,CB2 1QA,Cambridge & Ely (CB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cambridge Orthodontic Practice,01223 411922,Cambridge Orthodontic Practice,CB2 8PP,Cambridge & Ely (CB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Hills Road Dental Practice,01223 240061,Hills Road Dental Practice,CB2 8RP,Cambridge & Ely (CB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hillsroaddental.com,
Dentistry And More,0782 7963945,Dentistry And More,CB2 9GX,Cambridge & Ely (CB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Surgery,01223 840621,Dental Surgery,CB2 9NH,Cambridge & Ely (CB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentastique.co.uk,
High Street Dental Practice,01223 835845,High Street Dental Practice,CB22 3BG,Cambridge & Ely (CB22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sawstondentist.com,
Pampisford Dental Practice,01223 566595,Pampisford Dental Practice,CB22 3EW,Cambridge & Ely (CB22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pampisford Dental Practice Ltd,01223 566595,Pampisford Dental Practice Ltd,CB22 3EW,Cambridge & Ely (CB22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Devonshire House Copley,01223 941551,Devonshire House Copley,CB22 3GN,Cambridge & Ely (CB22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mr Raj Wadhwani,01223 839520,Mr Raj Wadhwani,CB22 3HY,Cambridge & Ely (CB22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Great Shelford,01223 843567,Great Shelford,CB22 5LZ,Cambridge & Ely (CB22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Apple Tree Dental Practice,01223 262838,Apple Tree Dental Practice,CB23 7DS,Cambridge & Ely (CB23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Cornflower Clinic Ltd,0782 5818344,Cornflower Clinic Ltd,CB23 8DS,Cambridge & Ely (CB23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cornflowerclinic.co.uk,
Bar Hill Dental Clinic,01954 781616,Bar Hill Dental Clinic,CB23 8EH,Cambridge & Ely (CB23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clive Jones Dental Practice,01954 782181,Clive Jones Dental Practice,CB24 3BP,Cambridge & Ely (CB24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.clivejonesdentalpractice.co.uk,website unreachable
Wiese and Associates - Cottenham,01954 251696,Wiese and Associates - Cottenham,CB24 8QZ,Cambridge & Ely (CB24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Station Road Dental Surgery,01223 236799,Station Road Dental Surgery,CB24 9LF,Cambridge & Ely (CB24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Histon Dental Clinic,01223 566121,Histon Dental Clinic,CB24 9LQ,Cambridge & Ely (CB24),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cambridge Dental,01223 461381,Cambridge Dental,CB3 9EY,Cambridge & Ely (CB3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Anglia Orthodontics,01223 305526,Anglia Orthodontics,CB3 9PA,Cambridge & Ely (CB3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Cambridge Dental Group,01223 350367,Cambridge Dental Group,CB4 1AS,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cambridgedentalgroup.co.uk,
St Mark Dental Surgery,01223 507750,St Mark Dental Surgery,CB4 1DY,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Akeman Dental Ltd,0741 2051705,Akeman Dental Ltd,CB4 1RL,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cambridge Smile Studio,01223 778141,Cambridge Smile Studio,CB4 1UZ,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cambridgesmilestudio.co.uk,
Cambridge Smile Studios,01223 778141,Cambridge Smile Studios,CB4 1UZ,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cambridgesmilestudio.co.uk,
Hurst Park Dental Practice,01223 356765,Hurst Park Dental Practice,CB4 2AE,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hurst Park Dental Practice Limited,01223 356765,Hurst Park Dental Practice Limited,CB4 2AE,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hurstparkdental.co.uk,
50 Metcalfe Road,01223 354176,50 Metcalfe Road,CB4 2DD,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Seminars - Cavendish House,01223 467000,Dental Seminars - Cavendish House,CB4 2JJ,Cambridge & Ely (CB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cavendishhouse.com,
Nickolas Burnett & Associates Dental Surgery,0794 9340979,Nickolas Burnett & Associates Dental Surgery,CB5 8DT,Cambridge & Ely (CB5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Nickolas Burnett & Associates Ltd,01223 351260,Nickolas Burnett & Associates Ltd,CB5 8DT,Cambridge & Ely (CB5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
