practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
New Square Dental Surgery,,"35 New Square, Cambridge",CB1 1EZ,Cambridge & Ely (CB1),01223 506492,https://www.newsquaredentalpractice.co.uk/,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Monica Bhardwaj,CQC directory (auto-downloaded),
Enhance Dental Centre,,"Unit 116 Lancaster Way Business Park, Ely  Cambridgeshire, Ely",CB6 3NX,Cambridge & Ely (CB6),01353 666895,https://www.enhancedentalely.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Enhance68 Limited,CQC directory (auto-downloaded),
Williamson Dental,,"16 Christchurch Street, Cambridge",CB1 1HT,Cambridge & Ely (CB1),01223 366739,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Williamson Dental Limited,CQC directory (auto-downloaded),
Wello,,"25 Station Place, Cambridge",CB1 2FP,Cambridge & Ely (CB1),0808 2540050,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wello Denspa Ltd,CQC directory (auto-downloaded),
Norfolk Street Dental Surgery,,"24 Norfolk Street, Cambridge",CB1 2LF,Cambridge & Ely (CB1),01223 358884,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Norfolk Street Dental Surgery Limited,CQC directory (auto-downloaded),
Brookfields Hospital,,"351 Mill Road, Cambridge",CB1 3DF,Cambridge & Ely (CB1),0300 5556655,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,East of England Community Health and Care NHS Trust,CQC directory (auto-downloaded),
Antwerp House Dental Practice,,"36 Brookfields, Cambridge",CB1 3NW,Cambridge & Ely (CB1),01223 247690,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Raj Wadhwani,CQC directory (auto-downloaded),
Burnside Dental Surgery,,"97-99 Burnside, Cambridge",CB1 3PA,Cambridge & Ely (CB1),01223 244711,https://www.burnsidedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Burnside Dental Surgery Limited,CQC directory (auto-downloaded),
Devonshire House Dental Practice,,"2 Queen Ediths Way, Cambridge",CB1 7PN,Cambridge & Ely (CB1),01223 245266,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Riverdale Tradeco Limited,CQC directory (auto-downloaded),
The Gables Dental Practice Limited,,"332 Cherry Hinton Road, Cambridge",CB1 8AZ,Cambridge & Ely (CB1),01223 248202,https://www.thegablesdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Gables Dental Practice Limited,CQC directory (auto-downloaded),
Cherry Hinton Dental Centre,,"39B High Street, Cherry Hinton, Cambridge",CB1 9HX,Cambridge & Ely (CB1),01223 414844,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cambridge Smiles Ltd,CQC directory (auto-downloaded),
Saffron Walden Dental Practice,,"82 High Street, Saffron Walden",CB10 1EE,Cambridge & Ely (CB10),01799 521357,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Christopher Seal,CQC directory (auto-downloaded),
Market Street Clinic,,"2 Market Street, Saffron Walden",CB10 1HZ,Cambridge & Ely (CB10),01799 528900,https://www.marketstreet.clinic,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Market Street Clinic (Essex) Limited,CQC directory (auto-downloaded),
Church Street Dental Surgery,,"19-21 Ashcroft Court, Church Street, Saffron Walden",CB10 1JW,Cambridge & Ely (CB10),01799 528555,https://www.churchstreetdentalsurgery.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Church Street Dental Surgery Ltd,CQC directory (auto-downloaded),
New Road Dental Practice,,"10 New Road, Saffron Walden",CB10 1LP,Cambridge & Ely (CB10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,New Ray Enterprises Ltd,CQC directory (auto-downloaded),
Courtyard Dental Practice,,"4 Boys British School, East Street, Saffron Walden",CB10 1LS,Cambridge & Ely (CB10),01799 523500,https://www.courtyarddental.net,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
The Walden Dental Clinic,,"6 London Road, Saffron Walden",CB11 4ED,Cambridge & Ely (CB11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Practice @ 6 London Road Partnership,CQC directory (auto-downloaded),
Regent Street Dental Surgery,,"102 Regent Street, Cambridge",CB2 1DP,Cambridge & Ely (CB2),01223 355293,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Regent Street Dental Surgery,CQC directory (auto-downloaded),
ToothStation Dental Practice,,"114 Regent Street, Cambridge",CB2 1DP,Cambridge & Ely (CB2),01223 324524,https://www.toothstation.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tooth Station Ltd,CQC directory (auto-downloaded),
Trumpington Street Dentistry,,"3 Trumpington Street, Cambridge",CB2 1QA,Cambridge & Ely (CB2),0779 3608024,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Trumpington St Dental Practice Ltd,CQC directory (auto-downloaded),
The Belvedere Dental,,"6 Homerton Street, Cambridge",CB2 8NX,Cambridge & Ely (CB2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Night Dental Ltd,CQC directory (auto-downloaded),
Cambridge Orthodontic Practice,Cambridge Orthodontic Practice,"43 Long Road, Cambridge",CB2 8PP,Cambridge & Ely (CB2),01223 411922,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"Wiltus Botha, Lorinda Pietersen and Marlise De Vos",CQC directory (auto-downloaded),
Hills Road Dental Practice,,"259 Hills Road, Cambridge",CB2 8RP,Cambridge & Ely (CB2),01223 240061,https://www.hillsroaddental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Patrick Humphrey,CQC directory (auto-downloaded),
Dentistry And More,,"3 Poulter Walk, Trumpington, Cambridge",CB2 9GX,Cambridge & Ely (CB2),0782 7963945,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,RDML Limited,CQC directory (auto-downloaded),
Autograph Dental Cambridge,,"First Floor,  56 High Street, Trumpington, Cambridge",CB2 9LS,Cambridge & Ely (CB2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Autograph Dental Limited,CQC directory (auto-downloaded),
Dental Surgery,,"4 Bishops Road, Trumpington, Cambridge",CB2 9NH,Cambridge & Ely (CB2),01223 840621,https://www.dentastique.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Diyari Abdah,CQC directory (auto-downloaded),
Clock House Dentistry,,"2 High Street, Linton, Cambridge",CB21 4HS,Cambridge & Ely (CB21),01223 892899,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr Raj Wadhwani,CQC directory (auto-downloaded),
Chapel Dental,,"84 Angle End, Great Wilbraham, Cambridge",CB21 5JG,Cambridge & Ely (CB21),01223 881611,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Amiras Chokshi, Dipali Chokshi",CQC directory (auto-downloaded),
High Street Dental Practice,,"47 High Street, Sawston, Cambridge",CB22 3BG,Cambridge & Ely (CB22),01223 835845,https://www.sawstondentist.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Neel Kothari,CQC directory (auto-downloaded),
Pampisford Dental Practice,,"111 Brewery Road, Pampisford, Cambridge",CB22 3EW,Cambridge & Ely (CB22),01223 566595,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Bhavin Ramakant Patel,CQC directory (auto-downloaded),
Pampisford Dental Practice Ltd,,"111 Brewery Road, Pampisford, Cambridge",CB22 3EW,Cambridge & Ely (CB22),01223 566595,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pampisford Dental Practice Ltd,CQC directory (auto-downloaded),
Devonshire House Copley,,"Copley Hill Farm Business Park, Cambridge Road,  Babraham, Cambridge",CB22 3GN,Cambridge & Ely (CB22),01223 941551,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Riverdale Tradeco Limited,CQC directory (auto-downloaded),
Mr Raj Wadhwani,,"Falkner House, Mill Lane,  Sawston, Cambridge",CB22 3HY,Cambridge & Ely (CB22),01223 839520,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Raj Wadhwani,CQC directory (auto-downloaded),
Form Dental,,"65 London Road, Stapleford, Cambridge",CB22 5DG,Cambridge & Ely (CB22),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Form Dental Ltd,CQC directory (auto-downloaded),
