name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Chopra & Associates Canterbury,01227 453416,Chopra & Associates Canterbury,CT1 1LN,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chopradental.com,
Bradley and Partners,01227 463529,Bradley and Partners,CT1 2BP,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bradleyandpartners.co.uk,
Burgate Dental Practice,01227 462857,Burgate Dental Practice,CT1 2HG,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St George's Dental Practice,01227 450300,St George's Dental Practice,CT1 2NA,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle Street Dental Practice,01227 761111,Castle Street Dental Practice,CT1 2QD,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castlestreetdental.co.uk,
Neo Orthodontics Ltd Canterbury,01227 495123,Neo Orthodontics Ltd Canterbury,CT1 2UA,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Portman Smile Clinic Canterbury,01227 495123,Portman Smile Clinic Canterbury,CT1 2UA,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Care Centre,01227 462521,Dental Care Centre,CT1 3HD,Canterbury & Kent east (CT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Southbank Sedation and Implant Centre,01843 861664,Southbank Sedation and Implant Centre,CT10 1JB,Canterbury & Kent east (CT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dirksen Dental Clinic,01843 862040,Dirksen Dental Clinic,CT10 1JJ,Canterbury & Kent east (CT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Street Dental Practice,01843 294750,High Street Dental Practice,CT10 1JR,Canterbury & Kent east (CT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Surgery (Broadstairs) Limited,01843 865591,The Dental Surgery (Broadstairs) Limited,CT10 1QQ,Canterbury & Kent east (CT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentalsurgeryatbroadstairs.co.uk,
The St Peter's Dental Practice,01843 860625,The St Peter's Dental Practice,CT10 2TQ,Canterbury & Kent east (CT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.foreversmile.co.uk,
Hamill Family Dental Practice,01843 581666,Hamill Family Dental Practice,CT11 7DS,Canterbury & Kent east (CT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ivy House Dental Practice,01843 592423,Ivy House Dental Practice,CT11 9UA,Canterbury & Kent east (CT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Street Dental & Implant Clinic,01304 360913,Park Street Dental & Implant Clinic,CT14 6AG,Canterbury & Kent east (CT14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Victoria Road Dental Care,01304 374224,Victoria Road Dental Care,CT14 7AY,Canterbury & Kent east (CT14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bute House Dental Surgery,01304 375293,Bute House Dental Surgery,CT14 7BH,Canterbury & Kent east (CT14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pennypot Dental Deal,01304 800096,Pennypot Dental Deal,CT14 7NE,Canterbury & Kent east (CT14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pennypotdental.co.uk,
AF Dental Hackney Dover,0781 7143332,AF Dental Hackney Dover,CT16 1BD,Canterbury & Kent east (CT16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
South Cliff Dental Group - Dover,01304 691900,South Cliff Dental Group - Dover,CT16 1BU,Canterbury & Kent east (CT16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.southcliffdentalgroup.com,
Castle Street Dental Practice,01304 201210,Castle Street Dental Practice,CT16 1PT,Canterbury & Kent east (CT16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sedgemead House Dental Surgery,01304 206548,Sedgemead House Dental Surgery,CT16 2LP,Canterbury & Kent east (CT16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sturry Dental Practice,01227 711360,Sturry Dental Practice,CT2 0BD,Canterbury & Kent east (CT2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Stephens Dental Practice,0790 9966697,St Stephens Dental Practice,CT2 7AB,Canterbury & Kent east (CT2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Dunstans Dental Practice,01227 761158,St Dunstans Dental Practice,CT2 8BS,Canterbury & Kent east (CT2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stdunstansdental.co.uk,
