practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dover Priory Dental Practice,,"3 Priory Road, Dover",CT17 9RQ,Canterbury & Kent east (CT17),01304 206558,https://www.doverpriorydental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dover Priory Dental Limited,CQC directory (auto-downloaded),
Chopra & Associates Canterbury,,"1 Military Road, Canterbury",CT1 1LN,Canterbury & Kent east (CT1),01227 453416,https://www.chopradental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Paramjit Chopra,CQC directory (auto-downloaded),
Chopra Dental,,"1 Military Road, Canterbury",CT1 1LN,Canterbury & Kent east (CT1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Chopra Dental Ltd,CQC directory (auto-downloaded),
Bradley and Partners,,"St Peters House, 2 St Peters Lane, Canterbury",CT1 2BP,Canterbury & Kent east (CT1),01227 463529,https://www.bradleyandpartners.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bradley & Partners Limited,CQC directory (auto-downloaded),
Burgate Dental Practice,,"14 Burgate, Canterbury",CT1 2HG,Canterbury & Kent east (CT1),01227 462857,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,A D V Canterbury Limited,CQC directory (auto-downloaded),
St George's Dental Practice,,"8-9 Upper Bridge Street, Canterbury",CT1 2NA,Canterbury & Kent east (CT1),01227 450300,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Richard Browne,CQC directory (auto-downloaded),
Castle Street Dental Practice,,"69 Castle Street, Canterbury",CT1 2QD,Canterbury & Kent east (CT1),01227 761111,https://www.castlestreetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cantia Dental Limited,CQC directory (auto-downloaded),
Neo Orthodontics Ltd Canterbury,,"Graylaw House 20-22, Watling Street, Canterbury",CT1 2UA,Canterbury & Kent east (CT1),01227 495123,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Neo Orthodontics Ltd,CQC directory (auto-downloaded),
Portman Smile Clinic Canterbury,,"20-22 Graylaw House,  Ground Floor, Watling Street, Canterbury",CT1 2UA,Canterbury & Kent east (CT1),01227 495123,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Dental Care Centre,,"60 Dover Street, Canterbury",CT1 3HD,Canterbury & Kent east (CT1),01227 462521,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smilecare Group Ltd,CQC directory (auto-downloaded),
"Dental Department, Canterbury Health Centre",,"26 Old Dover Road, Canterbury",CT1 3JH,Canterbury & Kent east (CT1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kent Community Health NHS Foundation Trust,CQC directory (auto-downloaded),
Southbank Sedation and Implant Centre,,"144 High Street, Broadstairs",CT10 1JB,Canterbury & Kent east (CT10),01843 861664,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Southbank Sedation and Implant Centre Limited,CQC directory (auto-downloaded),
Dirksen Dental Clinic,,"86 High Street, Broadstairs",CT10 1JJ,Canterbury & Kent east (CT10),01843 862040,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Johannes Dirksen van Schalkwyk,CQC directory (auto-downloaded),
High Street Dental Practice,South Cliff Dental Group Broadstairs,"35 High Street, Broadstairs",CT10 1JR,Canterbury & Kent east (CT10),01843 294750,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kentapol Limited,CQC directory (auto-downloaded),
The Dental Surgery (Broadstairs) Limited,,"6 Ramsgate Road, Broadstairs",CT10 1QQ,Canterbury & Kent east (CT10),01843 865591,https://www.thedentalsurgeryatbroadstairs.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Surgery (Broadstairs) Limited,CQC directory (auto-downloaded),
The St Peter's Dental Practice,,"32 High Street, St Peters, Broadstairs",CT10 2TQ,Canterbury & Kent east (CT10),01843 860625,https://www.foreversmile.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Shane Gordon,CQC directory (auto-downloaded),
