name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
North Lakeland Dental,01697 342084,North Lakeland Dental,CA7 9PG,Carlisle (CA7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.northlakeland.dental,
Warwick Road Dental,0779 2109592,Warwick Road Dental,CA1 1DZ,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Spedding Dental Clinic,01228 521889,Spedding Dental Clinic,CA1 1EB,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.speddingdental.co.uk,
The Chiswick Street Dental Practice,01228 409140,The Chiswick Street Dental Practice,CA1 1HQ,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Strictly Dental,0774 0979958,Strictly Dental,CA1 1JP,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Strictly Dental Limited,0774 0979958,Strictly Dental Limited,CA1 1JP,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Warwick Dental Care,01228 521133,Warwick Dental Care,CA1 1JU,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.warwickdentalcare.co.uk,website unreachable
Warwick Square Dental Practice,0795 4483241,Warwick Square Dental Practice,CA1 1LB,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Portland Dental Practice,01228 521234,Portland Dental Practice,CA1 1PY,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eden Dental Practice,0792 1719156,Eden Dental Practice,CA1 3UD,Carlisle (CA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stricklandgate Dental Practice,01768 865744,Stricklandgate Dental Practice,CA11 7NH,Carlisle (CA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Victoria Road Dental Practice,01768 862009,Victoria Road Dental Practice,CA11 8HR,Carlisle (CA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Mulberry Dental Practice,01768 840538,Mulberry Dental Practice,CA11 9FB,Carlisle (CA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ghyllmount Dental,01768 862291,Ghyllmount Dental,CA11 9GQ,Carlisle (CA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ghyllmountdental.co.uk,
Brundholme Dental Practice,01768 772096,Brundholme Dental Practice,CA12 4HP,Carlisle (CA12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.keswickdentist.co.uk,
Fitz Park Dental Practice,01768 773020,Fitz Park Dental Practice,CA12 5HH,Carlisle (CA12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.fitzdental.co.uk,
Keswick Dental Care,01768 772452,Keswick Dental Care,CA12 5JB,Carlisle (CA12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Derwent Dental Care Limited,01900 824111,Derwent Dental Care Limited,CA13 0HS,Carlisle (CA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Orthodontics Cockermouth,01900 829161,Total Orthodontics Cockermouth,CA13 0HS,Carlisle (CA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Helen's Dental Practice,01900 826210,St Helen's Dental Practice,CA13 9NQ,Carlisle (CA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sthelensdentalpractice.org.uk,
Goodwin & Associates,01900 823467,Goodwin & Associates,CA13 9PH,Carlisle (CA13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.goodwindentalpractice.co.uk,
Belvedere Dental Practice,01900 603866,Belvedere Dental Practice,CA14 2UX,Carlisle (CA14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.belvederedental.co.uk,
Imperial Dental Group – Workington,190068826,Imperial Dental Group – Workington,CA14 3DZ,Carlisle (CA14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kerry Park Dental Practice,01900 873787,Kerry Park Dental Practice,CA14 3TX,Carlisle (CA14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kerryparkdental.co.uk,
Nook Street Dental Practice,01204 799799,Nook Street Dental Practice,CA14 4DX,Carlisle (CA14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Curzon Street Dental Practice,01900 812109,Curzon Street Dental Practice,CA15 6LL,Carlisle (CA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.curzonstreetdental.co.uk,
Maryport Dental Care Centre,01900 819222,Maryport Dental Care Centre,CA15 8AD,Carlisle (CA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.maryportdentalcarecentre.co.uk,
Maryport Dental and Implant Centre,01900 818825,Maryport Dental and Implant Centre,CA15 8AE,Carlisle (CA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Maryport Smile Centre,0750 6012841,Maryport Smile Centre,CA15 8AE,Carlisle (CA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tufton Cottage Dental Practice,01768 351024,Tufton Cottage Dental Practice,CA16 6QR,Carlisle (CA16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Limes Dental Practice,01768 351830,The Limes Dental Practice,CA16 6XN,Carlisle (CA16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fir Tree Dental Practice,01228 522815,Fir Tree Dental Practice,CA2 4BB,Carlisle (CA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
York Place Dental,01228 533431,York Place Dental,CA2 4HZ,Carlisle (CA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.yorkplacedental.com,
Smileville Orthodontics,01228 401522,Smileville Orthodontics,CA2 7AF,Carlisle (CA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilevilleorthodontics.co.uk,
Egremont Dental and Implant Centre,0750 6012841,Egremont Dental and Implant Centre,CA22 2AE,Carlisle (CA22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Egremont Smile Centre,0750 6012841,Egremont Smile Centre,CA22 2AE,Carlisle (CA22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Range Dental - Roper Street Dental Practice,01946 692655,Range Dental - Roper Street Dental Practice,CA28 7AR,Carlisle (CA28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
SJ Smith & Associates,01946 692938,SJ Smith & Associates,CA28 7BL,Carlisle (CA28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Queen Street Dental Clinic,01946 590388,The Queen Street Dental Clinic,CA28 7QF,Carlisle (CA28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Imperial Dental Group – Whitehaven,01946 696282,Imperial Dental Group – Whitehaven,CA28 7UJ,Carlisle (CA28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
21D Carlisle,0800 0073199,21D Carlisle,CA3 0JG,Carlisle (CA3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.21d.co.uk,
Alma Terrace Dental Practice,01697 331270,Alma Terrace Dental Practice,CA7 4DS,Carlisle (CA7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.almadental.co.uk,
The Dental Surgery,01697 345800,The Dental Surgery,CA7 9BF,Carlisle (CA7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.wigtondentalsurgery.co.uk,website unreachable
