practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
North Lakeland Dental,,"61 High Street, Wigton",CA7 9PG,Carlisle (CA7),01697 342084,https://www.northlakeland.dental,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,A&C Stanley Ltd,CQC directory (auto-downloaded),
Warwick Road Dental,,"82 Warwick Road, Carlisle",CA1 1DZ,Carlisle (CA1),0779 2109592,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Maysa Mustafa Hattab,CQC directory (auto-downloaded),
Spedding Dental Clinic,,"73 Warwick Road, Carlisle",CA1 1EB,Carlisle (CA1),01228 521889,https://www.speddingdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Spedding Dental Clinic Limited,CQC directory (auto-downloaded),
The Chiswick Street Dental Practice,,"3 Chiswick Street, Carlisle",CA1 1HQ,Carlisle (CA1),01228 409140,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,GOSPODINOV G LTD,CQC directory (auto-downloaded),
Strictly Dental,Campbell & Wilson Dental Surgery,"12 Aglionby Street, Carlisle",CA1 1JP,Carlisle (CA1),0774 0979958,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Satya Randhir Patel,CQC directory (auto-downloaded),
Strictly Dental Limited,Campbell and WIlson Dental Practice,"12 Aglionby Street, Carlisle",CA1 1JP,Carlisle (CA1),0774 0979958,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Strictly Dental Limited,CQC directory (auto-downloaded),
Warwick Dental Care,,"100-102 Warwick Road, Carlisle",CA1 1JU,Carlisle (CA1),01228 521133,https://www.warwickdentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs. Emma Griffin,CQC directory (auto-downloaded),website unreachable
Warwick Square Dental Practice,,"1 Warwick Square, Carlisle",CA1 1LB,Carlisle (CA1),0795 4483241,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Mohamed Elbehiry,CQC directory (auto-downloaded),
Portland Dental Practice,,"7 Portland Square, Carlisle",CA1 1PY,Carlisle (CA1),01228 521234,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portland Square Dental,CQC directory (auto-downloaded),
Lismore House Dental Practice,,"Lismore House, Lismore Street, Carlisle",CA1 2AH,Carlisle (CA1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Carlisle Cosmetic Limited,CQC directory (auto-downloaded),
Wavell Drive,,"4 Wavell Drive, Rosehill Industrial Estate, Carlisle",CA1 2SE,Carlisle (CA1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cumbria Health Limited,CQC directory (auto-downloaded),
Eden Dental Practice,,"1 Peacock Road, Carlisle",CA1 3UD,Carlisle (CA1),0792 1719156,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Eden Dental Practice Limited,CQC directory (auto-downloaded),
Stricklandgate Dental Practice,,"Stricklandgate, Penrith",CA11 7NH,Carlisle (CA11),01768 865744,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Strictly Dental Practice Ltd,CQC directory (auto-downloaded),
Victoria Road Dental Practice,,"9 Victoria Road, Penrith",CA11 8HR,Carlisle (CA11),01768 862009,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr Teodor-Andrei Mihaila,CQC directory (auto-downloaded),
Mulberry Dental Practice,,"Unit 5,  Mereside, Greenbank Road,  Eden Business Park, Penrith",CA11 9FB,Carlisle (CA11),01768 840538,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Sehar Hanif,CQC directory (auto-downloaded),
Ghyllmount Dental,,"4 Hobson Court, Penrith 40 Business Park, Penrith",CA11 9GQ,Carlisle (CA11),01768 862291,https://www.ghyllmountdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. John Lewis,CQC directory (auto-downloaded),
Brundholme Dental Practice,,"2 Blencathra Street, Keswick",CA12 4HP,Carlisle (CA12),01768 772096,https://www.keswickdentist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Brundholme Dental Practice Limited,CQC directory (auto-downloaded),
Fitz Park Dental Practice,,"31 Station Street, Keswick",CA12 5HH,Carlisle (CA12),01768 773020,https://www.fitzdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fitz Park Dental Practice Limited,CQC directory (auto-downloaded),
Keswick Dental Care,,"4 Pack Horse Court, Keswick",CA12 5JB,Carlisle (CA12),01768 772452,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Keswick Dental Care Limited,CQC directory (auto-downloaded),
Derwent Dental Care Limited,,"Derwent House, Wakefield Road, Cockermouth",CA13 0HS,Carlisle (CA13),01900 824111,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Derwent Dental Care Limited,CQC directory (auto-downloaded),
Total Orthodontics Cockermouth,,"Derwent House, Wakefield Road, Cockermouth",CA13 0HS,Carlisle (CA13),01900 829161,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oasis Dental Care Limited,CQC directory (auto-downloaded),
St Helen's Dental Practice,,"St Helens Dental Practice Limited, Market Place, Cockermouth",CA13 9NQ,Carlisle (CA13),01900 826210,https://www.sthelensdentalpractice.org.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,St. Helen's Dental Practice Limited,CQC directory (auto-downloaded),
