name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Blue Sky Dental,01245 211070,Blue Sky Dental,CM2 0DL,Chelmsford & Essex (CM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.blueskydental.co.uk,
Blue Sky Dental,01245 211070,Blue Sky Dental,CM2 0LD,Chelmsford & Essex (CM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.blueskydental.co.uk,
Pure Orthodontics,01245 463000,Pure Orthodontics,CM2 5LB,Chelmsford & Essex (CM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.pureorthodontics.co.uk,
Bishops Stortford Orthodontic Practice,01279 758210,Bishops Stortford Orthodontic Practice,CM23 2DX,Chelmsford & Essex (CM23),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.bishopsstortfordorthodontics.co.uk,
Danbury Dental Care Ltd,01245 225091,Danbury Dental Care Ltd,CM3 4QH,Chelmsford & Essex (CM3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.danburydentalcare.co.uk,
Down Town Dental Practice,01245 256797,Down Town Dental Practice,CM1 1BE,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Abode,01245 256797,The Dental Abode,CM1 1BE,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentalabode.co.uk,
Dr Catherine Holmes Dental Practice,01245 358967,Dr Catherine Holmes Dental Practice,CM1 1RY,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Say Cheese Dentistry,01245 287054,Say Cheese Dentistry,CM1 1SS,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.saycheesedentistry.com,
Goodleigh Dental Practice,01245 257181,Goodleigh Dental Practice,CM1 1SY,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chelmsfordnhsdentist.com,website unreachable
Signature Smile TC Ltd – Chelmsford,0737 6601741,Signature Smile TC Ltd – Chelmsford,CM1 1XB,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Writtle Dental Surgery,01245 421781,Writtle Dental Surgery,CM1 3EA,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aloe Vera Dental Studio,01245 357735,Aloe Vera Dental Studio,CM1 6LL,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Springfield Dental Practice,01245 442442,Springfield Dental Practice,CM1 6TB,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Chelmsford Hygienist,01245 963319,The Chelmsford Hygienist,CM1 7AE,Chelmsford & Essex (CM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thechelmsfordhygienist.co.uk,website unreachable
Stock Road Dental Surgery,01277 636313,Stock Road Dental Surgery,CM12 0AR,Chelmsford & Essex (CM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Andrew's Dental Practice,01277 633404,St Andrew's Dental Practice,CM12 0BJ,Chelmsford & Essex (CM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Billericay Orthodontic Practice,01277 656318,Billericay Orthodontic Practice,CM12 0SD,Chelmsford & Essex (CM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://billericayorthodontics.co.uk,
15 The Pantiles Dental Practice,01277 658374,15 The Pantiles Dental Practice,CM12 0UA,Chelmsford & Essex (CM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Spry Smiles,0791 7569085,Spry Smiles,CM12 9AJ,Chelmsford & Essex (CM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Billericay Dental Studio,01277 622834,Billericay Dental Studio,CM12 9AX,Chelmsford & Essex (CM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Billericay Dental Care,01277 625456,Billericay Dental Care,CM12 9BX,Chelmsford & Essex (CM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
