name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Blue Sky Dental,01245 211070,Blue Sky Dental,CM2 0DL,Chelmsford & Essex (CM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.blueskydental.co.uk,
Blue Sky Dental,01245 211070,Blue Sky Dental,CM2 0LD,Chelmsford & Essex (CM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.blueskydental.co.uk,
Pure Orthodontics,01245 463000,Pure Orthodontics,CM2 5LB,Chelmsford & Essex (CM2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.pureorthodontics.co.uk,
Bishops Stortford Orthodontic Practice,01279 758210,Bishops Stortford Orthodontic Practice,CM23 2DX,Chelmsford & Essex (CM23),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.bishopsstortfordorthodontics.co.uk,
Danbury Dental Care Ltd,01245 225091,Danbury Dental Care Ltd,CM3 4QH,Chelmsford & Essex (CM3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.danburydentalcare.co.uk,
Braintree Dental Studio,01376 569090,Braintree Dental Studio,CM77 7WT,Chelmsford & Essex (CM77),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dentalstudio.uk.com,
Together Dental Billericay,01277 621640,Together Dental Billericay,CM11 2AA,Chelmsford & Essex (CM11),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/billericay/,
Tooth Club Billericay,0333 2419130,Tooth Club Billericay,CM12 9AJ,Chelmsford & Essex (CM12),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Tooth Club,No,https://www.toothclub.co.uk/billericay-dentist,
Together Dental Brentwood,01277 220147,Together Dental Brentwood,CM15 8AG,Chelmsford & Essex (CM15),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/brentwood,
Damira Bishops Stortford,02081 509751,Damira Bishops Stortford,CM23 3AL,Chelmsford & Essex (CM23),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Damira Dental,No,https://www.damiradental.co.uk,
Together Dental Thaxted,01371 830950,Together Dental Thaxted,CM6 2LD,Chelmsford & Essex (CM6),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/thaxted,
