practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Blue Sky Dental,,"64 Baddow Road, Chelmsford",CM2 0DL,Chelmsford & Essex (CM2),01245 211070,https://www.blueskydental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Hiten Pabari,CQC directory (auto-downloaded),
Blue Sky Dental,,"164 Moulsham Street, Chelmsford",CM2 0LD,Chelmsford & Essex (CM2),01245 211070,https://www.blueskydental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Hiten Pabari,CQC directory (auto-downloaded),
Pure Orthodontics,,"6B Springfield Lyons Approach, Chelmsford Business Park, Chelmsford",CM2 5LB,Chelmsford & Essex (CM2),01245 463000,https://www.pureorthodontics.co.uk,Unknown,Dentally,high,Dentally:dentally.co,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ms Monica Reinach,CQC directory (auto-downloaded),
Bishops Stortford Orthodontic Practice,,"The Limes, 30 Stansted Road, Bishop's Stortford",CM23 2DX,Chelmsford & Essex (CM23),01279 758210,https://www.bishopsstortfordorthodontics.co.uk,Unknown,Dentally,high,Dentally:dentally.co,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Bishops Stortford Orthodontic Practice,CQC directory (auto-downloaded),
Danbury Dental Care Ltd,,"24 Maldon Road, Danbury, Chelmsford",CM3 4QH,Chelmsford & Essex (CM3),01245 225091,https://www.danburydentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Danbury Dental Care Limited,CQC directory (auto-downloaded),
Braintree Dental Studio,,"4 The Square, Notley Green,  Great Notley, Braintree",CM77 7WT,Chelmsford & Essex (CM77),01376 569090,https://www.dentalstudio.uk.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr. Anup Ladva,CQC directory (auto-downloaded),
Burnham Dental Practice,,"89a High Street, Burnham-on-crouch",CM0 8AH,Chelmsford & Essex (CM0),01621 782644,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Jasdeep Kaur Ubhi,CQC directory (auto-downloaded),
Serenity Dental Surgery,,"2 Station Road, Burnham On Crouch",CM0 8BG,Chelmsford & Essex (CM0),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Serenity Dental Surgery Partnership,CQC directory (auto-downloaded),
Down Town Dental Practice,,"19A High Street, Chelmsford",CM1 1BE,Chelmsford & Essex (CM1),01245 256797,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Down Town Dental Clinic Limited,CQC directory (auto-downloaded),
The Dental Abode,,"19A High Street, Chelmsford",CM1 1BE,Chelmsford & Essex (CM1),01245 256797,https://www.thedentalabode.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Abode Limited,CQC directory (auto-downloaded),
