name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Vicars Cross Dental Practice,01244 351755,Vicars Cross Dental Practice,CH3 5LB,Chester (CH3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
White House Dental Practice,01244 311716,White House Dental Practice,CH3 6BS,Chester (CH3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dentalpracticechester.co.uk,website unreachable
Guilden Sutton Dental Practice,01244 301528,Guilden Sutton Dental Practice,CH3 7SW,Chester (CH3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Overleigh Orthodontics,01244 677667,Overleigh Orthodontics,CH4 7HL,Chester (CH4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Woodlands Dental Practice,01516 453967,Woodlands Dental Practice,CH42 4NG,Chester (CH42),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.woodlandsdentalpractice.co.uk,
Devonshire Park Dental Centre,01516 047312,Devonshire Park Dental Centre,CH42 7LX,Chester (CH42),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
The Arno Dental Practice,01516 080552,The Arno Dental Practice,CH42 8PG,Chester (CH42),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
West House Orthodontic Practice,01516 090900,West House Orthodontic Practice,CH42 9PX,Chester (CH42),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.westhouseorthodontics.com,
Martins Lane Dental Practice,01516 911533,Martins Lane Dental Practice,CH44 1BA,Chester (CH44),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.martinslanedental.com,
Perfect Smile Hoseside Ltd,01516 392703,Perfect Smile Hoseside Ltd,CH45 0LA,Chester (CH45),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Thornhedge Dental Practice,01516 784048,Thornhedge Dental Practice,CH46 0PA,Chester (CH46),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Church Road Dental Practice,01516 454101,Church Road Dental Practice,CH63 3EB,Chester (CH63),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.churchrddentalpractice.co.uk/,
Cheshire Dental,01513 552510,Cheshire Dental,CH65 9AD,Chester (CH65),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
