name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Love The Dentist Chester,01244 350500,Love The Dentist Chester,CH1 1DA,Chester (CH1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.lovethedentist.co.uk,
Foregate Street Dental Surgery,01244 325578,Foregate Street Dental Surgery,CH1 1HB,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Greatteeth - White Friars Chester,01244 340178,Greatteeth - White Friars Chester,CH1 1NZ,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
White Friars House Dental Practice,0796 8151839,White Friars House Dental Practice,CH1 1NZ,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bank House Dental Practice,01244 326632,Bank House Dental Practice,CH1 1PW,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Street Chester Partnership,01454 771596,Park Street Chester Partnership,CH1 1RN,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mouth Matters,01244 343353,Mouth Matters,CH1 3LR,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Art of Dental Care,01244 848421,Art of Dental Care,CH1 4EJ,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Johnson and Whitehouse Dental Surgery,01244 390175,Johnson and Whitehouse Dental Surgery,CH1 5PP,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.johnsonandwhitehouse.co.uk,website unreachable
Revive Dental Care - Chester,01244 390174,Revive Dental Care - Chester,CH1 5PP,Chester (CH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Abbots Park Dental Care,0779 5007217,Abbots Park Dental Care,CH2 1AW,Chester (CH2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
