practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Love The Dentist Chester,,"9 St. John Street, Chester",CH1 1DA,Chester (CH1),01244 350500,https://www.lovethedentist.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Love the Dentist Mobberley Limited,CQC directory (auto-downloaded),
Primo Wirral,,"145-147, Hoylake Road, Wirral",CH46 9PZ,Chester (CH46),,https://www.primo.dental,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Primo Wirral Limited,CQC directory (auto-downloaded),
Foregate Street Dental Surgery,,"144 Foregate Street, Chester",CH1 1HB,Chester (CH1),01244 325578,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,KB Dental Operations Limited,CQC directory (auto-downloaded),
Talking Teeth Dental Practice,,"134 Foregate Street, Chester",CH1 1HB,Chester (CH1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Qaisar Jaffri,CQC directory (auto-downloaded),
Bankhouse Dental Practice,,"Bankhouse, Whitefriars, Chester",CH1 1NZ,Chester (CH1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr David Orme,CQC directory (auto-downloaded),
Greatteeth - White Friars Chester,,"12 White Friars, Chester",CH1 1NZ,Chester (CH1),01244 340178,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greatteeth Limited,CQC directory (auto-downloaded),
White Friars House Dental Practice,,"White Friars House, 14 White Friars, Chester",CH1 1NZ,Chester (CH1),0796 8151839,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,White Friars House Dental Practice,CQC directory (auto-downloaded),
Bank House Dental Practice,,"White Friars, Chester",CH1 1PW,Chester (CH1),01244 326632,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Nicholas Cooper,CQC directory (auto-downloaded),
Chester Dental Clinic,,"2 Volunteer Street, Chester",CH1 1RG,Chester (CH1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Redbridge Associates Limited,CQC directory (auto-downloaded),
Park Street Chester Partnership,,"4 Park Street, Chester",CH1 1RN,Chester (CH1),01454 771596,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Park Street Chester Partnership,CQC directory (auto-downloaded),
Mouth Matters,,"5 York Street, Chester",CH1 3LR,Chester (CH1),01244 343353,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alchemy Gold Limited,CQC directory (auto-downloaded),
Art of Dental Care,,"1 Canal Street, Chester",CH1 4EJ,Chester (CH1),01244 848421,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Art of Dental Care Limited,CQC directory (auto-downloaded),
Johnson and Whitehouse Dental Surgery,,"80 Western Avenue, Blacon, Chester",CH1 5PP,Chester (CH1),01244 390175,https://www.johnsonandwhitehouse.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Johnson and Whitehouse Dental Partnership,CQC directory (auto-downloaded),website unreachable
Revive Dental Care - Chester,,"80 Western Avenue, Chester",CH1 5PP,Chester (CH1),01244 390174,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Revive Dental Care Limited,CQC directory (auto-downloaded),
Deva Dental Clinic,,"4 Liverpool Road, Chester",CH2 1AE,Chester (CH2),,https://www.chesterdentist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alenik Advanced Dentistry Limited,CQC directory (auto-downloaded),
Abbots Park Dental Care,,"67 Liverpool Road, Chester",CH2 1AW,Chester (CH2),0779 5007217,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Abbots Park Dental Care Limited,CQC directory (auto-downloaded),
Chester Cosmetic Centre Limited,,"149 Long Lane, Upton, Chester",CH2 1JF,Chester (CH2),01244 376202,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chester Cosmetic Centre Ltd,CQC directory (auto-downloaded),
Kingsway Dental Practice,,"99 Kingsway, Chester",CH2 2LJ,Chester (CH2),01244 318388,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sachin Uduchana,CQC directory (auto-downloaded),
Dentistry with Integrity,,"5 Greenfield Lane, Hoole, Chester",CH2 2PA,Chester (CH2),01244 629550,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Raymond Patrick McNamara,CQC directory (auto-downloaded),
Sandon Dental Practice,,"34 Hoole Road, Chester",CH2 3NJ,Chester (CH2),01244 321821,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Kate Linda Hendrick,CQC directory (auto-downloaded),
Vicars Cross Dental Practice,,"48 Green Lane, Vicars Cross, Chester",CH3 5LB,Chester (CH3),01244 351755,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Vicars Cross Dental Practice Partnership,CQC directory (auto-downloaded),
White House Dental Practice,,"55 Chester Road, Huntington, Chester",CH3 6BS,Chester (CH3),01244 311716,https://www.dentalpracticechester.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,White House Dental Practice Chester Ltd,CQC directory (auto-downloaded),website unreachable
Rock House Dental Practice,,"Village Road, Christleton, Chester",CH3 7AS,Chester (CH3),01244 332162,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Damian Murphy,CQC directory (auto-downloaded),
Guilden Sutton Dental Practice,,"1 Summerfield Road, Guilden Sutton, Chester",CH3 7SW,Chester (CH3),01244 301528,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,McKinnon and Ryves,CQC directory (auto-downloaded),
Tudor House Dental Surgery,,"62 High Street, Tarvin, Chester",CH3 8JB,Chester (CH3),01829 741284,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tudor House Dental Limited,CQC directory (auto-downloaded),
Tattenhall Dental,,"Medway House, High Street,  Tattenhall, Chester",CH3 9PX,Chester (CH3),01829 580016,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Davies & Khan Ltd,CQC directory (auto-downloaded),
Overleigh Orthodontics,,"The Old Forge, 24 Overleigh Road, Chester",CH4 7HL,Chester (CH4),01244 677667,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Overleigh Orthodontics Limited,CQC directory (auto-downloaded),
Qamar Hashim Specialist Dentist,,"119 Lache Lane, Chester",CH4 7LU,Chester (CH4),0736 8307740,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,HINA & JAFRI CONSULTANCY LIMITED,CQC directory (auto-downloaded),
Curzon Park Dental,,"13 Chester Street, Saltney, Chester",CH4 8BL,Chester (CH4),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Curzon Oral Health Limited,CQC directory (auto-downloaded),
Dentologicum,,"Honeycomb West, , Chester Business Park, Chester",CH4 9QH,Chester (CH4),01244 950616,https://www.dentologicum.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sandra Barbara Hochdoerfer,CQC directory (auto-downloaded),
Park Road North Dental Practice,,"406 Park Road North, Birkenhead",CH41 0DA,Chester (CH41),01516 523032,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Parks Dental Partnership,CQC directory (auto-downloaded),
Revive Dental Care St Catherine's Health Centre,,"St Catherine's Health Centre, Church Road, Birkenhead",CH42 0LQ,Chester (CH42),01515 142888,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Revive Dental Care Limited,CQC directory (auto-downloaded),
St Catherine's Dental Clinic,,"St Catherine's Health Centre, Church Road, Birkenhead",CH42 0LQ,Chester (CH42),01515 142888,https://www.wirralct.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wirral Community NHS Foundation Trust,CQC directory (auto-downloaded),website unreachable
