name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Clover Dental,0778 0630943,Clover Dental,CO1 1LU,Colchester & Clacton (CO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
North Hill Surgery Limited,01206 560318,North Hill Surgery Limited,CO1 1PX,Colchester & Clacton (CO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
North Hill Dental,01206 577912,North Hill Dental,CO1 1PY,Colchester & Clacton (CO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wimpole Road Dental Practice,01206 860290,Wimpole Road Dental Practice,CO1 2DL,Colchester & Clacton (CO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentoworld Limited,01206 865540,Dentoworld Limited,CO1 2QX,Colchester & Clacton (CO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Great Cornard Dental Practice,01787 375917,Great Cornard Dental Practice,CO10 0JQ,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Emporium,01787 311864,The Dental Emporium,CO10 1HQ,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.idhdentistsudburyactonsquare.co.uk,website unreachable
The Croft Dental Practice,01787 372605,The Croft Dental Practice,CO10 1HW,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Perfect Smile Clinic,01787 882040,Perfect Smile Clinic,CO10 1JA,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Friars Street Dental Practice,01787 372401,Friars Street Dental Practice,CO10 2AA,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bank Buildings Dental Surgery,01787 881100,Bank Buildings Dental Surgery,CO10 2SX,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Long Melford Dental Practice,01787 882722,Long Melford Dental Practice,CO10 9LQ,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.paulrolfedental.co.uk,
Lavenham Dental Practice,01787 247058,Lavenham Dental Practice,CO10 9QT,Colchester & Clacton (CO10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lavanhamdental.com,website unreachable
Bay View Dental and Implant Clinic,01255 508570,Bay View Dental and Implant Clinic,CO12 3JT,Colchester & Clacton (CO12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thecosmeticdentalstudio.com,
Clearsprings Dental Ltd,01255 242442,Clearsprings Dental Ltd,CO12 3TS,Colchester & Clacton (CO12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.carholmedentalgroup.co.uk,
Clearsprings Dental Practice,01255 242442,Clearsprings Dental Practice,CO12 3TS,Colchester & Clacton (CO12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Elm Tree Dental Surgery,01255 672309,Elm Tree Dental Surgery,CO13 0AR,Colchester & Clacton (CO13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Old Library Dental Surgery,01255 674505,The Old Library Dental Surgery,CO13 9PS,Colchester & Clacton (CO13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jaywick Dental Surgery,01255 207620,Jaywick Dental Surgery,CO15 2NB,Colchester & Clacton (CO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nhs.uk/services/dentist/jaywick-dental-surgery/V005066/contact-details-and-opening-times,
Ford Road Dental Surgery,01255 474942,Ford Road Dental Surgery,CO15 3DS,Colchester & Clacton (CO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Admired Clinic Clacton,01255 476700,Admired Clinic Clacton,CO15 4RY,Colchester & Clacton (CO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.admiredclinic.uk,
Tender Dental Care,01255 422506,Tender Dental Care,CO15 6DQ,Colchester & Clacton (CO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Valley Dental Practice,01255 220322,Valley Dental Practice,CO15 6LX,Colchester & Clacton (CO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.valleydentalpractice.com,
Town View Dental and Implant Clinic,01555 423299,Town View Dental and Implant Clinic,CO15 6QF,Colchester & Clacton (CO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thecosmetcidentalstudio.com,website unreachable
Optident Dental Clinic,01206 544156,Optident Dental Clinic,CO2 7AD,Colchester & Clacton (CO2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Smiles Flagstaff,01279 871277,Dental Smiles Flagstaff,CO2 7SP,Colchester & Clacton (CO2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LOVE IMPLANTS LTD,746737726,LOVE IMPLANTS LTD,CO2 8JZ,Colchester & Clacton (CO2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alpha Dental Care Mersea Road,01206 548386,Alpha Dental Care Mersea Road,CO2 8QY,Colchester & Clacton (CO2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
