practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Smile Clinic Colchester Town,,"39 St Botolphs Street, Colchester",CO2 7EA,Colchester & Clacton (CO2),01206 767471,https://www.thesmileclinic.uk.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Smile Clinic Limited,CQC directory (auto-downloaded),
Creffield Lodge Dental Practice,,"20 Creffield Road, Colchester",CO3 3JA,Colchester & Clacton (CO3),01206 572093,https://www.creffieldlodge.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,J P Acorn Ltd,CQC directory (auto-downloaded),
"The Smile Clinic, Mill Road, Mile End",,"61 Mill Road, Mile End, Colchester",CO4 5LJ,Colchester & Clacton (CO4),01206 851448,https://www.thesmileclinic.uk.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Smile Clinic Limited,CQC directory (auto-downloaded),
Clover Dental,,"Norfolk House, 2 Station Way, Colchester",CO1 1LU,Colchester & Clacton (CO1),0778 0630943,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Gavin Barry,CQC directory (auto-downloaded),
North Hill Surgery Limited,,"65a North Hill, Balkerne House, Colchester",CO1 1PX,Colchester & Clacton (CO1),01206 560318,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,North Hill Surgery Limited,CQC directory (auto-downloaded),
North Hill Dental,,"49 North Hill, Colchester",CO1 1PY,Colchester & Clacton (CO1),01206 577912,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,One Step By Step Limited,CQC directory (auto-downloaded),
Wimpole Road Dental Practice,,"54 Wimpole Road, Colchester",CO1 2DL,Colchester & Clacton (CO1),01206 860290,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wimpole Road Dental Practice,CQC directory (auto-downloaded),
Dentoworld Limited,,"38 East Hill, Colchester",CO1 2QX,Colchester & Clacton (CO1),01206 865540,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentoworld Ltd,CQC directory (auto-downloaded),
Great Cornard Dental Practice,,"178 Bures Road, Great Cornard, Sudbury",CO10 0JQ,Colchester & Clacton (CO10),01787 375917,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Ammaad Jamil,CQC directory (auto-downloaded),
The Dental Emporium,,"Acton Square, Sudbury",CO10 1HQ,Colchester & Clacton (CO10),01787 311864,https://www.idhdentistsudburyactonsquare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Du Toit and Burger Partnership (Sudbury) Ltd,CQC directory (auto-downloaded),website unreachable
The Croft Dental Practice,,"North House, The Croft, Sudbury",CO10 1HW,Colchester & Clacton (CO10),01787 372605,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Leanne Joan Baily,CQC directory (auto-downloaded),
Perfect Smile Clinic,,"19 Prince Street, Sudbury",CO10 1JA,Colchester & Clacton (CO10),01787 882040,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Perfect Smile Clinic Ltd,CQC directory (auto-downloaded),
Friars Street Dental Practice,,"26 Friars Street, Sudbury",CO10 2AA,Colchester & Clacton (CO10),01787 372401,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Friars Street Dental Ltd,CQC directory (auto-downloaded),
Bank Buildings Dental Surgery,,"5 Bank Buildings, Sudbury",CO10 2SX,Colchester & Clacton (CO10),01787 881100,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bank Buildings Dental Surgery Partnership,CQC directory (auto-downloaded),
Long Melford Dental Practice,,"The Old Clock Shop, Little St Mary's,  Long Melford, Sudbury",CO10 9LQ,Colchester & Clacton (CO10),01787 882722,https://www.paulrolfedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Paul Rolfe,CQC directory (auto-downloaded),
Lavenham Dental Practice,,"5 Church Street, Lavenham, Sudbury",CO10 9QT,Colchester & Clacton (CO10),01787 247058,https://www.lavanhamdental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lavenham Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
Manningtree Practice Limited,,"17a High Street, Manningtree",CO11 1AG,Colchester & Clacton (CO11),01206 391065,https://www.manningtreedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Manningtree Practice Limited,CQC directory (auto-downloaded),
Bay View Dental and Implant Clinic,,"49 Kingsway, Dovercourt, Harwich",CO12 3JT,Colchester & Clacton (CO12),01255 508570,https://www.thecosmeticdentalstudio.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Clearsprings Dental Ltd,,"Low Road, Dovercourt, Harwich",CO12 3TS,Colchester & Clacton (CO12),01255 242442,https://www.carholmedentalgroup.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Clearsprings Dental Limited,CQC directory (auto-downloaded),
Clearsprings Dental Practice,,"Low Road, Dovercourt",CO12 3TS,Colchester & Clacton (CO12),01255 242442,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Clearsprings Dental Practice,CQC directory (auto-downloaded),
Elm Tree Dental Surgery,,"26 Elm Tree Avenue, Frinton on Sea",CO13 0AR,Colchester & Clacton (CO13),01255 672309,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Ratnesh Dinesh Patel,CQC directory (auto-downloaded),
The Old Library Dental Surgery,,"121-123 Connaught Avenue, Frinton On Sea",CO13 9PS,Colchester & Clacton (CO13),01255 674505,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,MJ Dooley (Dental Surgeon) Limited,CQC directory (auto-downloaded),
Jaywick Dental Surgery,,"32 Crossways, Jaywick, Clacton-on-sea",CO15 2NB,Colchester & Clacton (CO15),01255 207620,https://www.nhs.uk/services/dentist/jaywick-dental-surgery/V005066/contact-details-and-opening-times,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jaywick Dental Surgery Partnership,CQC directory (auto-downloaded),
Ford Road Dental Surgery,,"Unit 4A Newman Industrial Estate, Ford Road, Clacton On Sea",CO15 3DS,Colchester & Clacton (CO15),01255 474942,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Jurgis Visockis,CQC directory (auto-downloaded),
Admired Clinic Clacton,,"91 Woodlands Close, Clacton On Sea",CO15 4RY,Colchester & Clacton (CO15),01255 476700,https://www.admiredclinic.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NDC Plus Limited,CQC directory (auto-downloaded),
Tender Dental Care,,"52 Vista Rd, Clacton On Sea",CO15 6DQ,Colchester & Clacton (CO15),01255 422506,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smarteeth Limited,CQC directory (auto-downloaded),
Valley Dental Practice,,"130 Valley Road, Clacton On Sea",CO15 6LX,Colchester & Clacton (CO15),01255 220322,https://www.valleydentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sarah L. Robinson Limited,CQC directory (auto-downloaded),
Town View Dental and Implant Clinic,,"25 Carnarvon Road, Clacton On Sea",CO15 6QF,Colchester & Clacton (CO15),01555 423299,https://www.thecosmetcidentalstudio.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),website unreachable
Optident Dental Clinic,,"37 St Johns Street, Colchester",CO2 7AD,Colchester & Clacton (CO2),01206 544156,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Liana Ioana Budurin,CQC directory (auto-downloaded),
Dental Smiles Flagstaff,,"1 Flagstaff Road, Colchester",CO2 7SP,Colchester & Clacton (CO2),01279 871277,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Smiles Flagstaff Ltd,CQC directory (auto-downloaded),
LOVE IMPLANTS LTD,,"3 Hythe Station Road, Colchester",CO2 8JZ,Colchester & Clacton (CO2),746737726,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,LOVE IMPLANTS LTD,CQC directory (auto-downloaded),
Alpha Dental Care Mersea Road,,"306 Mersea Road, Colchester",CO2 8QY,Colchester & Clacton (CO2),01206 548386,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Prettygate Dental Practice Limited,CQC directory (auto-downloaded),
Layer Road Partnership,,"172 Layer Road, Colchester",CO2 9LA,Colchester & Clacton (CO2),01206 577912,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Layer Road Partnership,CQC directory (auto-downloaded),
Brickstables Dental & Implant Clinic,,"Halstead Road, Lexden Heath, Colchester",CO3 0JU,Colchester & Clacton (CO3),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
