name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Rugby Smiles Dental Clinic,01788 579577,Rugby Smiles Dental Clinic,CV21 2LQ,Coventry (CV21),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.rugbysmiles.co.uk,
Murray Dental Limited,02476 505444,Murray Dental Limited,CV3 5HL,Coventry (CV3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.murray-dental.com,
Evesham Place Dental,01789 293486,Evesham Place Dental,CV37 6HT,Coventry (CV37),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.eveshamplace.co.uk,
Holyhead Dental Practice,02476 220514,Holyhead Dental Practice,CV1 3AD,Coventry (CV1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.holyheaddentalpractice.co.uk,
Dental Perfection,02476 220420,Dental Perfection,CV1 3FE,Coventry (CV1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dental-perfection.co.uk,
Mathias/ Bhandal,02476 228108,Mathias/ Bhandal,CV1 4BQ,Coventry (CV1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bhandaldentalpractices.co.uk,
City of Coventry Health Centre,02476 280422,City of Coventry Health Centre,CV1 4FS,Coventry (CV1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hillfields Dental Surgery,02476 223707,Hillfields Dental Surgery,CV1 5JT,Coventry (CV1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hillfieldsdental.co.uk,
Cathedral Dental,02477 182458,Cathedral Dental,CV1 5QT,Coventry (CV1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cathedraldentalcoventry.co.uk,
Smilecare studio - Nuneaton,0790 6924208,Smilecare studio - Nuneaton,CV11 4BX,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Attleborough Dental Surgery,02476 343928,Attleborough Dental Surgery,CV11 4FJ,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Holywell House Nuneaton,02476 353450,Holywell House Nuneaton,CV11 5HQ,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Holywell House-Manor Dental,02476 353450,Holywell House-Manor Dental,CV11 5HQ,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cottage Dental Practice,02476 382081,Cottage Dental Practice,CV11 5HU,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Cottage Dental Practice,02476 382081,The Cottage Dental Practice,CV11 5HU,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr Simon Rixon Dental Practice Nuneaton,02476 382628,Dr Simon Rixon Dental Practice Nuneaton,CV11 5LE,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.coolteeth.net,website unreachable
McLeod and Lowe Dental Practice,02476 385614,McLeod and Lowe Dental Practice,CV11 5LE,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dulku and Kang,02476 344222,Dulku and Kang,CV11 6LG,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dulkuandkangdental.co.uk,
"Dulku, Kang & Associates",02476 344222,"Dulku, Kang & Associates",CV11 6LG,Coventry (CV11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bell Green Dental Surgery,02476 688579,Bell Green Dental Surgery,CV2 1NB,Coventry (CV2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bhandal Dental Practice - Woodend Health Centre,02476 619286,Bhandal Dental Practice - Woodend Health Centre,CV2 1XA,Coventry (CV2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Torcross Dental Practice,02476 450099,Torcross Dental Practice,CV2 3NE,Coventry (CV2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.parvisdental.co.uk,website unreachable
Medi Cov Dent,0778 8273097,Medi Cov Dent,CV2 4BL,Coventry (CV2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Smile Centre,02476 453850,The Smile Centre,CV2 4ED,Coventry (CV2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Marlborough Dental Surgery,02476 454350,Marlborough Dental Surgery,CV2 4ER,Coventry (CV2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.coventrydental.co.uk,
Longfellow Road Dental Practice,01384 411522,Longfellow Road Dental Practice,CV2 5HB,Coventry (CV2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Caldecott Dental Practice,01788 568477,Caldecott Dental Practice,CV21 2PN,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Regent St Dental Practice,01788 542692,Regent St Dental Practice,CV21 2PS,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
One Dental,01788 553999,One Dental,CV21 2SG,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dorset House Dental,01788 543217,Dorset House Dental,CV21 3AE,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jones Dental Care,01788 565089,Jones Dental Care,CV21 3BD,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.portmanhealthcare.co.uk,
Atwal & Barot High Street Dental Practice,01788 542663,Atwal & Barot High Street Dental Practice,CV21 3BG,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clifton Road Dental Surgery,01788 544434,Clifton Road Dental Surgery,CV21 3QF,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rugby Dental Care,01788 572265,Rugby Dental Care,CV21 3QH,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rugbydentalcare.co.uk,
Holywell House Rugby,01788 572338,Holywell House Rugby,CV21 3QN,Coventry (CV21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bhandal Dental Practice - Stoke Aldermoor Health Centre,02476 459510,Bhandal Dental Practice - Stoke Aldermoor Health Centre,CV3 1BN,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Binley Woods Dentistry,02476 540045,Binley Woods Dentistry,CV3 2AX,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The247dentist Emergency Dentist - Coventry,0330 1759995,The247dentist Emergency Dentist - Coventry,CV3 2AX,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.the247dentist.com,
The Dental Parlour,0798 0111183,The Dental Parlour,CV3 2SB,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Willenhall Dental Centre,02476 304897,Willenhall Dental Centre,CV3 3DG,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Facedental,02476 501125,Facedental,CV3 5FD,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Styvechale Dental Care,02476 414225,Styvechale Dental Care,CV3 6FR,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Leamington Road Dental Practice,02476 414302,Leamington Road Dental Practice,CV3 6GS,Coventry (CV3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Priory Dental Centre,01926 312204,Priory Dental Centre,CV31 1BA,Coventry (CV31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
SH Dental Care,01926 422392,SH Dental Care,CV31 1BA,Coventry (CV31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shdentalcare.co.uk,
Bridge Dental Practice,01926 426232,Bridge Dental Practice,CV31 2BB,Coventry (CV31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Whitnash Dental Care,01926 886066,Whitnash Dental Care,CV31 2NF,Coventry (CV31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Euston Place Dental Practice,01926 422509,Euston Place Dental Practice,CV32 4LJ,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Spa Solutions,01926 311698,Dental Spa Solutions,CV32 4LY,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dentalspasolutions.co.uk,
The Gallery Dental Practice,01926 424422,The Gallery Dental Practice,CV32 4TD,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Leicester Street Practice,01926 424422,The Leicester Street Practice,CV32 4TD,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Beyond Leamington Limited,0797 7511713,Beyond Leamington Limited,CV32 4YS,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orthoral Leamington Spa,01926 338000,Orthoral Leamington Spa,CV32 5EL,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.orthoral.com,
Leamington Spa Orthodontics,01926 883476,Leamington Spa Orthodontics,CV32 5LA,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leamingtonspaorthodontics.co.uk,
The Grove Practice,01926 423563,The Grove Practice,CV32 5NS,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thegrovepractice.co.uk,
Space Healthcare,0756 8190977,Space Healthcare,CV32 5PP,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.space-healthcare.co.uk,website unreachable
Clarendon House Dental Centre Ltd,01926 339993,Clarendon House Dental Centre Ltd,CV32 5SW,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.clarendonhousedentalcentre.co.uk,
Ascent Dental Care - Leamington Spa,01926 334421,Ascent Dental Care - Leamington Spa,CV32 5SZ,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Avenue Dental,0794 1792857,Avenue Dental,CV32 7DA,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HT Smiles,01926 330606,HT Smiles,CV32 7SF,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HT Smiles Ltd,01926 330606,HT Smiles Ltd,CV32 7SF,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lillington Health Hub,0797 7194625,Lillington Health Hub,CV32 7SJ,Coventry (CV32),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cape Road Dental Practice,01926 491029,Cape Road Dental Practice,CV34 4JP,Coventry (CV34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.capedental.co.uk,
Cape Road Dental Practice - Warwick,01926 491029,Cape Road Dental Practice - Warwick,CV34 4JP,Coventry (CV34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.capedental.co.uk,
Old Square Dental Practice Partnership,01926 950950,Old Square Dental Practice Partnership,CV34 4RA,Coventry (CV34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pandental.com,
Old Square Dental Surgery,01926 491960,Old Square Dental Surgery,CV34 4RA,Coventry (CV34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
