practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Rugby Smiles Dental Clinic,,"The Elms, 3 Newbold Road, Rugby",CV21 2LQ,Coventry (CV21),01788 579577,https://www.rugbysmiles.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Tim Bond Limited,CQC directory (auto-downloaded),
Kreate Dental Rugby,,"320 Hillmorton Road, Rugby",CV22 5BP,Coventry (CV22),01788 579886,https://www.kreatedental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Kreate Dental Rugby,CQC directory (auto-downloaded),
Murray Dental Limited,,"282 Daventry Road, Cheylesmore, Coventry",CV3 5HL,Coventry (CV3),02476 505444,https://www.murray-dental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Murray Dental Limited,CQC directory (auto-downloaded),
Evesham Place Dental,,"14 Evesham Place, Stratford Upon Avon",CV37 6HT,Coventry (CV37),01789 293486,https://www.eveshamplace.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Evesham Place Limited,CQC directory (auto-downloaded),
Pinnacle Orthodontics,,"13 Park Road, Coventry",CV1 2LE,Coventry (CV1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Coventry Orthodontics Limited,CQC directory (auto-downloaded),
Holyhead Dental Practice,,"117 Holyhead Road, Coventry",CV1 3AD,Coventry (CV1),02476 220514,https://www.holyheaddentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Kulwant Shoker,CQC directory (auto-downloaded),
Dental Perfection,,"7 Grosvenor House, Grosvenor Road, Coventry",CV1 3FE,Coventry (CV1),02476 220420,https://www.dental-perfection.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Pramod Sabharwal,CQC directory (auto-downloaded),
Mathias/ Bhandal,,"1 Light Lane, Radford, Coventry",CV1 4BQ,Coventry (CV1),02476 228108,https://www.bhandaldentalpractices.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Amrik Singh Bhandal, Baljit Singh Bhandal, Balbir Singh Bhandal & Chetan Mathias",CQC directory (auto-downloaded),
City of Coventry Health Centre,,"Floor 2,  2 Stoney Stanton Road, Coventry",CV1 4FS,Coventry (CV1),02476 280422,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,George Eliot Hospital NHS Trust,CQC directory (auto-downloaded),
Hillfields Dental Surgery,,"21 Berry Street, Coventry",CV1 5JT,Coventry (CV1),02476 223707,https://www.hillfieldsdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Samir Bashir Ahmed Mulgund & Sheralyn Samir Mulgund,CQC directory (auto-downloaded),
Cathedral Dental,,"The Hub, 4 Jordan Well, Coventry",CV1 5QT,Coventry (CV1),02477 182458,https://www.cathedraldentalcoventry.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yorkshire Imos Ltd,CQC directory (auto-downloaded),
Camphill Dental Practice,,"206 Camp Hill Road, Nuneaton",CV10 0JL,Coventry (CV10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Prestige Dental Care Group,CQC directory (auto-downloaded),
Smilecare studio - Nuneaton,,"19 Bond Street, Nuneaton",CV11 4BX,Coventry (CV11),0790 6924208,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bond Street Partnership,CQC directory (auto-downloaded),
Attleborough Dental Surgery,,"3 Wembrook House,  The Green, Attleborough, Nuneaton",CV11 4FJ,Coventry (CV11),02476 343928,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Peter Anthony Moyo,CQC directory (auto-downloaded),
Whitestone Family Dental Practice,,"41 Lutterworth Road, Nuneaton",CV11 4LE,Coventry (CV11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Prestige Dental Care Group,CQC directory (auto-downloaded),
Holywell House Nuneaton,,"115 Manor Court Road, Nuneaton",CV11 5HQ,Coventry (CV11),02476 353450,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Holywell House Orthodontics Limited,CQC directory (auto-downloaded),
Holywell House-Manor Dental,,"115 Manor Court Road, Nuneaton",CV11 5HQ,Coventry (CV11),02476 353450,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Holywell House Orthodontics Limited,CQC directory (auto-downloaded),
Cottage Dental Practice,,"35 Manor Court Road, Nuneaton",CV11 5HU,Coventry (CV11),02476 382081,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cottage Practice Ltd,CQC directory (auto-downloaded),
The Cottage Dental Practice,,"35, Manor Court Road, Nuneaton",CV11 5HU,Coventry (CV11),02476 382081,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Rai Dental Surgery,CQC directory (auto-downloaded),
Dr Simon Rixon Dental Practice Nuneaton,,"92a Queens Road, Nuneaton",CV11 5LE,Coventry (CV11),02476 382628,https://www.coolteeth.net,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Simon Rixon Limited,CQC directory (auto-downloaded),website unreachable
McLeod and Lowe Dental Practice,,"86 Queens Road, Nuneaton",CV11 5LE,Coventry (CV11),02476 385614,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Khela Dent Ltd,CQC directory (auto-downloaded),
Dulku and Kang,,"25 Hinckley Road, Nuneaton",CV11 6LG,Coventry (CV11),02476 344222,https://www.dulkuandkangdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dulku and Kang,CQC directory (auto-downloaded),
"Dulku, Kang & Associates",,"25 Hinckley Road, Nuneaton",CV11 6LG,Coventry (CV11),02476 344222,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Amardip Dulku,CQC directory (auto-downloaded),
