name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Crown Bank Dental,0781 7320028,Crown Bank Dental,CW11 1FW,Crewe & Nantwich (CW11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.crownbankdental.co.uk,
Oral Implants Limited,160675615,Oral Implants Limited,CW8 1BA,Crewe & Nantwich (CW8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.oralimplants.co.uk,
Victoria Street Dental Practice Ltd,01270 215062,Victoria Street Dental Practice Ltd,CW1 2JW,Crewe & Nantwich (CW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Crewe Dental Practice,01270 214949,Crewe Dental Practice,CW1 3AW,Crewe & Nantwich (CW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hightown Orthodontic Practice - Total Orthodontics,146073250,Hightown Orthodontic Practice - Total Orthodontics,CW1 3BY,Crewe & Nantwich (CW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Orthodontics Crewe,01270 257788,Total Orthodontics Crewe,CW1 3BY,Crewe & Nantwich (CW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Old Surgery @ Queen Street,01270 447410,The Old Surgery @ Queen Street,CW1 4AU,Crewe & Nantwich (CW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Old Surgery Dental Practice,01270 587820,The Old Surgery Dental Practice,CW1 5EQ,Crewe & Nantwich (CW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.oldsurgerydental.co.uk,
Allen House Dental Practice,0778 8721498,Allen House Dental Practice,CW1 6EJ,Crewe & Nantwich (CW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crown Dental Care,01606 832471,Crown Dental Care,CW10 9DP,Crewe & Nantwich (CW10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.crowndentalcare.co.uk,
M P Meredith Dental Surgery,01270 768841,M P Meredith Dental Surgery,CW11 1DH,Crewe & Nantwich (CW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheshire Orthodontics,01270 297086,Cheshire Orthodontics,CW11 1GT,Crewe & Nantwich (CW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cottage Dental Practice,01270 765771,Cottage Dental Practice,CW11 1HJ,Crewe & Nantwich (CW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harbour Dental Practice,01270 762186,Harbour Dental Practice,CW11 4NE,Crewe & Nantwich (CW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crown Bank Dental,01270 763777,Crown Bank Dental,CW12 1BQ,Crewe & Nantwich (CW12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Congleton Dental Centre Limited,01260 291059,Congleton Dental Centre Limited,CW12 1JN,Crewe & Nantwich (CW12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Moody Terrace Dental Practice Ltd,01260 272657,Moody Terrace Dental Practice Ltd,CW12 4AN,Crewe & Nantwich (CW12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.moodyterrace.com,
Cheshire Dental Centre,01270 256426,Cheshire Dental Centre,CW2 6JG,Crewe & Nantwich (CW2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://cheshiredentalcentre.co.uk,
Dane Bank House Dental Practice,01270 665774,Dane Bank House Dental Practice,CW2 6PE,Crewe & Nantwich (CW2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.danebankhouse.co.uk,
Crewe Dental Care,01270 212734,Crewe Dental Care,CW2 7EH,Crewe & Nantwich (CW2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alchemy Dental Practice Limited - Crewe,01270 211171,Alchemy Dental Practice Limited - Crewe,CW2 7HT,Crewe & Nantwich (CW2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alchemydental.co.uk,
Madeley Dental Practice,01782 750717,Madeley Dental Practice,CW3 9EA,Crewe & Nantwich (CW3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
