practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Crown Bank Dental,Crown Bank Family Dental Health Centre,"1 Crown Bank, Sandbach",CW11 1FW,Crewe & Nantwich (CW11),0781 7320028,https://www.crownbankdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Millstream Yield Ltd,CQC directory (auto-downloaded),
Oral Implants Limited,,"29 Castle Street, Northwich",CW8 1BA,Crewe & Nantwich (CW8),160675615,https://www.oralimplants.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Oral Implants Limited,CQC directory (auto-downloaded),
Victoria Street Dental Practice Ltd,,"1-5 St. Pauls Street, Crewe",CW1 2JW,Crewe & Nantwich (CW1),01270 215062,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Victoria Street Dental Practice Ltd,CQC directory (auto-downloaded),
Crewe Dental Practice,,"Eagle Bridge Health & Well Being Centre, Dunwoody Way, Crewe",CW1 3AW,Crewe & Nantwich (CW1),01270 214949,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Radcliffe Dental Partnership,CQC directory (auto-downloaded),
Hightown Orthodontic Practice - Total Orthodontics,,"38-40, Hightown, Crewe",CW1 3BY,Crewe & Nantwich (CW1),146073250,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Barter and Ramage,CQC directory (auto-downloaded),
Total Orthodontics Crewe,,"38-42 Hightown, Crewe",CW1 3BY,Crewe & Nantwich (CW1),01270 257788,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Xeon Smiles UK Limited,CQC directory (auto-downloaded),
The Old Surgery @ Queen Street,,"132 Queen Street, Crewe",CW1 4AU,Crewe & Nantwich (CW1),01270 447410,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Old Surgery Dental Practice Ltd,CQC directory (auto-downloaded),
Middlewich Dental Practice Limited,,"50-52 Middlewich Street, Crewe",CW1 4DA,Crewe & Nantwich (CW1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Middlewich Street Dental Practice Ltd,CQC directory (auto-downloaded),
The Old Surgery Dental Practice,,"31 Hungerford Road, Crewe",CW1 5EQ,Crewe & Nantwich (CW1),01270 587820,https://www.oldsurgerydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,The Old Surgery Dental Practice Ltd,CQC directory (auto-downloaded),
Allen House Dental Practice,,"186 Hungerford Road, Crewe",CW1 6EJ,Crewe & Nantwich (CW1),0778 8721498,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Rashi Goel,CQC directory (auto-downloaded),
The Woodlands Dental Practice,,"33 St. Anns Road, Middlewich",CW10 9BN,Crewe & Nantwich (CW10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Woodlands Shareholding Ltd,CQC directory (auto-downloaded),
Crown Dental Care,,"1 Lawrence Avenue, Middlewich",CW10 9DP,Crewe & Nantwich (CW10),01606 832471,https://www.crowndentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,David Reeves Dental Practice Partnership,CQC directory (auto-downloaded),
Hampton Dental Care,,"12 Hightown, Sandbach",CW11 1AE,Crewe & Nantwich (CW11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Roger Hollins,CQC directory (auto-downloaded),
M P Meredith Dental Surgery,,"7 Middlewich Road, Sandbach",CW11 1DH,Crewe & Nantwich (CW11),01270 768841,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Lyndsey Jane Potter,CQC directory (auto-downloaded),
Dental Suite,,"Middlewich Road, Sandbach",CW11 1EQ,Crewe & Nantwich (CW11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Roger Hollins,CQC directory (auto-downloaded),
Cheshire Orthodontics,,"17a, Welles Street, Sandbach",CW11 1GT,Crewe & Nantwich (CW11),01270 297086,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Expert Orthodontics Limited,CQC directory (auto-downloaded),
Cottage Dental Practice,,"16 Congleton Road, Cheshire, Sandbach",CW11 1HJ,Crewe & Nantwich (CW11),01270 765771,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sandy Limerick Dental Implants Limited,CQC directory (auto-downloaded),
Sandbach Heath Dental Surgery,,"53 Heath Road, Sandbach",CW11 2JU,Crewe & Nantwich (CW11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Aimee Devine,CQC directory (auto-downloaded),
Harbour Dental Practice,,"23-25 Crewe Road, Sandbach",CW11 4NE,Crewe & Nantwich (CW11),01270 762186,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pearl Smile (Sandbach) Ltd,CQC directory (auto-downloaded),
Crown Bank Dental,,"31 High Street, Congleton",CW12 1BQ,Crewe & Nantwich (CW12),01270 763777,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Millstream Yield Ltd,CQC directory (auto-downloaded),
Congleton Dental Centre Limited,,"11 West Street, Congleton",CW12 1JN,Crewe & Nantwich (CW12),01260 291059,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Congleton Dental Centre Limited,CQC directory (auto-downloaded),
Moody Terrace Dental Practice Ltd,,"17 Moody Street, Congleton",CW12 4AN,Crewe & Nantwich (CW12),01260 272657,https://www.moodyterrace.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Moody Terrace Dental Practice Limited,CQC directory (auto-downloaded),
Cheshire Dental Centre,,"146 Bedford Street, Crewe",CW2 6JG,Crewe & Nantwich (CW2),01270 256426,https://cheshiredentalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cheshire Dental Centre Limited,CQC directory (auto-downloaded),
Dane Bank House Dental Practice,,"305 Nantwich Road, Crewe",CW2 6PE,Crewe & Nantwich (CW2),01270 665774,https://www.danebankhouse.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Stuart Jonathan Hopkins,CQC directory (auto-downloaded),
