name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Coulsdon Dental Clinic,0749 6595911,Coulsdon Dental Clinic,CR5 2BB,Croydon (CR5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://coulsdondentalclinic.co.uk,
Brigstock Dental Practice,02086 896171,Brigstock Dental Practice,CR7 7JL,Croydon (CR7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.brigstockdental.co.uk,
Dental Beauty Orthodontics Purley,02086 604365,Dental Beauty Orthodontics Purley,CR8 3EH,Croydon (CR8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.elegantsmilesdental.co.uk,
Foxley Lane Dental Care,02086 600415,Foxley Lane Dental Care,CR8 3EH,Croydon (CR8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.foxleylanedentalcare.co.uk,
Salcot Crescent Dental Surgery,0793 1873331,Salcot Crescent Dental Surgery,CR0 0JG,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Heathfield Dental Clinic,02086 884818,Heathfield Dental Clinic,CR0 1EW,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.heathfielddental.com,website unreachable
Whitgift Dental,02086 863954,Whitgift Dental,CR0 1HB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.whitgiftdental.co.uk,
Park Lane Dental,02086 888877,Park Lane Dental,CR0 1JB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.parklanedental.co.uk,
Dental Solution,02086 881311,Dental Solution,CR0 1LB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.croydondental.co.uk,
AllClear Dental Centre,02086 883869,AllClear Dental Centre,CR0 1LH,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.allcleardental.co.uk,
Croydon Dental Care,02086 866222,Croydon Dental Care,CR0 1RB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.croydondentalcare.co.uk,
Top Medical Clinic - Croydon,02086 811651,Top Medical Clinic - Croydon,CR0 1SG,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.topmedicalclinic.com/croydon,
iCare Dental – Croydon,02079 932595,iCare Dental – Croydon,CR0 2GE,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gentle Dental Care - Whitehorse Road,02087 772040,Gentle Dental Care - Whitehorse Road,CR0 2JH,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
London Road Dental Centre,02086 841928,London Road Dental Centre,CR0 2RL,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
West Croydon Dental Practice,02086 889985,West Croydon Dental Practice,CR0 3SE,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.wc-dp.co.uk,
Derby Road Dental Practice,02086 864469,Derby Road Dental Practice,CR0 3SY,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.derbyroaddental.co.uk,
Preventive Dental Practice,02086 881880,Preventive Dental Practice,CR0 4PB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.preventive-dental.co.uk,
Addiscombe Dental Surgery,02086 541580,Addiscombe Dental Surgery,CR0 6AB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orchard Dental Centre,02086 863010,Orchard Dental Centre,CR0 6BB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Practice,02086 545629,Dental Practice,CR0 6RG,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Beauty Croydon,02086 882000,Dental Beauty Croydon,CR0 6SE,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Dental Practice,02086 497911,Smile Dental Practice,CR0 6SE,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smiledentalpractice.co.uk,
Croydon Dental Practice,02086 566959,Croydon Dental Practice,CR0 7AB,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.addiscombe-orthodontics.co.uk,website unreachable
Gentle Dental Care - Shirley Road,02086 543722,Gentle Dental Care - Shirley Road,CR0 7LR,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://gentledentalcaregroup.co.uk,
Bywood Dental Practice,01322 555858,Bywood Dental Practice,CR0 7RA,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gentle Dental Care - Wickham Road,02087 772040,Gentle Dental Care - Wickham Road,CR0 8BE,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shirley Dental Practice,02086 567627,Shirley Dental Practice,CR0 8TF,Croydon (CR0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shirleydentalpractice.co.uk,
Mayfield Dental,02086 571291,Mayfield Dental,CR2 0BG,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mayfield-dental.co.uk,
Dr Graham Aird,02086 572302,Dr Graham Aird,CR2 0HA,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
McCarthy Dental Practice,02086 889797,McCarthy Dental Practice,CR2 6AH,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brighton Road Dentalcare,02086 888883,Brighton Road Dentalcare,CR2 6AJ,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oak Tree Dental Practice,02086 804645,Oak Tree Dental Practice,CR2 6EQ,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Purley Whites Dental Care,02087 772040,Purley Whites Dental Care,CR2 6NN,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Beauty Orthodontics South Croydon,02086 817638,Dental Beauty Orthodontics South Croydon,CR2 7PA,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.bracelands.co.uk/croydon,
Dental Beauty Addington,20866510444,Dental Beauty Addington,CR2 8JJ,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Selsdon Smiles,0791 2305706,Selsdon Smiles,CR2 8LB,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.selsdonsmiles.co.uk,
Selsdon Dental Surgery,02086 511357,Selsdon Dental Surgery,CR2 8LJ,Croydon (CR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
