practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Feel Good Dental,,"263 Lower Addiscombe Road, Croydon",CR0 6RD,Croydon (CR0),,https://www.feelgooddental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,FGD Croydon Ltd,CQC directory (auto-downloaded),
Coulsdon Dental Clinic,,"72 Brighton Road, Coulsdon",CR5 2BB,Croydon (CR5),0749 6595911,https://coulsdondentalclinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,COULSDON DENTAL CLINIC LIMITED,CQC directory (auto-downloaded),
Brigstock Dental Practice,,"97 Brigstock Road, Thornton Heath",CR7 7JL,Croydon (CR7),02086 896171,https://www.brigstockdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Brigstock Dental Practice,CQC directory (auto-downloaded),
Dental Beauty Orthodontics Purley,,"45 Foxley Lane, Purley",CR8 3EH,Croydon (CR8),02086 604365,https://www.elegantsmilesdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Claremont at FortyFive Limited,CQC directory (auto-downloaded),
Foxley Lane Dental Care,,"49 Foxley Lane, Purley",CR8 3EH,Croydon (CR8),02086 600415,https://www.foxleylanedentalcare.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Foxley Lane Dental,CQC directory (auto-downloaded),
Salcot Crescent Dental Surgery,,"5 Salcot Crescent, New Addington, Croydon",CR0 0JG,Croydon (CR0),0793 1873331,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Said Sadeed Hashimi,CQC directory (auto-downloaded),
Heathfield Dental Clinic,,"80 Heathfield Road, Croydon",CR0 1EW,Croydon (CR0),02086 884818,https://www.heathfielddental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Danesh M. Soshik,CQC directory (auto-downloaded),website unreachable
Whitgift Dental,,"70 Chatsworth Road, Croydon",CR0 1HB,Croydon (CR0),02086 863954,https://www.whitgiftdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Whitgift Dental,CQC directory (auto-downloaded),
Park Lane Dental,,"98 Park Lane, Croydon",CR0 1JB,Croydon (CR0),02086 888877,https://www.parklanedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Park Lane Dental,CQC directory (auto-downloaded),
Fairfield Dental Centre,,"9 Woodstock Road, Croydon",CR0 1JS,Croydon (CR0),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Kiran Dhir,CQC directory (auto-downloaded),
Dental Solution,,"1st Floor,  Woolwich House, 43 George Street, Croydon",CR0 1LB,Croydon (CR0),02086 881311,https://www.croydondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Solution Ltd,CQC directory (auto-downloaded),
AllClear Dental Centre,,"5 Norfolk House, Wellesley Road, Croydon",CR0 1LH,Croydon (CR0),02086 883869,https://www.allcleardental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,All Clear Dental Limited,CQC directory (auto-downloaded),
Croydon Dental Care,,"60-62 Church Street, Croydon",CR0 1RB,Croydon (CR0),02086 866222,https://www.croydondentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Park Lane Dental,CQC directory (auto-downloaded),
Top Medical Clinic - Croydon,Top Medical Clinic - Cryodon,"1B Church Road, Croydon",CR0 1SG,Croydon (CR0),02086 811651,https://www.topmedicalclinic.com/croydon,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Top Medical Clinic LTD,CQC directory (auto-downloaded),
iCare Dental – Croydon,,"Unit F1, 12 Saffron Central Square, Croydon",CR0 2GE,Croydon (CR0),02079 932595,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,iCare Dental Ltd,CQC directory (auto-downloaded),
Gentle Dental Care - Whitehorse Road,,"29a, Whitehorse Road, Croydon",CR0 2JH,Croydon (CR0),02087 772040,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,GDCG Limited,CQC directory (auto-downloaded),
London Road Dental Centre,,"227 London Road, Croydon",CR0 2RL,Croydon (CR0),02086 841928,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Smita Donde,CQC directory (auto-downloaded),
Banning Dental Group – Croydon,,"Unit 1,  2 Ruskin Square, Croydon",CR0 2WF,Croydon (CR0),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Banning Dental Group Ltd,CQC directory (auto-downloaded),
West Croydon Dental Practice,,"7 Derby Road, Croydon",CR0 3SE,Croydon (CR0),02086 889985,https://www.wc-dp.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,West Croydon Dental Practice Ltd,CQC directory (auto-downloaded),
Derby Road Dental Practice,,"2a Derby Road, Croydon",CR0 3SY,Croydon (CR0),02086 864469,https://www.derbyroaddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Haider Rizvi,CQC directory (auto-downloaded),
