name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
West Auckland Dental Practice,0781 4741402,West Auckland Dental Practice,DL14 9HW,Darlington (DL14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.westaucklanddentalcare.co.uk,
Springs Dental Studio,01325 284808,Springs Dental Studio,DL1 1XE,Darlington (DL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.springsdental.co.uk,
S Leigh Dental Surgery,01325 358916,S Leigh Dental Surgery,DL1 2RX,Darlington (DL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.devsdentalpractice.co.uk,
Harrowgate Hill Dental Practice,01325 286705,Harrowgate Hill Dental Practice,DL1 3BL,Darlington (DL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.harrowgatehilldental.co.uk,
Neasham Road Dental Practice,01325 466766,Neasham Road Dental Practice,DL1 4BL,Darlington (DL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Darlington Dental Health Centre,01325 965334,Darlington Dental Health Centre,DL1 4SU,Darlington (DL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
21D Darlington,0800 0073199,21D Darlington,DL1 4WD,Darlington (DL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.21d.co.uk,
Victoria Dental Practice,01325 462361,Victoria Dental Practice,DL1 5SJ,Darlington (DL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.victoriadental.co.uk,
Lion House Dental Practice,01748 822321,Lion House Dental Practice,DL10 4AB,Darlington (DL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lionhouserichmond.co.uk,
Castle Dental Practice Limited,01833 631140,Castle Dental Practice Limited,DL12 8EJ,Darlington (DL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castledentalpractice.com,
HMP YOI Deerbolt,01833 633507,HMP YOI Deerbolt,DL12 9BG,Darlington (DL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Auckland Cosmetic Dental Clinic,01388 602459,Auckland Cosmetic Dental Clinic,DL14 6AH,Darlington (DL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queensway Dental - Bishop Auckland,01388 433699,Queensway Dental - Bishop Auckland,DL14 7EG,Darlington (DL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queensway Orthodontics East Limited,01642 554667,Queensway Orthodontics East Limited,DL14 7EG,Darlington (DL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Coundon Dental Health Centre,01388 660372,Coundon Dental Health Centre,DL14 8NP,Darlington (DL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chilton Dental Health Centre,01388 721464,Chilton Dental Health Centre,DL17 0HF,Darlington (DL17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
