practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
West Auckland Dental Practice,,"24-26 Front Street, West Auckland, Bishop Auckland",DL14 9HW,Darlington (DL14),0781 4741402,https://www.westaucklanddentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Mr James Harrison,CQC directory (auto-downloaded),
Springs Dental Studio,Anitha Bangaru & Sergei Sonwabo Mda,"146 Yarm Road, Darlington",DL1 1XE,Darlington (DL1),01325 284808,https://www.springsdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Anitha Bangaru & Sergei Sonwabo Mda,CQC directory (auto-downloaded),
S Leigh Dental Surgery,,"27 Stockton Road, Darlington",DL1 2RX,Darlington (DL1),01325 358916,https://www.devsdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dev's Dental Practice,CQC directory (auto-downloaded),
Harrowgate Hill Dental Practice,,"331 North Road, Darlington",DL1 3BL,Darlington (DL1),01325 286705,https://www.harrowgatehilldental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Harrowgate Hill Dental Practice,CQC directory (auto-downloaded),
Neasham Road Dental Practice,,"145 Neasham Road, Darlington",DL1 4BL,Darlington (DL1),01325 466766,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Neasham Road Dental Practice,CQC directory (auto-downloaded),
Darlington Dental Health Centre,,"56 Burnside Road, Darlington",DL1 4SU,Darlington (DL1),01325 965334,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Mohammed Hyder,CQC directory (auto-downloaded),
21D Darlington,,"5 Pioneer Court, Darlington",DL1 4WD,Darlington (DL1),0800 0073199,https://www.21d.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,21D Clinical Limited,CQC directory (auto-downloaded),
Victoria Dental Practice,,"5 Victoria Road, Darlington",DL1 5SJ,Darlington (DL1),01325 462361,https://www.victoriadental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Simon Holguin,CQC directory (auto-downloaded),
Lion House Dental Practice,,"6 Pottergate, Richmond",DL10 4AB,Darlington (DL10),01748 822321,https://www.lionhouserichmond.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lion House Dental Practice Limited,CQC directory (auto-downloaded),
CTL Dental,,"59 Newbiggin, Richmond",DL10 4DX,Darlington (DL10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,CTLD Limited,CQC directory (auto-downloaded),
