name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
"2 Green Smile LTD, trading as 2 Green Dental",01322 521044,"2 Green Smile LTD, trading as 2 Green Dental",DA1 4JL,Dartford & Gravesend (DA1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.2greendental.co.uk,
Kreate Dental Gravesend Limited,01474 567167,Kreate Dental Gravesend Limited,DA11 8JT,Dartford & Gravesend (DA11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.kreatedental.co.uk,
Parrock Dartford,01474 355132,Parrock Dartford,DA11 8RD,Dartford & Gravesend (DA11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.parrockdental.co.uk,
Parrock Dental and Implant Centre,01474 537191,Parrock Dental and Implant Centre,DA12 1EN,Dartford & Gravesend (DA12),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.parrockdental.co.uk,
Quigley Dental - Sidcup,02083 007979,Quigley Dental - Sidcup,DA14 6DS,Dartford & Gravesend (DA14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.quigleydental.co.uk,
Sky Dental Clinic,0785 2740685,Sky Dental Clinic,DA5 1BT,Dartford & Gravesend (DA5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.skydentalclinic.co.uk,
Zental (Bexleyheath) Ltd,02039 828602,Zental (Bexleyheath) Ltd,DA6 7DU,Dartford & Gravesend (DA6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.zental.uk,
Dental Beauty Bexleyheath Ltd,02083 032258,Dental Beauty Bexleyheath Ltd,DA7 4QX,Dartford & Gravesend (DA7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.pickfordlanedentalpractice.co.uk,
Smile Avenue,0743 2734446,Smile Avenue,DA1 1AH,Dartford & Gravesend (DA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dartford Dental and Implant Centre,01322 941111,Dartford Dental and Implant Centre,DA1 1EZ,Dartford & Gravesend (DA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dartforddental.co.uk,
