practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
"2 Green Smile LTD, trading as 2 Green Dental",,"2 Green Walk, Crayford, Dartford",DA1 4JL,Dartford & Gravesend (DA1),01322 521044,https://www.2greendental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,2 Green Smile Ltd,CQC directory (auto-downloaded),
Kreate Dental Gravesend Limited,,"25 Hunt Road, Painters Ash, Gravesend",DA11 8JT,Dartford & Gravesend (DA11),01474 567167,https://www.kreatedental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Kreate Dental Gravesend Limited,CQC directory (auto-downloaded),
Parrock Dartford,,"69 Perry Street, Northfleet, Gravesend",DA11 8RD,Dartford & Gravesend (DA11),01474 355132,https://www.parrockdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Parrock Dartford,CQC directory (auto-downloaded),
Parrock Dental and Implant Centre,,"189 Parrock Street, Gravesend",DA12 1EN,Dartford & Gravesend (DA12),01474 537191,https://www.parrockdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Parrock Dental and Implant Centres,CQC directory (auto-downloaded),
Quigley Dental - Sidcup,,"88B High Street, Sidcup",DA14 6DS,Dartford & Gravesend (DA14),02083 007979,https://www.quigleydental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Miss Dorothy Quigley,CQC directory (auto-downloaded),
Sky Dental Clinic,,"151-153, Blendon Road, Bexley",DA5 1BT,Dartford & Gravesend (DA5),0785 2740685,https://www.skydentalclinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Sky Dental Clinic Ltd,CQC directory (auto-downloaded),
Zental (Bexleyheath) Ltd,,"4-5 Market Place, Bexleyheath",DA6 7DU,Dartford & Gravesend (DA6),02039 828602,https://www.zental.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Zental Dental Practices Ltd,CQC directory (auto-downloaded),
Dental Beauty Bexleyheath Ltd,,"70 Pickford Lane, Bexleyheath",DA7 4QX,Dartford & Gravesend (DA7),02083 032258,https://www.pickfordlanedentalpractice.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Beauty Bexleyheath Ltd,CQC directory (auto-downloaded),
Smile Avenue,,"30,  Providence Place, 28 Overy Street, Dartford",DA1 1AH,Dartford & Gravesend (DA1),0743 2734446,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Avenue Ltd,CQC directory (auto-downloaded),
Dartford Dental and Implant Centre,,"24 Market Street, Dartford",DA1 1EZ,Dartford & Gravesend (DA1),01322 941111,https://www.dartforddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SAIMO LTD,CQC directory (auto-downloaded),
