name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Ward & Allison Dental Practice,01159 324811,Ward & Allison Dental Practice,DE7 5QU,Derby (DE7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.wardandallisondentalclinic.co.uk,
The Orthodontic Practice,01332 295727,The Orthodontic Practice,DE1 1BT,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
57 Friar Gate Dental Practice,01332 344602,57 Friar Gate Dental Practice,DE1 1DF,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Central Dental,01332 202200,Central Dental,DE1 1LP,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.remarkablesmiles.co.uk,
Central Dental Practice,01332 202200,Central Dental Practice,DE1 1LP,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.centraldentalderby.co.uk,website unreachable
Ozel and Marshall Dental Surgeons,01332 348161,Ozel and Marshall Dental Surgeons,DE1 1RL,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dove Dental Care Limited,01332 345222,Dove Dental Care Limited,DE1 2GJ,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dovedentalcare.co.uk,website unreachable
Casa Dental,01332 347543,Casa Dental,DE1 2HU,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.osmastonroaddental.co.uk,website unreachable
Derby City Dental Care,01332 344810,Derby City Dental Care,DE1 2QS,Derby (DE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sixteen A Dental Care,01283 221857,Sixteen A Dental Care,DE11 8HY,Derby (DE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Delph Dental Practice,01283 222499,Delph Dental Practice,DE11 8JE,Derby (DE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brook House,01283 217794,Brook House,DE11 8JU,Derby (DE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hughesandowendentalcare.co.uk,
Alexandra Dental Care,01283 216347,Alexandra Dental Care,DE11 9AZ,Derby (DE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alexandradentalcare.co.uk,website unreachable
Imperial Dental - Burton,01283 568985,Imperial Dental - Burton,DE14 1AN,Derby (DE14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Modwena House,01283 517525,Modwena House,DE14 1HA,Derby (DE14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.modwenaorthodontics.co.uk,
Burton Smiles Dental Clinic,01283 901035,Burton Smiles Dental Clinic,DE14 1JE,Derby (DE14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Nunneleyhouse Dental Practice,01283 568087,Nunneleyhouse Dental Practice,DE14 1SY,Derby (DE14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
SG Dental and Implant Centre,01283 845345,SG Dental and Implant Centre,DE14 2UE,Derby (DE14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sgdental.co.uk,
Dental Perfection Branston,01283 564142,Dental Perfection Branston,DE14 3DW,Derby (DE14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hughes & Owen Dental Care,01283 568817,Hughes & Owen Dental Care,DE14 3QZ,Derby (DE14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cosmetic White Smiles,01332 675000,Cosmetic White Smiles,DE21 2DF,Derby (DE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Oakwood Dental Centre Limited,01332 280557,The Oakwood Dental Centre Limited,DE21 2DF,Derby (DE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cosmeticwhitesmiles.co.uk,
Derwent Valley Dental,01332 202102,Derwent Valley Dental,DE21 6AH,Derby (DE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Road Dental,01332 674537,Park Road Dental,DE21 6HD,Derby (DE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chaddesden Dental Practice,01332 673828,Chaddesden Dental Practice,DE21 6PE,Derby (DE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shinysmiles.co.uk,website unreachable
Spondon Dental Ltd,01332 662900,Spondon Dental Ltd,DE21 7EU,Derby (DE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chapel Street Dental Practice,0759 0509596,Chapel Street Dental Practice,DE21 7RH,Derby (DE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kedleston Dental Care,0781 3025944,Kedleston Dental Care,DE22 1FX,Derby (DE22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kedlestondental.com,
The Clearly Different Dental Practice,01332 559989,The Clearly Different Dental Practice,DE22 1JB,Derby (DE22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
