practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Ward & Allison Dental Practice,,"DENTAL SURGERY, 1 Market Street, Ilkeston",DE7 5QU,Derby (DE7),01159 324811,https://www.wardandallisondentalclinic.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Vanya Ruseva,CQC directory (auto-downloaded),
The Orthodontic Practice,,"5 St James Court, Friar Gate, Derby",DE1 1BT,Derby (DE1),01332 295727,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr. Rajesh Patel,CQC directory (auto-downloaded),
57 Friar Gate Dental Practice,,"57 Friar Gate, Derby",DE1 1DF,Derby (DE1),01332 344602,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,57 FG Limited,CQC directory (auto-downloaded),
Central Dental,,"52 Curzon Street, Derby",DE1 1LP,Derby (DE1),01332 202200,https://www.remarkablesmiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JT Dent Ltd,CQC directory (auto-downloaded),
Central Dental Practice,,"52-56 Curzon Street, Derby",DE1 1LP,Derby (DE1),01332 202200,https://www.centraldentalderby.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Amit Koshal,CQC directory (auto-downloaded),website unreachable
Ozel and Marshall Dental Surgeons,,"8 Saint James Street, Derby",DE1 1RL,Derby (DE1),01332 348161,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Tracey Marshall and Dr David Ozel,CQC directory (auto-downloaded),
Dove Dental Care Limited,,"33-35 Normanton Road, Derby",DE1 2GJ,Derby (DE1),01332 345222,https://www.dovedentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dove Dental Care Limited,CQC directory (auto-downloaded),website unreachable
Casa Dental,,"54 Osmaston Road, Derby",DE1 2HU,Derby (DE1),01332 347543,https://www.osmastonroaddental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Osmaston Road Dental Care Ltd,CQC directory (auto-downloaded),website unreachable
Derby City Dental Care,,"113 London Road, Derby",DE1 2QS,Derby (DE1),01332 344810,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Derby Dental Care Partnership,CQC directory (auto-downloaded),
Sixteen A Dental Care,,"16A High Street, Swadlincote",DE11 8HY,Derby (DE11),01283 221857,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Sixteen A Dental Care Limited,CQC directory (auto-downloaded),
