name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Ashby Dental Practice,01724 847676,Ashby Dental Practice,DN16 2RZ,Doncaster (DN16),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ashby-dental.co.uk,
Doncaster Dental Centre,01302 342356,Doncaster Dental Centre,DN1 1SD,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Trinity House Orthodontics Doncaster,01924 369696,Trinity House Orthodontics Doncaster,DN1 2DJ,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.trinityhouse-orthodontics.co.uk,
Solid Rock Specialist Dental Practice - Doncaster,01302 321296,Solid Rock Specialist Dental Practice - Doncaster,DN1 2DY,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.solidrockdental.com,
Churchview Dental Care,01302 342814,Churchview Dental Care,DN1 2EX,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hislop and Wolverson,01302 349181,Hislop and Wolverson,DN1 2EX,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Thorne Road,01302 342076,Thorne Road,DN1 2EX,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Impressions Dental Care Limited,01302 361150,Impressions Dental Care Limited,DN1 2HS,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Flying Scotsman Centre,01302 563163,The Flying Scotsman Centre,DN1 3AP,Doncaster (DN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
I J Kellam Ltd,0844 3878730,I J Kellam Ltd,DN12 1JD,Doncaster (DN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eram Dental Care,01709 860015,Eram Dental Care,DN12 3JH,Doncaster (DN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Denaby Dental Practice,01709 861702,Denaby Dental Practice,DN12 4AT,Doncaster (DN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Snaith Dental Care,01405 869149,Snaith Dental Care,DN14 0AA,Doncaster (DN14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Goole Surgery,01405 763995,Goole Surgery,DN14 5BU,Doncaster (DN14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Burlington Dental Practice,01405 762917,Burlington Dental Practice,DN14 5EF,Doncaster (DN14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clifton Garden Dental Surgery,01405 762300,Clifton Garden Dental Surgery,DN14 6AS,Doncaster (DN14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
