practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Ashby Dental Practice,,"25-27 Victoria Road, Scunthorpe",DN16 2RZ,Doncaster (DN16),01724 847676,https://www.ashby-dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ashby Road Ltd,CQC directory (auto-downloaded),
Doncaster Dental Centre,,"82-86, St. Sepulchre Gate, Doncaster",DN1 1SD,Doncaster (DN1),01302 342356,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Doncaster Dental Limited,CQC directory (auto-downloaded),
Trinity House Orthodontics Doncaster,,"10 Cavendish Court, Doncaster",DN1 2DJ,Doncaster (DN1),01924 369696,https://www.trinityhouse-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Haricovert Limited,CQC directory (auto-downloaded),
Healthy Tree Studio Ltd,,"5 South Parade, Doncaster",DN1 2DY,Doncaster (DN1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Healthy Tree Studio Ltd,CQC directory (auto-downloaded),
Solid Rock Specialist Dental Practice - Doncaster,,"9 South Parade, Doncaster",DN1 2DY,Doncaster (DN1),01302 321296,https://www.solidrockdental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Solid Rock Services Limited,CQC directory (auto-downloaded),
Churchview Dental Care,,"63 Thorne Road, Doncaster",DN1 2EX,Doncaster (DN1),01302 342814,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hatfield Dental Care Limited,CQC directory (auto-downloaded),
Hislop and Wolverson,,"43 Thorne Road, Doncaster",DN1 2EX,Doncaster (DN1),01302 349181,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. John Wolverson,CQC directory (auto-downloaded),
Thorne Road,,"65 Thorne Road, Doncaster",DN1 2EX,Doncaster (DN1),01302 342076,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,P.B. Robinson (Doncaster) Limited,CQC directory (auto-downloaded),
Impressions Dental Care Limited,,"Grange Villa, 20 Thorne Road, Doncaster",DN1 2HS,Doncaster (DN1),01302 361150,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Impressions Dental Care Limited,CQC directory (auto-downloaded),
The Flying Scotsman Centre,,"St Sepulchre Gate West, Doncaster",DN1 3AP,Doncaster (DN1),01302 563163,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Rotherham NHS Foundation Trust,CQC directory (auto-downloaded),
Bawtry Dental Practice,,"5-7 Swan Street, Bawtry, Doncaster",DN10 6JQ,Doncaster (DN10),01302 710658,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Create Ltd,CQC directory (auto-downloaded),
Bawtry Dental Aesthetic & Implant Clinic,,"Doncaster Road, Bawtry, Doncaster",DN10 6NE,Doncaster (DN10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Bawtry Dental, Cosmetic & Implant Clinic Ltd",CQC directory (auto-downloaded),
Rossington Dental Practice,,"103 Gattison Lane, New Rossington, Doncaster",DN11 0NS,Doncaster (DN11),01302 863091,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Randeep Chung,CQC directory (auto-downloaded),
Rossington,,"3 Darnley Buildings,  Queen Marys Road, Rossington, Doncaster",DN11 0TS,Doncaster (DN11),01302 867593,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,P.B. Robinson (Doncaster) Limited,CQC directory (auto-downloaded),
Tickhill Dental & Implant Centre,Tickhill Dental & Implant Centre Limited,"36 Sunderland Street, Tickhill, Doncaster",DN11 9QJ,Doncaster (DN11),01302 750300,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tickhill Dental & Implant Centre Limited,CQC directory (auto-downloaded),
I J Kellam Ltd,,"The Martinwells Centre,  Thompson Avenue, Edlington, Doncaster",DN12 1JD,Doncaster (DN12),0844 3878730,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,I J Kellam Limited,CQC directory (auto-downloaded),
Eram Dental Care,,"36a West Street, Conisbrough, Doncaster",DN12 3JH,Doncaster (DN12),01709 860015,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Eram Durrani,CQC directory (auto-downloaded),
Denaby Dental Practice,,"1 Wheatley Street, Denaby Main, Doncaster",DN12 4AT,Doncaster (DN12),01709 861702,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Matthew Hooper,CQC directory (auto-downloaded),
Snaith Dental Care,,"Aire View, Gowdall Lane,  Snaith, Goole",DN14 0AA,Doncaster (DN14),01405 869149,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,O'Brien Siddle Dental Care Limited,CQC directory (auto-downloaded),
Goole Surgery,,"5 Belgravia, Goole",DN14 5BU,Doncaster (DN14),01405 763995,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,B & R Dental Care,CQC directory (auto-downloaded),
Burlington Dental Practice,,"15 Burlington Crescent, Goole",DN14 5EF,Doncaster (DN14),01405 762917,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yorkshire Dental Practice Limited,CQC directory (auto-downloaded),
