name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Dorchester Orthodontic Clinic,01305 259417,Dorchester Orthodontic Clinic,DT1 1RU,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Gardens Dental Practice,01305 263492,The Gardens Dental Practice,DT1 1RU,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dorchesterdentist.co.uk,
Royal Terrace Dental Practice,01305 264827,Royal Terrace Dental Practice,DT1 1RY,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.theroyalterracedentalpractice.com,
Amadent Limited,01305 264609,Amadent Limited,DT1 1TP,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Princes Street Dental Care,01305 264609,Princes Street Dental Care,DT1 1TP,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Country Dental Practice,01305 250772,Country Dental Practice,DT1 1UF,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Country Practice Dental Clinic,01305 250772,Country Practice Dental Clinic,DT1 1UF,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dorset County Hospital,01305 251150,Dorset County Hospital,DT1 2JY,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dchft.nhs.uk,
St Johns Dental Practice,01305 265559,St Johns Dental Practice,DT1 3BX,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Poundbury Windslade Partnership,01305 268068,Poundbury Windslade Partnership,DT1 3UX,Dorchester & Weymouth (DT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sturminster Dental Care,01258 473397,Sturminster Dental Care,DT10 1BD,Dorchester & Weymouth (DT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
ADMECS Healthcare Limited,0772 2807922,ADMECS Healthcare Limited,DT11 7DR,Dorchester & Weymouth (DT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mr Nigel Jones - East Street,01258 452522,Mr Nigel Jones - East Street,DT11 7DU,Dorchester & Weymouth (DT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.blandford-dental.co.uk,
Alaska House Dental Practice,01258 452091,Alaska House Dental Practice,DT11 7PS,Dorchester & Weymouth (DT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Heritage Dental Health,01305 782927,Heritage Dental Health,DT3 4DH,Dorchester & Weymouth (DT3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
