practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Wessex House Dental Practice,,"Wessex House Dental Practice,  Wessex House, Westbury, Sherborne",DT9 3EH,Dorchester & Weymouth (DT9),01935 817950,https://www.wessex.house,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Clearstream Health Limited,CQC directory (auto-downloaded),
Dorchester Orthodontic Clinic,,"15 Cornwall Road, Dorchester",DT1 1RU,Dorchester & Weymouth (DT1),01305 259417,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Katherine Rowland,CQC directory (auto-downloaded),
The Gardens Dental Practice,,"18 Cornwall Road, Dorchester",DT1 1RU,Dorchester & Weymouth (DT1),01305 263492,https://www.dorchesterdentist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Matthew Higginson,CQC directory (auto-downloaded),
Royal Terrace Dental Practice,,"35 Cornwall Road, Dorchester",DT1 1RY,Dorchester & Weymouth (DT1),01305 264827,https://www.theroyalterracedentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Royal Terrace Dental Practice Limited,CQC directory (auto-downloaded),
Amadent Limited,,"29 Princes Street, Dorchester",DT1 1TP,Dorchester & Weymouth (DT1),01305 264609,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Amadent Limited,CQC directory (auto-downloaded),
Princes Street Dental Care,,"29 Princes Street, Dorchester",DT1 1TP,Dorchester & Weymouth (DT1),01305 264609,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Princes Street Dental Care,CQC directory (auto-downloaded),
National Dental,National Dental and Implant Centre Limited,"South Grove Cottage, Trinity Street, Dorchester",DT1 1TU,Dorchester & Weymouth (DT1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,National Dental and Implant Centre Limited,CQC directory (auto-downloaded),
Country Dental Practice,,"40 Great Western Road, Dorchester",DT1 1UF,Dorchester & Weymouth (DT1),01305 250772,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Country Dental Practice Partnership,CQC directory (auto-downloaded),
Country Practice Dental Clinic,,"40 Great Western Road, Dorchester",DT1 1UF,Dorchester & Weymouth (DT1),01305 250772,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,H.E SMILES LTD,CQC directory (auto-downloaded),
Dorchester Out Of Hours Dental Service,Dorchester Access Dental,"Dorset County Hospital, Williams Avenue, Dorchester",DT1 2JY,Dorchester & Weymouth (DT1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Access Dental Ltd,CQC directory (auto-downloaded),
