name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Foley Park Dental & Implant Centre,01562 822653,Foley Park Dental & Implant Centre,DY11 6LS,Dudley & Black Country (DY11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.foleyparkdental.co.uk,
Bhandal Dental Practice - 9 St James Road,01384 255570,Bhandal Dental Practice - 9 St James Road,DY1 1JG,Dudley & Black Country (DY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle View Dental Practice Limited,01384 253680,Castle View Dental Practice Limited,DY1 1LQ,Dudley & Black Country (DY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bhandaldentalpractices.co.uk,
Bhandal Dental Practice - 190 High Street,01384 245960,Bhandal Dental Practice - 190 High Street,DY1 1QE,Dudley & Black Country (DY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Orthodontics Kidderminster,01562 751911,Total Orthodontics Kidderminster,DY10 2AD,Dudley & Black Country (DY10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kidderminsterorthodontic.co.uk,website unreachable
Bradley Shorthouse Dental Clinic,01562 822052,Bradley Shorthouse Dental Clinic,DY10 2AW,Dudley & Black Country (DY10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.bradleyshorthouse.co.uk,
Whitehouse & Partners Dental Practice,01562 822216,Whitehouse & Partners Dental Practice,DY10 2AW,Dudley & Black Country (DY10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.whitehouseandpartners.co.uk,
Comberton Dental Surgery Limited,01562 751240,Comberton Dental Surgery Limited,DY10 3DL,Dudley & Black Country (DY10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.combertondental.co.uk,
Sutton Park Dental Centre,01562 744840,Sutton Park Dental Centre,DY11 6LD,Dudley & Black Country (DY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.Suttonparkdental.com,website unreachable
Denora Kidderminster,01562 510200,Denora Kidderminster,DY11 7BQ,Dudley & Black Country (DY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.denora.co.uk,
