practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Foley Park Dental & Implant Centre,,"54 Connaught Avenue, Kidderminster",DY11 6LS,Dudley & Black Country (DY11),01562 822653,https://www.foleyparkdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Suraj Dhanda,CQC directory (auto-downloaded),
The Briars Dental Practice,,"2 Trinity Road, Dudley",DY1 1JB,Dudley & Black Country (DY1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",CQC directory (auto-downloaded),
Bhandal Dental Practice - 9 St James Road,,"9 St James Road, Dudley",DY1 1JG,Dudley & Black Country (DY1),01384 255570,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",CQC directory (auto-downloaded),
Castle View Dental Practice Limited,,"269 Castle Street, Dudley",DY1 1LQ,Dudley & Black Country (DY1),01384 253680,https://www.bhandaldentalpractices.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",CQC directory (auto-downloaded),
Bhandal Dental Practice - 190 High Street,,"190 High Street, Dudley",DY1 1QE,Dudley & Black Country (DY1),01384 245960,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",CQC directory (auto-downloaded),
Total Orthodontics Kidderminster,,"8 Church Street, Kidderminster",DY10 2AD,Dudley & Black Country (DY10),01562 751911,https://www.kidderminsterorthodontic.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oasis Dental Care Limited,CQC directory (auto-downloaded),website unreachable
Bradley Shorthouse Dental Clinic,,"25 Church Street, Kidderminster",DY10 2AW,Dudley & Black Country (DY10),01562 822052,https://www.bradleyshorthouse.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr. Pierce Richard Bradley,CQC directory (auto-downloaded),
Whitehouse & Partners Dental Practice,,"23 Church Street, Kidderminster",DY10 2AW,Dudley & Black Country (DY10),01562 822216,https://www.whitehouseandpartners.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Whitehouse & Partners,CQC directory (auto-downloaded),
Comberton Dental Surgery Limited,,"29 Comberton Road, Kidderminster",DY10 3DL,Dudley & Black Country (DY10),01562 751240,https://www.combertondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Comberton Dental Surgery Limited,CQC directory (auto-downloaded),
Sutton Park Dental Centre,,"43 Sutton Park Road, Kidderminster",DY11 6LD,Dudley & Black Country (DY11),01562 744840,https://www.Suttonparkdental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sutton Park Dental Centre,CQC directory (auto-downloaded),website unreachable
