practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Great Kings Dental,,"7 GREAT KING STREET, DUMFRIES",DG1 1BA,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dental Bees Dumfries,,"124 QUEENSBERRY STREET, DUMFRIES",DG1 1BU,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
2 Church Court,,"CASTLE STREET, DUMFRIES",DG1 1DE,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Blue Door Nhs Family Dp,,"22 CASTLE STREET, DUMFRIES",DG1 1DR,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
26 Castle Street,,"DUMFRIES, NA",DG1 1DU,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Orthodontic Lounge,,"3 LOREBURNE SHOPPING CENTRE, DUMFRIES",DG1 2BL,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
47 Bank Street,,"DUMFRIES, NA",DG1 2PA,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Nith Place Dental Practice,,"5-7 NITH PLACE, DUMFRIES",DG1 2PL,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,Scotland NHS dental register (PHS open data),
Sdc Clinics Ltd,,"195 HIGH STREET, DUMFRIES",DG1 2QT,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dg Smile,,"48 WHITESANDS, DUMFRIES",DG1 2RS,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,Scotland NHS dental register (PHS open data),
Dumfries Dental Centre,,"BANKEND ROAD, DUMFRIES",DG1 4AP,Dumfries & Galloway (DG1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Moffat Dental Practice,,"CAUSEWAY STREET, MOFFAT",DG109DN,Dumfries & Galloway (DG10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Mclean Dental,,"16 HIGH STREET, LOCHMABEN",DG111NH,Dumfries & Galloway (DG11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lockerbie Dental Surgery,,"134 HIGH STREET, LOCKERBIE",DG112BX,Dumfries & Galloway (DG11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lockerbie Dental,,"80 HIGH STREET, LOCKERBIE",DG112EU,Dumfries & Galloway (DG11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Annan Dental Practice Ltd,,"3 BANK STREET, ANNAN",DG126AA,Dumfries & Galloway (DG12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
18/20 Church Street,,"ANNAN, NA",DG126DS,Dumfries & Galloway (DG12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Gunning Dental,,"104 HIGH STREET, ANNAN",DG126DW,Dumfries & Galloway (DG12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Gretna Dental Practice,,"139-141 CENTRAL AVENUE, GRETNA",DG165AQ,Dumfries & Galloway (DG16),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Hmp Dumfries,,"TERREGLES STREET, DUMFRIES",DG2 9AX,Dumfries & Galloway (DG2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
96 Glasgow Street,,"DUMFRIES, NA",DG2 9DE,Dumfries & Galloway (DG2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Thornhill Dental Practice,,"45 DRUMLANRIG STREET, THORNHILL",DG3 5LJ,Dumfries & Galloway (DG3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,Scotland NHS dental register (PHS open data),
Birch Valley Dental Clinic,,"273 HIGH STREET, DALBEATTIE",DG5 4DW,Dumfries & Galloway (DG5),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kirkcudbright Dental Surgery,,"LESLIE HOUSE,50 ST CUTHBERT ST., KIRKCUDBRIGHT",DG6 4DZ,Dumfries & Galloway (DG6),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dental Bees,,"1 ST ANDREW STREET, CASTLE DOUGLAS",DG7 1DE,Dumfries & Galloway (DG7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
2 Princes Street,,"NEWTON STEWART, NA",DG8 6EX,Dumfries & Galloway (DG8),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lewis Dentistry,,"LEWIS TAYLOR HOUSE, 6 LEWIS STREET, STRANRAER",DG9 7AA,Dumfries & Galloway (DG9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
(My) Dentist,,"37 LEWIS STREET, STRANRAER",DG9 7AB,Dumfries & Galloway (DG9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
South West Smile Care Centre,,"34 BRIDGE STREET, STRANRAER",DG9 7JF,Dumfries & Galloway (DG9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
