practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
1St Floor,,"21 ALBERT SQUARE, DUNDEE",DD1 1DJ,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Discovery Dental Care,,"1 WEST BELL STREET, DUNDEE",DD1 1EX,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Reform Street Dental Practice,,"10 REFORM STREET, DUNDEE",DD1 1RG,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
City Quay Dental Clinic,,"24B CITY QUAY CAMPERDOWN STREET, DUNDEE",DD1 3JA,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Waterside Dental Care,,"UNIT 33 SHED 26 CAMPERDOWN STREET, DUNDEE",DD1 3JA,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
38 Whitehall Street,,"DUNDEE, NA",DD1 4AF,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
26 Union Street (Downstairs),,"DUNDEE, NA",DD1 4BE,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
146 Dental Care,,"146 NETHERGATE, DUNDEE",DD1 4EA,Dundee & Angus (DD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
High Street Dental Centre,,"4 HIGH STREET, MONTROSE, ANGUS",DD108JL,Dundee & Angus (DD10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
53 John Street,,"MONTROSE, NA",DD108LZ,Dundee & Angus (DD10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Links Lodge Dental Practice,,"26 JOHN STREET, MONTROSE",DD108LZ,Dundee & Angus (DD10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
121 High Street,,"ARBROATH, ANGUS",DD111DP,Dundee & Angus (DD11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ian Robertson Dental Care,,"10 BROTHOCK BRIDGE, ARBROATH",DD111NG,Dundee & Angus (DD11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
30 Keptie Street,,"ARBROATH, ANGUS",DD113AF,Dundee & Angus (DD11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
No 80 Dental Practice,,"80 KEPTIE STREET, ARBROATH",DD113AY,Dundee & Angus (DD11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
West End Dental Practice,,"243 PERTH ROAD, DUNDEE",DD2 1EL,Dundee & Angus (DD2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lochee Dental Care,,"48 HIGH STREET, DUNDEE",DD2 3AW,Dundee & Angus (DD2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
