name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Alan Lam Family Dental Practice Ltd,01913 888381,Alan Lam Family Dental Practice Ltd,DH3 3PQ,Durham (DH3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.lamdentalcare.com,
Belmont Dental Practice,01913 849491,Belmont Dental Practice,DH1 1AP,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.belmontdentalpractice.co.uk,
Claypath Dental Practice,01913 865375,Claypath Dental Practice,DH1 1QT,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Elvet Dental Practice,01913 848231,Elvet Dental Practice,DH1 3HL,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Cosmetic Dental Clinic (Durham),01913 750191,The Cosmetic Dental Clinic (Durham),DH1 3HL,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Durham,01913 323532,HMP Durham,DH1 3HU,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crossgate Dental Practice,01913 232487,Crossgate Dental Practice,DH1 4HF,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.crossgatedentalpractice.co.uk,website unreachable
The Crossgate Centre,01913 757522,The Crossgate Centre,DH1 4HF,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle View Surgery Limited,01913 848481,Castle View Surgery Limited,DH1 4SQ,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castleviewsurgery.com,website unreachable
Alpha Dental Care Framwellgate,01913 869436,Alpha Dental Care Framwellgate,DH1 5EJ,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dencall - University Hospital of North Durham,01207 503020,Dencall - University Hospital of North Durham,DH1 5TW,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Frankland,0784 3056489,HMP Frankland,DH1 5YA,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP YOI Low Newton,01913 764252,HMP YOI Low Newton,DH1 5YA,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alpha Dental Studio Chester-Le -Street,01913 887092,Alpha Dental Studio Chester-Le -Street,DH2 2TT,Durham (DH2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alphadental.co.uk,
All Smile Dental,01913 882939,All Smile Dental,DH3 3EZ,Durham (DH3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ashfield Dental Care,01913 882348,Ashfield Dental Care,DH3 3PD,Durham (DH3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cestria Dental Practice,01913 883389,Cestria Dental Practice,DH3 3PX,Durham (DH3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cestria-dental.co.uk,
Glendale House,01915 843247,Glendale House,DH4 4DN,Durham (DH4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.csdp.co.uk,
Dairy Lane Dental Practice,01915 121345,Dairy Lane Dental Practice,DH4 5BH,Durham (DH4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fence Houses Dental Practice,01913 852622,Fence Houses Dental Practice,DH4 6HT,Durham (DH4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Churchview Dental Practice,01915 264905,Churchview Dental Practice,DH5 0JN,Durham (DH5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hetton Dental Practice,01915 262589,Hetton Dental Practice,DH5 9JB,Durham (DH5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wray and McKenna Limited,01429 823336,Wray and McKenna Limited,DH6 3NT,Durham (DH6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bowburn Dental Health Centre,01913 773465,Bowburn Dental Health Centre,DH6 5AU,Durham (DH6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westlands Dental Studio,01207 520265,Westlands Dental Studio,DH7 0ER,Durham (DH7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westlandsdentalstudio.co.uk,
Durham Dental Implant Suite,01913 782227,Durham Dental Implant Suite,DH7 8ER,Durham (DH7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bennisons Dental Practice,01913 783444,Bennisons Dental Practice,DH7 8NN,Durham (DH7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Esh Winning Dental Health Centre,01913 739052,Esh Winning Dental Health Centre,DH7 9HW,Durham (DH7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shotley Bridge Dental Care,01207 502621,Shotley Bridge Dental Care,DH8 0BH,Durham (DH8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Practice,01207 502672,Dental Practice,DH8 5HU,Durham (DH8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nepalidental.co.uk,
Number One Dental Surgery,01207 500528,Number One Dental Surgery,DH8 5NW,Durham (DH8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Queensway Orthodontics North Limited,01642 554667,Queensway Orthodontics North Limited,DH8 5QP,Durham (DH8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
IRC Derwentside,01207 260221,IRC Derwentside,DH8 6QY,Durham (DH8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
AD Dental Consett,01207 503079,AD Dental Consett,DH8 8LU,Durham (DH8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Honour Health Stanley,01207 232725,Honour Health Stanley,DH9 0JE,Durham (DH9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.honourhealth.co.uk,
Stoney Field Dental Practice,01207 232738,Stoney Field Dental Practice,DH9 0JL,Durham (DH9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile in Durham,01207 234228,Smile in Durham,DH9 7UQ,Durham (DH9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bupa Dental Care Durham,01913 844433,Bupa Dental Care Durham,DH1 1QF,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,https://www.gilesgatedental.co.uk,website unreachable
"mydentist, St Andrews Park, Durham",01204 799799,"mydentist, St Andrews Park, Durham",DH1 2RH,Durham (DH1),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
Myorthodontist Durham,01204 799799,Myorthodontist Durham,DH1 4EL,Durham (DH1),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Bupa Dental Care Pelton,01913 702051,Bupa Dental Care Pelton,DH2 1DA,Durham (DH2),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,,
Mydentist - Front street - Consett,01207 503020,Mydentist - Front street - Consett,DH8 5AQ,Durham (DH8),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,,
