practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Alan Lam Family Dental Practice Ltd,,"6 Weardale Terrace, Ropery Lane, Chester Le Street",DH3 3PQ,Durham (DH3),01913 888381,https://www.lamdentalcare.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Alan Lam Family Dental Practice Limited,CQC directory (auto-downloaded),
Belmont Dental Practice,,"Newlands Road, Belmont, Durham",DH1 1AP,Durham (DH1),01913 849491,https://www.belmontdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Belmont Dental Practice,CQC directory (auto-downloaded),
Claypath Dental Practice,,"71 Claypath, Durham",DH1 1QT,Durham (DH1),01913 865375,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Nina Proctor,CQC directory (auto-downloaded),
Kingsgate Dental practice,,"29A Church Street, Durham",DH1 3DG,Durham (DH1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kingsgate Dental Practice Limited,CQC directory (auto-downloaded),
Elvet Dental Practice,,"18 Old Elvet, Durham",DH1 3HL,Durham (DH1),01913 848231,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Aaron Charles Kinghorn,CQC directory (auto-downloaded),
The Cosmetic Dental Clinic (Durham),,"7 Old Elvet, Durham",DH1 3HL,Durham (DH1),01913 750191,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
HMP Durham,,"19b Old Elvet, Durham",DH1 3HU,Durham (DH1),01913 323532,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Mohammed Hyder,CQC directory (auto-downloaded),
Crossgate Dental Practice,,"Suite 1,  The Cross Gate Centre, Alexandria Crescent, Durham",DH1 4HF,Durham (DH1),01913 232487,https://www.crossgatedentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Crossgate Durham Limited,CQC directory (auto-downloaded),website unreachable
The Crossgate Centre,,"The Cross Gate Centre, Alexandria Crescent, Durham",DH1 4HF,Durham (DH1),01913 757522,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Castle View Surgery Limited,,"70 North Road, Durham",DH1 4SQ,Durham (DH1),01913 848481,https://www.castleviewsurgery.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Castle View Surgery Limited,CQC directory (auto-downloaded),website unreachable
