practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Bruntsfield Dental Ian Ollerhead,,"226 BRUNTSFIELD PLACE, EDINBURGH",EH104DE,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Church Hill Dental Practice,,"37-39 MORNINGSIDE ROAD, EDINBURGH",EH104DR,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
147 Bruntsfield Place,,"EDINBURGH, NA",EH104EB,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Morningside Dental Care,,"150 MORNINGSIDE ROAD, EDINBURGH",EH104PX,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Eh10 Dental,,"1 MILLAR CRESCENT, EDINBURGH",EH105HN,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
31 Morningside Drive,,"EDINBURGH, NA",EH105LZ,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
27 Comiston Road,,"EDINBURGH, NA",EH106AA,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Fairmilehead Dental Practice,,"6 OXGANGS ROAD, EDINBURGH",EH107AU,Edinburgh & Lothians (EH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
13 Polwarth Gardens,,"EDINBURGH, NA",EH111JS,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
33 Polwarth Gardens,,"EDINBURGH, NA",EH111LA,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
51 Slateford Road,,"EDINBURGH, NA",EH111PR,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Fresh Faced Cosmetic Clinic,,"42 CALEDONIAN CRESCENT, EDINBURGH",EH112AG,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Haymarket Dental Care,,"3C WASHINGTON LANE, EDINBURGH",EH112HA,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
14 Ardmillan Terrace,,"EDINBURGH, NA",EH112JW,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Gorgie Dental,,"296/1 GORGIE ROAD, EDINBURGH",EH112PP,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Cross Dental And Implant Centre,,"78 STENHOUSE PLACE EAST, EDINBURGH",EH113DQ,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Hmp Edinburgh,,"33 STENHOUSE ROAD, EDINBURGH",EH113LN,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Sighthill Health Centre,,"380 CALDER ROAD, EDINBURGH",EH114AU,Edinburgh & Lothians (EH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
91 Corstorphine Road,,"MURRAYFIELD, EDINBURGH",EH125QE,Edinburgh & Lothians (EH12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
