name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Trinity Dental Practice,02083 632477,Trinity Dental Practice,EN1 1HT,Enfield (EN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.trinitydental.co.uk,
Leigh Dental Practice,02083 630902,Leigh Dental Practice,EN1 3BX,Enfield (EN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Smile Clinic,01992 464899,Dental Smile Clinic,EN10 7HX,Enfield (EN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broxbourne Dental Practice,01992 464073,Broxbourne Dental Practice,EN10 7NF,Enfield (EN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hoddesdon Dental Surgey,01992 462043,Hoddesdon Dental Surgey,EN11 8DA,Enfield (EN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hoddesdondental.com,
Amwell Street Dental Practice,01992 443649,Amwell Street Dental Practice,EN11 8UA,Enfield (EN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Your Smile Dental Practice,01992 445599,Your Smile Dental Practice,EN11 9FF,Enfield (EN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Arts Studio - Dentique Specialist Centre,02083 600500,Dental Arts Studio - Dentique Specialist Centre,EN2 6EB,Enfield (EN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalartsstudio.co.uk,
Dental Arts Studio - Enfield,02083 623110,Dental Arts Studio - Enfield,EN2 6EB,Enfield (EN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalartsstudio.co.uk,
Chase Side Dental Practice,02083 636363,Chase Side Dental Practice,EN2 6NL,Enfield (EN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Practice on the Hill,02083 671729,Dental Practice on the Hill,EN2 6PJ,Enfield (EN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pearlywhitesuk.com,
Angle House Orthodontics Enfield,02083 673441,Angle House Orthodontics Enfield,EN2 8PD,Enfield (EN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.anglehouseorthodontics.com,
Ponders End Dentistry,02088 044320,Ponders End Dentistry,EN3 4DZ,Enfield (EN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Enfield Dental Practice,02088 041620,Enfield Dental Practice,EN3 5JL,Enfield (EN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Surgery,02088 042107,Dental Surgery,EN3 5PT,Enfield (EN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
SENSATIONAL SMILES LTD,02088 042107,SENSATIONAL SMILES LTD,EN3 5PT,Enfield (EN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bullsmoor Dental Practice,01992 764999,Bullsmoor Dental Practice,EN3 6TG,Enfield (EN3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Endoclinic,02084 405819,Endoclinic,EN4 0AR,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
WestPole Dental Clinic,02084 419142,WestPole Dental Clinic,EN4 0AX,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rgmattey.co.uk,website unreachable
Azamay,02084 496858,Azamay,EN4 0DB,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.azamay.com,
Cockfosters Dental Practice,02084 408442,Cockfosters Dental Practice,EN4 0DW,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hadley Wood Dental Practice,02084 410257,Hadley Wood Dental Practice,EN4 0EJ,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
East Barnet Village Practice,02084 414213,East Barnet Village Practice,EN4 8AE,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cat Hill Dental Practice,02084 402204,Cat Hill Dental Practice,EN4 8HX,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Barnet Dental Practice,02084 418000,Barnet Dental Practice,EN4 8RN,Enfield (EN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
York Road Dental Practice,02084 490235,York Road Dental Practice,EN5 1LL,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mr. Nigel Monkman,02084 470707,Mr. Nigel Monkman,EN5 1QY,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Allure Dental Care,02084 491387,Allure Dental Care,EN5 2EP,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Barnet Smiles Dental Care,02084 416201,Barnet Smiles Dental Care,EN5 2LP,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
GM Dental and Implant Centre,02084 493022,GM Dental and Implant Centre,EN5 4BE,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wood Street Dental Practice,02084 494378,Wood Street Dental Practice,EN5 4BW,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hadley Green Dental Practice,02084 493315,Hadley Green Dental Practice,EN5 4PL,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alexander Langdon Dental Practice,0751 5265142,Alexander Langdon Dental Practice,EN5 5SU,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grove Dental Practice,02084 495931,Grove Dental Practice,EN5 5TD,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
High Barnet Dental Care,02082 752980,High Barnet Dental Care,EN5 5UR,Enfield (EN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hbdentalcare.uk,
Leighton House Dental Practice,01707 652931,Leighton House Dental Practice,EN6 1BB,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Emicare Dental & Spa Centre,0757 5355155,Emicare Dental & Spa Centre,EN6 1BS,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Baker Street Dental Practice,01707 653589,Baker Street Dental Practice,EN6 2EB,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
AJ Dental Care,01707 658654,AJ Dental Care,EN6 2QU,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orchard Dental Care,01707 655000,Orchard Dental Care,EN6 3AZ,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cuffley Dental Centre,01707 872236,Cuffley Dental Centre,EN6 4HE,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Village Dental Practice,01707 874063,Village Dental Practice,EN6 4HE,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.villagedentalpractice.com,website unreachable
Greenleaves Dental Practice,01707 654328,Greenleaves Dental Practice,EN6 5DB,Enfield (EN6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.greenleavesdental.co.uk,
Angle House Goff Oak Specialist Dentistry,01707 870707,Angle House Goff Oak Specialist Dentistry,EN7 5ET,Enfield (EN7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.anglehouse.com,
The Dental Practice,01992 641414,The Dental Practice,EN7 6QQ,Enfield (EN7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Iconic Smiles Cheshunt,01992 643259,Iconic Smiles Cheshunt,EN8 0BS,Enfield (EN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cherry Tree Dental Care,01992 626137,Cherry Tree Dental Care,EN8 0HX,Enfield (EN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Waltham Cross Partnership,01992 636363,Waltham Cross Partnership,EN8 7AP,Enfield (EN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Waltham Cross Dental Practice,01992 760335,Waltham Cross Dental Practice,EN8 7LA,Enfield (EN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheshunt Dental Practice,01992 622001,Cheshunt Dental Practice,EN8 9DG,Enfield (EN8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cheshuntdentalpractice.co.uk,
Market Square Dental Practice,01992 715111,Market Square Dental Practice,EN9 1DL,Enfield (EN9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alexanders Dental Practice - Waltham Abbey,01992 712700,Alexanders Dental Practice - Waltham Abbey,EN9 1NN,Enfield (EN9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cobbins Brook Dental Practice,01992 711199,Cobbins Brook Dental Practice,EN9 3BT,Enfield (EN9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Bupa Dental Care Waltham Cross,01992 636363,Bupa Dental Care Waltham Cross,EN8 7AP,Enfield (EN8),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,,
Mydentist - Hertford Road - Waltham Cross,01992 760838,Mydentist - Hertford Road - Waltham Cross,EN8 7RU,Enfield (EN8),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Turners Hill - Waltham Cross,01992 620125,Mydentist - Turners Hill - Waltham Cross,EN8 9BH,Enfield (EN8),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
