practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dentozen,,"12 Queen Annes Place, Enfield",EN1 2PT,Enfield (EN1),0795 6776114,https://www.dentozen.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentozen Ltd,CQC directory (auto-downloaded),
North House Dental Practice and Implant Clinic,,"34c, High Street, Hoddesdon",EN11 8BY,Enfield (EN11),01992 462022,https://www.northhousedental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,North House Hoddesdon – Dental & Aesthetic Clinic,CQC directory (auto-downloaded),
Mona Lisa Smiles,,"83 Station Road, New Barnet, Barnet",EN5 1PX,Enfield (EN5),02084 493411,https://www.monalisasmiles.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Khosro Basirat,CQC directory (auto-downloaded),
Zental (Barnet) Ltd,,"85 High Street, Barnet",EN5 5UR,Enfield (EN5),02039 828602,https://www.zental.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Zental Dental Practices Ltd,CQC directory (auto-downloaded),
Trinity Dental Practice,,"87 Trinity Avenue, Enfield",EN1 1HT,Enfield (EN1),02083 632477,https://www.trinitydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Trinity Dental Surgery Limited,CQC directory (auto-downloaded),
Willow House Dental Surgery,,"285 Willow Road, Enfield",EN1 3AZ,Enfield (EN1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Willow House Dental Surgery Limited,CQC directory (auto-downloaded),
Leigh Dental Practice,New River Dental,"325 Willow Road, Enfield",EN1 3BX,Enfield (EN1),02083 630902,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leigh Dental Practice Limited,CQC directory (auto-downloaded),
Dental Smile Clinic,,"41A High Road, Broxbourne",EN10 7HX,Enfield (EN10),01992 464899,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Smile Clinic,CQC directory (auto-downloaded),
Broxbourne Dental Practice,,"60a High Road, Broxbourne",EN10 7NF,Enfield (EN10),01992 464073,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Karz Limited,CQC directory (auto-downloaded),
Hoddesdon Dental Surgey,,"44 High Street, Hoddesdon",EN11 8DA,Enfield (EN11),01992 462043,https://www.hoddesdondental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hoddesdon Dental Surgery Ltd,CQC directory (auto-downloaded),
