company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes,email
BARRINGTON CADDICK ESTATE AGENTS AND LETTINGS LTD.,07442644,"Trinity House, 28-30 Blucher Street, Birmingham, B1 1QH",B1 1QH,,,68310,liquidation,2010-11-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,,
GOLDEN ESTATES (BIRMINGHAM) LTD,04277109,"580 Coventry Road, Small Heath, Birmingham, West Midlands, B10 0US",B10 0US,,,68310,active,2001-08-28,Abid Ahmed (director); Nazar Hussain (director); Mohammed Jamheel Yousaf (director); Form 10 Secretaries Fd Ltd (director); Form 10 Directors Fd Ltd (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Small Heath,Companies House API,no website found,
MAK ESTATES (BIRMINGHAM) LTD,10018626,"Mak House, 192 Stoney Lane, Birmingham, B12 8AN, England",B12 8AN,,,68310,active,2016-02-22,Ajmal Nawaz (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Balsall Heath,Companies House API,no website found,
GLOVERS ESTATE AGENTS LTD,10636515,"33 High Street, Kings Heath, Birmingham, B14 7BB, England",B14 7BB,01214434343,https://www.glovers.uk.com/,68310,active,2017-02-23,Michael Glover (director); Michael Duke (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Kings Heath,Companies House API,,jacob@glovers.uk.com
BIRMINGHAM ESTATE AGENTS LTD,04610737,"26 York Street, Birmingham, B17 0HG, England",B17 0HG,,,68310,dissolved,2002-12-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Harborne,Companies House API,,
COTTONS ESTATE AGENTS LIMITED,04984275,"361 Hagley Road, Edgbaston, Birmingham, B17 8DL",B17 8DL,01212472233,https://www.cottons.co.uk,"68100, 68209, 68310",active,2003-12-03,Richard David Longden (director); Andrew James Barden (director); John Day (director); Peter Charles Longden (director); Mark Maxwell Ward (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Harborne,Companies House API,,domalley@cottons.co.uk
HADLEIGH ESTATE AGENTS LIMITED,06847096,"185 High Street, Harborne, Birmingham, B17 9QG, United Kingdom",B17 9QG,01214271213,https://hadleighuk.com/,68310,active,2009-03-16,Dominic Cole (director); Alexia-Anne Willetts (director); Jasver Singh Suthi (director); Michael John England-Kerr (director); Stuart John Mosley (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Harborne,Companies House API,,enquiries@hadleighuk.com
HOPKINS AND DAINTY ESTATE AGENTS LIMITED,10968220,"11th Floor One Temple Row, Birmingham, B2 5LG",B2 5LG,,,68310,liquidation,2017-09-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,,
CRESCENT ESTATE AGENTS LIMITED,09815792,"Office 14, Gill House, 140 Holyhead Road, Birmingham, B21 0AF, England",B21 0AF,,,"68100, 68310, 68320",active,2015-10-08,Sheikh Mohammad Amin (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Handsworth,Companies House API,cleared false-positive website,
PREMIER ESTATE AGENTS (BIRMINGHAM) LTD,14728805,"11 York Road, Erdington, Birmingham, B23 6TE, England",B23 6TE,,,"68209, 68310, 68320",active,2023-03-14,Usman Yusaf Akhtar (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Stockland Green,Companies House API,no website found,
FAIRMANS ESTATE AGENTS LTD,15117394,"282 Yardley Road, Yardley, Birmingham, B25 8LT, England",B25 8LT,044206025976,https://fairmansestateagents.co.uk/,"68310, 68320",active,2023-09-05,Nadeem Mazhar (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Yardley,Companies House API,website unreachable,
