company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
GRACE AND CO ESTATE AGENTS LIMITED,05883508,"217 Station Road, Kingswood, Bristol, BS15 4XN",BS15 4XN,,,68310,dissolved,2006-07-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Kingswood,Companies House API,
CHESS INDEPENDENT ESTATE AGENTS (BRISTOL) LIMITED,05631271,"125 High Street, Staple Hill, Bristol, Avon, BS16 5HQ, United Kingdom",BS16 5HQ,,,68310,dissolved,2005-11-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Downend,Companies House API,
CLIFTONS ESTATE AGENTS LIMITED,06968074,"21 21 Harbour Road, Portishead, Bristol, BS20 7AJ, England",BS20 7AJ,,,68310,liquidation,2009-07-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Clevedon,Companies House API,
CHALLENGER BURGESS ESTATE AGENTS LTD,12840255,"Pure Offices Kestrel Court, Harbour Road, Portishead, North Somerset, BS20 7AN, England",BS20 7AN,,,68310,active,2020-08-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Clevedon,Companies House API,
HUNTER LEAHY ESTATE AGENTS LIMITED,09251136,"Douglas Crook Accountancy Services 92, Nore Road, Bristol, North Somerset, BS20 8DX, United Kingdom",BS20 8DX,,,68310,liquidation,2014-10-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Clevedon,Companies House API,
GINOS ESTATE AGENTS LTD,12648681,"6 Ryves Vale, Tickenham, Clevedon, BS21 6FZ, United Kingdom",BS21 6FZ,,,"68310, 68320",active,2020-06-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Weston-super-Mare,Companies House API,
ASHLEY LEAHY ESTATE AGENTS LIMITED,16855973,"Unit 306 Park Way, Worle, Weston-Super-Mare, BS22 6WA, England",BS22 6WA,,,68310,active,2025-11-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Weston-super-Mare,Companies House API,
AVERY ESTATE AGENTS LIMITED,05513981,"199 Milton Road, Weston-Super-Mare, Avon, BS22 8EF, United Kingdom",BS22 8EF,,,68310,active,2005-07-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Weston-super-Mare,Companies House API,
ASHCOMBE ESTATE AGENTS AND LETTINGS LTD,14074077,"42a Milton Road, Weston-Super-Mare, BS23 2SW, England",BS23 2SW,,,"68209, 68310",active,2022-04-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Weston-super-Mare,Companies House API,
CHRISTIAN JAMES ESTATE AGENTS LTD,17200497,"98 Wentwood Drive, Weston-Super-Mare, BS24 9ND, England",BS24 9ND,,,68310,active,2026-05-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Weston-super-Mare,Companies House API,
FARRONS ESTATE AGENTS LTD,05957144,"30 Woodborough Road, Winscombe, Avon, BS25 1AG",BS25 1AG,,,68310,active,2006-10-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Bleadon,Companies House API,
ANDREWS ESTATE AGENTS LIMITED,00700540,"Wessex House Pixash Lane, Keynsham, Bristol, BS31 1TP, England",BS31 1TP,,,68310,active,1961-08-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Keynsham,Companies House API,
DSB ESTATE AGENTS LTD,13613440,"42 Rodford Ride, Yate, Bristol, BS37 4FS, England",BS37 4FS,,,"68100, 68310",active,2021-09-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Wickwar,Companies House API,
BUNDY & BOND ESTATE AGENTS LIMITED,09496982,"Unit 2 Rounceval Street Rounceval Street, Chipping Sodbury, Bristol, BS37 6AS, England",BS37 6AS,,,68310,active,2015-03-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Wickwar,Companies House API,
CHERRY TREE ESTATES BRISTOL LTD,08517559,"2a South Parade, Chew Magna, Bristol, BS40 8SH",BS40 8SH,,,"68209, 68310",active,2013-05-07,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Radstock,Companies House API,
BRISTOL PROPERTY AGENTS LTD,08722546,"4 Keel Close, St. George, Bristol, BS5 8DG, England",BS5 8DG,,,68310,active,2013-10-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Easton,Companies House API,
BEAUMONT ESTATES (BRISTOL) LIMITED,15702971,"Burwalls Hill House Burwalls Road, Leigh Woods, Bristol, BS8 3PT, United Kingdom",BS8 3PT,,,68310,dissolved,2024-05-03,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Clifton,Companies House API,
HOMELY BESPOKE ESTATE AGENTS LIMITED,15699436,"Henleaze House, Heanleaze House, Business Centre, 13 Harbury Road, Bristol, BS9 4PN, England",BS9 4PN,,,68310,active,2024-05-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Stoke Bishop,Companies House API,
GOODCHILD ESTATE AGENTS LIMITED,16123522,"209 Wellington Hill West, Bristol, BS9 4QL, England",BS9 4QL,,,68310,active,2024-12-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Stoke Bishop,Companies House API,
