company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
BROADWAY ESTATES (CARDIFF) LIMITED,05584758,"56 Charles Street, Cardiff, CF10 2GG",CF10 2GG,,,68310,dissolved,2005-10-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
CHAMBERS ESTATE AGENTS (CARDIFF) LIMITED,12028004,"35 Merthyr Road, Whitchurch, Cardiff, CF14 1DB, United Kingdom",CF14 1DB,,,68310,active,2019-06-03,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Heath,Companies House API,
CARDIFF ESTATES LTD,08303257,"08303257: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",CF14 8LH,,,68310,dissolved,2012-11-22,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Heath,Companies House API,
CARDIFF RESIDENTIAL ESTATES LTD,08303287,"08303287: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",CF14 8LH,,,68310,dissolved,2012-11-22,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Heath,Companies House API,
GOLDEN GATES ESTATE AGENTS (UK) LTD,15493938,"15493938 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",CF14 8LH,,,68310,dissolved,2024-02-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Heath,Companies House API,
GEORGE ESTATE AGENTS LIMITED,07704458,"8 Cardiff Road, Taffs Well, Cardiff, CF15 7RE",CF15 7RE,,,68310,active,2011-07-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Whitchurch,Companies House API,
HEIGHTS ESTATE AGENTS LIMITED,12178960,"The Embassy, 389 Newport Road, Cardiff, CF24 1TP, Wales",CF24 1TP,,,68310,active,2019-08-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Splott,Companies House API,
AMOS ESTATE AGENTS LTD,10417882,"141 Cathays Terrace, Cardiff, CF24 4HW, Wales",CF24 4HW,,,68310,active,2016-10-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Splott,Companies House API,
CARROLLS ESTATE AGENTS LTD,16201914,"213 New Road, Rumney, Cardiff, CF3 3BP, Wales",CF3 3BP,,,68310,dissolved,2025-01-22,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
HOLLIE HOMES ESTATE AGENTS LIMITED,16448770,"Court House, Court Road, Bridgend, CF31 1BE, United Kingdom",CF31 1BE,,,68310,active,2025-05-13,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Barry,Companies House API,
DANIEL MATTHEW ESTATE AGENTS LTD,09373109,"10 The Triangle Canolfan, Brackla, Bridgend, Mid Glamorgan, CF31 2LL",CF31 2LL,,,68310,active,2015-01-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Barry,Companies House API,
DURBIN AND CO ESTATE AGENTS LIMITED,15527792,"1 Oxford Street, Aberpennar, Rhondda Cynon Taff, CF45 3PG, United Kingdom",CF45 3PG,,,68310,active,2024-02-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Aberdare,Companies House API,
D B PHILLIPS ESTATE AGENTS LIMITED,09044857,"51 Glebeland Street, Merthyr Tydfil, CF47 8AT",CF47 8AT,,,"68100, 68310",active,2014-05-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Merthyr Tydfil,Companies House API,
ANTHONY BROWN ESTATE AGENTS LIMITED,04496102,"Gwent House, East Street, Llantwit Major, Vale Of Glamorgan, CF61 1XY",CF61 1XY,,,68310,active,2002-07-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Caerphilly,Companies House API,
CHRIS DAVIES ESTATE AGENTS LIMITED,04513097,"29 Fontygary Road, Rhoose, Barry, Vale Of Glamorgan, CF62 3DS, United Kingdom",CF62 3DS,,,68310,active,2002-08-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Caerphilly,Companies House API,
CONRAD ESTATE AGENTS LTD,16847740,"23 Park Crescent, Barry, CF62 6HD, Wales",CF62 6HD,,,68310,active,2025-11-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Caerphilly,Companies House API,
BUNSTON-JAMES ESTATE AGENTS LTD,15926627,"20 The Pastures, Barry, CF62 9ET, Wales",CF62 9ET,,,68310,dissolved,2024-08-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Caerphilly,Companies House API,
HYWEL ANTHONY ESTATE AGENTS LTD,09078221,"22 Stuart Terrace, Talbot Green, Pontyclun, CF72 8AA, Wales",CF72 8AA,,,68310,active,2014-06-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Pontyclun,Companies House API,
