company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes,email,branch_id,profile_url,rightmove_company_id
100 Key Properties Ltd,14648613,"129a High Street, Hornchurch, Essex, England, RM11 1TX",RM11 1TX,020 3826 8241,https://www.100keyproperties.co.uk,68310,active,,Indre Zukauskaite (director); Remigijus Pleinys (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hornchurch,Rightmove Essex directory,branch_id:290528; profile:https://www.rightmove.co.uk/estate-agents/agent/100-Key-Properties-Ltd/Hornchurch-290528.html; sales:No; lettings:Yes; phones:020 3826 8241,info@100keyproperties.co.uk,290528,https://www.rightmove.co.uk/estate-agents/agent/100-Key-Properties-Ltd/Hornchurch-290528.html,94640
1st Call Sales & Lettings,,"193 Woodgrange Drive,, 
Southend-On-Sea,, 
SS1 2SG",SS1 2SG,01702 967955,https://www.1stcallproperty.com/,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Southend,Rightmove Essex directory,branch_id:32667; profile:https://www.rightmove.co.uk/estate-agents/agent/1st-Call-Sales-and-Lettings/Southend-32667.html; sales:No; lettings:Yes; phones:01702 967955,info@1stcallproperty.com,32667,https://www.rightmove.co.uk/estate-agents/agent/1st-Call-Sales-and-Lettings/Southend-32667.html,8886
28,14812673,"4-316e Ilford Lane, Ilford, England, IG1 2LT",IG5 0EQ,020 4538 1218,https://28.estate/,68310,active,,Narvir Singh Rooprai (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Ilford & Romford,Rightmove Essex directory,branch_id:292973; profile:https://www.rightmove.co.uk/estate-agents/agent/28/Ilford-and-Romford-292973.html; sales:Yes; lettings:No; phones:020 4538 1218,,292973,https://www.rightmove.co.uk/estate-agents/agent/28/Ilford-and-Romford-292973.html,81182
28 Day Exchange,,"Thremhall Park, , 
Start Hill,, 
Bishop's Stortford,, 
CM22 7WE",CM22 7WE,01278 619882,https://28dayexchange.co.uk/,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hertfordshire & Essex,Rightmove Essex directory,branch_id:85647; profile:https://www.rightmove.co.uk/estate-agents/agent/28-Day-Exchange/Hertfordshire-and-Essex-85647.html; sales:Yes; lettings:No; phones:01278 619882,,85647,https://www.rightmove.co.uk/estate-agents/agent/28-Day-Exchange/Hertfordshire-and-Essex-85647.html,28086
A S K Letting,04014774,"148 Cranbrook Road, Ilford, Essex, IG1 4LZ",IG1 4LZ,020 4634 1793,https://www.ukcom.biz/business/1134692/a-s-k-letting-limited/,68310,active,,Amanveer Singh Kataria (director); Devinderjit Singh Kataria (director); Urvinder Kaur Kataria (director); Form 10 Secretaries Fd Ltd (director); Asad Hameed Anwar (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Ilford,Rightmove Essex directory,branch_id:295781; profile:https://www.rightmove.co.uk/estate-agents/agent/A-S-K-Letting/Ilford-295781.html; sales:No; lettings:Yes; phones:020 4634 1793,,295781,https://www.rightmove.co.uk/estate-agents/agent/A-S-K-Letting/Ilford-295781.html,97010
A. C. Estates,,"226 Abbs Cross Lane,, 
Hornchurch,, 
RM12 4NA",RM12 4NA,01708 987752,https://www.acestates.com/,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hornchurch,Rightmove Essex directory,branch_id:10005; profile:https://www.rightmove.co.uk/estate-agents/agent/A-C-Estates/Hornchurch-10005.html; sales:No; lettings:Yes; phones:01708 987752,kay@acestates.com,10005,https://www.rightmove.co.uk/estate-agents/agent/A-C-Estates/Hornchurch-10005.html,3439
ADSI (Holdings) Ltd,,"Alexander House Christy Court,, 
Southfields Business Park,, 
Brentwood,, 
SS15 6TL",SS15 6TL,01268 261836,https://homm.co.uk/site/adsigroup.co.uk/,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Essex Offices,Rightmove Essex directory,branch_id:248063; profile:https://www.rightmove.co.uk/estate-agents/agent/ADSI-Holdings-Ltd/Essex-Offices-248063.html; sales:Yes; lettings:Yes; phones:01268 261836; 01268 983077,info@homm.co.uk,248063,https://www.rightmove.co.uk/estate-agents/agent/ADSI-Holdings-Ltd/Essex-Offices-248063.html,76493
AJ Dwellings,10203446,"660 Green Lane, Ilford, Essex, England, IG3 9RY",IG3 9RY,020 3910 6066,https://www.ajdwellings.co.uk/,68310,active,,Anjum Rashid (director),,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Ilford,Rightmove Essex directory,branch_id:80172; profile:https://www.rightmove.co.uk/estate-agents/agent/AJ-Dwellings/Ilford-80172.html; sales:Yes; lettings:Yes; phones:020 3910 6066; 020 8597 0301,admin@ajdwellings.co.uk,80172,https://www.rightmove.co.uk/estate-agents/agent/AJ-Dwellings/Ilford-80172.html,25734
ANDREW CAPLIN COMMERCIAL LTD,,"St George's House,, 
2-4 Eastern Road,, 
Romford,, 
Essex,, 
RM1 3JP",RM1 3JP,01704 338886,https://www.tpos.co.uk/business-search/andrew-caplin-commercial-ltd/,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Essex,Rightmove Essex directory,branch_id:182165; profile:https://www.rightmove.co.uk/estate-agents/agent/ANDREW-CAPLIN-COMMERCIAL-LTD/Essex-182165.html; sales:Yes; lettings:Yes; phones:01704 334551; 01704 338886,,182165,https://www.rightmove.co.uk/estate-agents/agent/ANDREW-CAPLIN-COMMERCIAL-LTD/Essex-182165.html,56081
APARTMENTS By HOME Partnership,,"11 Duke Street,, 
Chelmsford,, 
CM1 1HL",CM1 1HL,01245 823817,https://www.homeofleigh.com/,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Chelmsford,Rightmove Essex directory,branch_id:299549; profile:https://www.rightmove.co.uk/estate-agents/agent/APARTMENTS-By-HOME-Partnership/Chelmsford-299549.html; sales:Yes; lettings:No; phones:01245 823817,info@homeofleigh.com,299549,https://www.rightmove.co.uk/estate-agents/agent/APARTMENTS-By-HOME-Partnership/Chelmsford-299549.html,12902
